카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년04월_계_총인구수,"3,329,623","1,034,705","260,623","212,662","179,434","189,134","192,852","347,056","126,798","110,461","540,686","104,383","243,902","353,291","26,624","63,573","60,951","51,009","42,688","44,326","34,668","39,008","61,877","43,617"
2021년04월_계_연령구간인구수,"3,329,623","1,034,705","260,623","212,662","179,434","189,134","192,852","347,056","126,798","110,461","540,686","104,383","243,902","353,291","26,624","63,573","60,951","51,009","42,688","44,326","34,668","39,008","61,877","43,617"
2021년04월_계_0~9세,"262,156","81,826","20,939","15,972","13,189","12,863","18,863","27,708","9,232","7,960","48,096","5,458","25,739","34,018","1,043","3,884","3,117","2,459","1,561","1,755","1,281","1,758","3,711","1,550"
2021년04월_계_10~19세,"321,732","98,578","23,203","22,544","14,017","17,870","20,944","34,859","12,679","10,164","60,670","7,713","27,845","34,505","1,482","5,885","4,149","4,166","2,951","2,788","2,069","2,934","5,924","2,371"
2021년04월_계_20~29세,"373,293","128,424","35,182","31,792","19,167","21,820","20,463","44,842","10,911","10,568","68,563","8,950","23,812","40,426","1,990","5,338","4,737","3,817","3,201","3,296","2,375","3,083","5,997","2,963"
2021년04월_계_30~39세,"392,090","132,474","34,874","28,919","21,222","21,136","26,323","41,213","13,221","11,550","68,269","8,722","35,293","48,469","1,713","5,335","4,959","3,694","2,403","2,713","2,079","2,581","4,930","2,472"
2021년04월_계_40~49세,"533,055","167,133","40,571","35,089","26,342","29,762","35,369","53,788","21,058","17,577","97,762","12,846","47,488","61,205","2,800","9,193","7,007","6,241","4,510","4,825","3,430","4,317","7,703","4,172"
2021년04월_계_50~59세,"578,495","185,191","49,953","42,992","29,534","34,075","28,637","57,182","22,141","18,327","97,230","18,552","39,315","58,699","4,533","11,147","10,780","8,985","7,181","8,233","6,372","6,801","10,403","7,423"
2021년04월_계_60~69세,"476,254","145,903","35,703","24,816","30,774","30,431","24,179","47,243","20,844","16,862","60,346","21,438","27,500","44,393","5,567","11,336","12,348","9,927","8,426","9,151","7,546","7,535","10,525","9,364"
2021년04월_계_70~79세,"246,804","64,385","13,535","7,069","16,829","15,003","11,949","25,676","11,181","10,709","26,550","12,764","10,998","21,348","3,946","6,654","8,051","6,769","6,634","6,338","5,227","5,501","6,966","7,107"
