카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년02월_계_총인구수,"119,371","30,811","10,457","4,774","13,621","7,981","9,752","3,874","3,764","4,606","6,876","17,680","5,175"
2021년02월_계_연령구간인구수,"119,371","30,811","10,457","4,774","13,621","7,981","9,752","3,874","3,764","4,606","6,876","17,680","5,175"
2021년02월_계_0~9세,"7,243","2,193",917,179,732,477,626,125,114,142,229,"1,270",239
2021년02월_계_10~19세,"9,725","3,305",937,239,"1,033",568,851,226,157,193,383,"1,501",332
2021년02월_계_20~29세,"10,578","3,554",846,347,"1,213",730,603,248,230,279,478,"1,648",402
2021년02월_계_30~39세,"10,811","3,204","1,190",368,"1,215",766,834,284,193,299,419,"1,667",372
2021년02월_계_40~49세,"16,346","4,837","1,695",511,"1,814","1,067","1,492",433,357,379,684,"2,475",602
2021년02월_계_50~59세,"20,816","5,389","1,648",882,"2,424","1,388","1,720",673,675,906,"1,273","2,948",890
2021년02월_계_60~69세,"23,228","4,522","1,797","1,250","2,745","1,664","2,082",965,992,"1,167","1,708","3,117","1,219"
2021년02월_계_70~79세,"13,153","2,442",950,707,"1,627",873,"1,043",564,613,709,"1,001","1,901",723
2021년02월_계_80~89세,"6,389","1,185",416,241,697,388,417,313,380,442,591,971,348
2021년02월_계_90~99세,"1,013",164,58,49,110,56,78,43,47,82,106,174,46
2021년02월_계_100세 이상,69,16,3,1,11,4,6,0,6,8,4,8,2
2021년02월_남_총인구수,"59,846","15,427","5,182","2,408","6,781","4,029","4,840","1,968","1,922","2,287","3,510","8,875","2,617"
2021년02월_남_연령구간인구수,"59,846","15,427","5,182","2,408","6,781","4,029","4,840","1,968","1,922","2,287","3,510","8,875","2,617"
2021년02월_남_0~9세,"3,697","1,131",463,98,374,224,300,62,63,84,135,649,114
2021년02월_남_10~19세,"5,124","1,707",487,141,535,304,456,116,90,100,217,788,183
2021년02월_남_20~29세,"5,867","1,960",444,200,649,429,335,140,127,160,283,918,222
2021년02월_남_30~39세,"5,465","1,621",565,192,617,399,390,163,103,159,216,842,198
2021년02월_남_40~49세,"8,276","2,316",852,255,923,561,748,229,211,205,379,"1,274",323
2021년02월_남_50~59세,"10,705","2,788",827,444,"1,227",699,859,361,358,476,664,"1,533",469
2021년02월_남_60~69세,"11,550","2,258",874,598,"1,322",834,"1,012",494,503,575,915,"1,554",611
2021년02월_남_70~79세,"6,451","1,178",496,375,797,426,554,275,296,334,466,900,354
2021년02월_남_80~89세,"2,464",424,160,96,309,137,166,121,161,174,204,378,134
2021년02월_남_90~99세,232,42,14,8,22,16,19,7,9,19,30,38,8
2021년02월_남_100세 이상,15,2,0,1,6,0,1,0,1,1,1,1,1
2021년02월_여_총인구수,"59,525","15,384","5,275","2,366","6,840","3,952","4,912","1,906","1,842","2,319","3,366","8,805","2,558"
2021년02월_여_연령구간인구수,"59,525","15,384","5,275","2,366","6,840","3,952","4,912","1,906","1,842","2,319","3,366","8,805","2,558"
2021년02월_여_0~9세,"3,546","1,062",454,81,358,253,326,63,51,58,94,621,125
2021년02월_여_10~19세,"4,601","1,598",450,98,498,264,395,110,67,93,166,713,149
2021년02월_여_20~29세,"4,711","1,594",402,147,564,301,268,108,103,119,195,730,180
2021년02월_여_30~39세,"5,346","1,583",625,176,598,367,444,121,90,140,203,825,174
2021년02월_여_40~49세,"8,070","2,521",843,256,891,506,744,204,146,174,305,"1,201",279
2021년02월_여_50~59세,"10,111","2,601",821,438,"1,197",689,861,312,317,430,609,"1,415",421
2021년02월_여_60~69세,"11,678","2,264",923,652,"1,423",830,"1,070",471,489,592,793,"1,563",608
2021년02월_여_70~79세,"6,702","1,264",454,332,830,447,489,289,317,375,535,"1,001",369
2021년02월_여_80~89세,"3,925",761,256,145,388,251,251,192,219,268,387,593,214
2021년02월_여_90~99세,781,122,44,41,88,40,59,36,38,63,76,136,38
2021년02월_여_100세 이상,54,14,3,0,5,4,5,0,5,7,3,7,1
