카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년01월_계_총인구수,"406,312","23,326","31,436","28,392","23,549","15,935","18,539","32,817","16,905","24,149","10,375","35,702","13,755","9,464","16,622","15,120","25,115","38,460","26,651"
2020년01월_계_연령구간인구수,"406,312","23,326","31,436","28,392","23,549","15,935","18,539","32,817","16,905","24,149","10,375","35,702","13,755","9,464","16,622","15,120","25,115","38,460","26,651"
2020년01월_계_0~9세,"29,669","1,367","2,902","2,707","1,701","1,240","1,336","2,290","1,209","1,889",592,"2,775",541,333,"1,356",448,"1,072","4,322","1,589"
2020년01월_계_10~19세,"39,875","1,661","3,242","3,174","2,221","1,168","2,232","3,093","1,933","3,245",574,"4,461",809,615,"1,641",929,"1,713","4,980","2,184"
2020년01월_계_20~29세,"50,190","3,087","3,639","3,092","2,979","1,796","2,766","5,160","2,104","3,137","1,272","4,227","1,650","1,074","2,259","1,800","2,637","4,097","3,414"
2020년01월_계_30~39세,"48,617","3,070","4,027","3,351","2,834","2,312","2,225","4,640","1,848","2,468","1,390","3,758","1,658",911,"2,132","1,304","2,242","5,168","3,279"
2020년01월_계_40~49세,"67,497","3,574","5,422","4,927","4,084","2,694","3,406","5,290","2,679","4,389","1,403","6,511","1,890","1,268","2,652","1,976","3,472","7,774","4,086"
2020년01월_계_50~59세,"71,192","3,963","5,388","4,870","4,119","2,804","3,133","5,811","3,117","4,403","1,844","6,314","2,587","1,868","3,079","2,888","4,588","5,440","4,976"
2020년01월_계_60~69세,"55,304","3,562","3,765","3,619","3,057","2,370","1,733","3,533","2,063","2,478","1,844","4,472","2,469","1,828","2,245","2,806","4,968","4,064","4,428"
2020년01월_계_70~79세,"30,039","2,154","2,076","1,825","1,734","1,106","1,035","1,918","1,184","1,344",953,"2,182","1,535","1,107",927,"2,073","3,080","1,895","1,911"
2020년01월_계_80~89세,"12,180",752,836,717,725,385,590,984,681,706,439,878,544,404,286,772,"1,164",624,693
2020년01월_계_90~99세,"1,596",109,133,109,80,53,82,97,87,90,60,121,57,51,43,97,153,90,84
2020년01월_계_100세 이상,153,27,6,1,15,7,1,1,0,0,4,3,15,5,2,27,26,6,7
2020년01월_남_총인구수,"196,037","11,199","15,031","13,371","11,370","7,614","8,682","15,168","8,000","11,562","5,007","17,704","6,685","4,635","8,215","7,594","12,273","18,932","12,995"
2020년01월_남_연령구간인구수,"196,037","11,199","15,031","13,371","11,370","7,614","8,682","15,168","8,000","11,562","5,007","17,704","6,685","4,635","8,215","7,594","12,273","18,932","12,995"
2020년01월_남_0~9세,"15,446",678,"1,516","1,402",886,643,677,"1,164",617,"1,010",317,"1,449",279,180,701,234,563,"2,293",837
2020년01월_남_10~19세,"20,588",845,"1,662","1,587","1,158",593,"1,187","1,603","1,011","1,649",303,"2,350",408,322,829,502,876,"2,598","1,105"
2020년01월_남_20~29세,"26,269","1,552","1,924","1,614","1,530",929,"1,321","2,422","1,128","1,672",693,"2,288",893,584,"1,243",987,"1,471","2,141","1,877"
2020년01월_남_30~39세,"23,652","1,520","1,816","1,420","1,388","1,141",990,"2,166",886,"1,144",733,"1,802",922,519,"1,067",752,"1,267","2,405","1,714"
2020년01월_남_40~49세,"32,070","1,743","2,497","2,205","1,926","1,296","1,487","2,319","1,171","1,932",742,"3,044",993,677,"1,270","1,110","1,900","3,740","2,018"
2020년01월_남_50~59세,"33,883","1,858","2,559","2,247","1,989","1,255","1,539","2,634","1,468","2,102",816,"3,178","1,242",905,"1,453","1,496","2,219","2,654","2,269"
2020년01월_남_60~69세,"26,259","1,657","1,769","1,726","1,435","1,121",831,"1,683",974,"1,221",861,"2,232","1,117",810,"1,124","1,369","2,326","1,930","2,073"
2020년01월_남_70~79세,"13,175","1,008",942,859,749,485,391,792,483,556,401,"1,013",648,486,440,847,"1,273",928,874
2020년01월_남_80~89세,"4,285",306,316,280,281,134,225,363,232,251,133,316,168,138,79,273,345,228,217
2020년01월_남_90~99세,369,24,29,31,25,15,33,22,30,25,8,29,13,13,8,14,27,13,10
2020년01월_남_100세 이상,41,8,1,0,3,2,1,0,0,0,0,3,2,1,1,10,6,2,1
2020년01월_여_총인구수,"210,275","12,127","16,405","15,021","12,179","8,321","9,857","17,649","8,905","12,587","5,368","17,998","7,070","4,829","8,407","7,526","12,842","19,528","13,656"
2020년01월_여_연령구간인구수,"210,275","12,127","16,405","15,021","12,179","8,321","9,857","17,649","8,905","12,587","5,368","17,998","7,070","4,829","8,407","7,526","12,842","19,528","13,656"
2020년01월_여_0~9세,"14,223",689,"1,386","1,305",815,597,659,"1,126",592,879,275,"1,326",262,153,655,214,509,"2,029",752
2020년01월_여_10~19세,"19,287",816,"1,580","1,587","1,063",575,"1,045","1,490",922,"1,596",271,"2,111",401,293,812,427,837,"2,382","1,079"
2020년01월_여_20~29세,"23,921","1,535","1,715","1,478","1,449",867,"1,445","2,738",976,"1,465",579,"1,939",757,490,"1,016",813,"1,166","1,956","1,537"
2020년01월_여_30~39세,"24,965","1,550","2,211","1,931","1,446","1,171","1,235","2,474",962,"1,324",657,"1,956",736,392,"1,065",552,975,"2,763","1,565"
2020년01월_여_40~49세,"35,427","1,831","2,925","2,722","2,158","1,398","1,919","2,971","1,508","2,457",661,"3,467",897,591,"1,382",866,"1,572","4,034","2,068"
2020년01월_여_50~59세,"37,309","2,105","2,829","2,623","2,130","1,549","1,594","3,177","1,649","2,301","1,028","3,136","1,345",963,"1,626","1,392","2,369","2,786","2,707"
2020년01월_여_60~69세,"29,045","1,905","1,996","1,893","1,622","1,249",902,"1,850","1,089","1,257",983,"2,240","1,352","1,018","1,121","1,437","2,642","2,134","2,355"
2020년01월_여_70~79세,"16,864","1,146","1,134",966,985,621,644,"1,126",701,788,552,"1,169",887,621,487,"1,226","1,807",967,"1,037"
2020년01월_여_80~89세,"7,895",446,520,437,444,251,365,621,449,455,306,562,376,266,207,499,819,396,476
2020년01월_여_90~99세,"1,227",85,104,78,55,38,49,75,57,65,52,92,44,38,35,83,126,77,74
2020년01월_여_100세 이상,112,19,5,1,12,5,0,1,0,0,4,0,13,4,1,17,20,4,6
