카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년07월_계_총인구수,"50,894","24,200","1,766","1,855","2,718","1,592","1,655",857,"1,436","1,108","1,027","3,579","1,740","3,058","4,303"
2021년07월_계_연령구간인구수,"50,894","24,200","1,766","1,855","2,718","1,592","1,655",857,"1,436","1,108","1,027","3,579","1,740","3,058","4,303"
2021년07월_계_0~9세,"2,386","1,716",40,25,97,22,32,13,39,22,25,143,20,62,130
2021년07월_계_10~19세,"4,147","2,672",78,108,180,70,62,28,58,71,31,313,55,139,282
2021년07월_계_20~29세,"3,808","2,233",84,86,228,67,75,45,99,55,54,249,75,174,284
2021년07월_계_30~39세,"3,626","2,246",86,90,185,67,70,33,70,41,42,216,63,147,270
2021년07월_계_40~49세,"6,152","3,657",168,139,285,134,119,49,125,72,65,386,163,268,522
2021년07월_계_50~59세,"8,933","4,277",294,290,483,273,297,110,243,165,170,630,330,560,811
2021년07월_계_60~69세,"10,103","3,892",465,454,601,374,416,210,334,285,260,803,420,732,857
2021년07월_계_70~79세,"6,736","2,213",322,390,374,317,293,192,226,180,195,508,334,559,633
2021년07월_계_80~89세,"4,331","1,133",199,237,243,229,240,156,204,181,155,290,243,363,458
2021년07월_계_90~99세,657,157,29,36,41,38,51,21,37,35,28,41,36,53,54
2021년07월_계_100세 이상,15,4,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년07월_남_총인구수,"25,537","12,151",914,910,"1,400",785,844,385,702,542,520,"1,738",865,"1,580","2,201"
2021년07월_남_연령구간인구수,"25,537","12,151",914,910,"1,400",785,844,385,702,542,520,"1,738",865,"1,580","2,201"
2021년07월_남_0~9세,"1,196",878,20,11,45,11,15,8,15,11,11,66,9,31,65
2021년07월_남_10~19세,"2,265","1,476",47,61,91,40,38,13,31,36,16,157,27,78,154
2021년07월_남_20~29세,"2,245","1,296",56,56,144,44,39,25,64,33,36,130,48,101,173
2021년07월_남_30~39세,"2,016","1,180",58,51,115,34,51,16,41,25,28,111,42,98,166
2021년07월_남_40~49세,"3,419","1,904",100,95,173,83,69,27,80,48,39,201,94,190,316
2021년07월_남_50~59세,"4,867","2,228",174,165,245,143,173,62,137,93,103,333,195,335,481
2021년07월_남_60~69세,"5,064","1,860",246,211,314,204,230,101,175,147,152,406,226,374,418
2021년07월_남_70~79세,"3,001",949,150,178,180,140,139,86,96,82,80,235,145,265,276
2021년07월_남_80~89세,"1,348",350,59,73,85,78,75,45,60,59,48,93,75,104,144
2021년07월_남_90~99세,114,29,4,9,8,8,15,2,3,8,6,6,4,4,8
2021년07월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년07월_여_총인구수,"25,357","12,049",852,945,"1,318",807,811,472,734,566,507,"1,841",875,"1,478","2,102"
2021년07월_여_연령구간인구수,"25,357","12,049",852,945,"1,318",807,811,472,734,566,507,"1,841",875,"1,478","2,102"
2021년07월_여_0~9세,"1,190",838,20,14,52,11,17,5,24,11,14,77,11,31,65
2021년07월_여_10~19세,"1,882","1,196",31,47,89,30,24,15,27,35,15,156,28,61,128
2021년07월_여_20~29세,"1,563",937,28,30,84,23,36,20,35,22,18,119,27,73,111
2021년07월_여_30~39세,"1,610","1,066",28,39,70,33,19,17,29,16,14,105,21,49,104
2021년07월_여_40~49세,"2,733","1,753",68,44,112,51,50,22,45,24,26,185,69,78,206
2021년07월_여_50~59세,"4,066","2,049",120,125,238,130,124,48,106,72,67,297,135,225,330
2021년07월_여_60~69세,"5,039","2,032",219,243,287,170,186,109,159,138,108,397,194,358,439
2021년07월_여_70~79세,"3,735","1,264",172,212,194,177,154,106,130,98,115,273,189,294,357
2021년07월_여_80~89세,"2,983",783,140,164,158,151,165,111,144,122,107,197,168,259,314
2021년07월_여_90~99세,543,128,25,27,33,30,36,19,34,27,22,35,32,49,46
2021년07월_여_100세 이상,13,3,1,0,1,1,0,0,1,1,1,0,1,1,2
