카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년07월_계_총인구수,"499,729","24,803","15,860","30,486","29,641","17,132","34,744","34,311","15,630","26,532","18,584","23,166","18,546","23,913","22,978","21,947","16,012","17,595","23,774","24,643","31,594","27,838"
2020년07월_계_연령구간인구수,"499,729","24,803","15,860","30,486","29,641","17,132","34,744","34,311","15,630","26,532","18,584","23,166","18,546","23,913","22,978","21,947","16,012","17,595","23,774","24,643","31,594","27,838"
2020년07월_계_0~9세,"23,610","1,299","1,377","2,117","1,250",757,"1,295","2,253",454,"1,252","1,095",724,656,877,850,391,"1,264",706,761,998,"1,860","1,374"
2020년07월_계_10~19세,"29,649","1,513","1,175","3,017","1,431",885,"1,732","2,640",657,"1,672",848,908,895,"1,142","1,209",521,"1,485",856,"1,022","1,653","2,407","1,981"
2020년07월_계_20~29세,"109,885","4,694","1,935","3,978","7,578","5,526","11,056","5,585","4,545","5,862","3,913","6,528","4,460","5,766","5,746","8,414","1,745","4,089","6,302","3,080","4,929","4,154"
2020년07월_계_30~39세,"88,113","4,183","2,658","4,023","6,162","3,540","6,648","5,548","3,016","5,032","3,805","4,666","3,272","4,767","3,989","5,671","1,959","3,327","4,842","2,846","4,390","3,769"
2020년07월_계_40~49세,"69,715","3,485","2,575","5,178","3,704","2,020","4,057","5,324","1,796","3,754","2,353","2,856","2,376","3,270","3,097","2,462","3,047","2,281","3,574","3,566","4,846","4,094"
2020년07월_계_50~59세,"68,746","3,464","2,327","4,797","3,523","1,694","3,826","4,969","1,888","3,516","2,592","2,843","2,481","3,158","3,266","1,750","2,621","2,393","3,165","4,432","5,070","4,971"
2020년07월_계_60~69세,"58,392","3,254","1,978","3,816","3,147","1,360","3,234","4,246","1,646","2,909","2,213","2,526","2,219","2,711","2,532","1,436","2,078","2,167","2,220","4,137","4,551","4,012"
2020년07월_계_70~79세,"36,976","2,122","1,216","2,488","2,090",962,"2,118","2,718","1,165","1,836","1,319","1,514","1,556","1,566","1,658",956,"1,301","1,237","1,321","2,692","2,605","2,536"
2020년07월_계_80~89세,"12,645",687,529,914,644,332,664,901,410,613,381,540,541,560,551,285,433,464,497,"1,043",827,829
2020년07월_계_90~99세,"1,681",93,67,128,95,46,94,110,44,77,62,52,77,76,65,46,66,65,58,168,89,103
2020년07월_계_100세 이상,317,9,23,30,17,10,20,17,9,9,3,9,13,20,15,15,13,10,12,28,20,15
2020년07월_남_총인구수,"250,825","12,172","7,758","14,756","14,383","8,636","16,700","16,806","7,465","12,988","8,971","11,933","9,260","13,142","11,506","11,396","7,882","8,917","14,348","12,346","15,480","13,980"
2020년07월_남_연령구간인구수,"250,825","12,172","7,758","14,756","14,383","8,636","16,700","16,806","7,465","12,988","8,971","11,933","9,260","13,142","11,506","11,396","7,882","8,917","14,348","12,346","15,480","13,980"
2020년07월_남_0~9세,"12,138",661,712,"1,112",627,394,632,"1,207",253,655,580,375,316,447,451,201,642,352,381,529,933,678
2020년07월_남_10~19세,"15,187",796,612,"1,600",717,422,858,"1,332",313,867,396,476,446,584,658,257,752,442,525,870,"1,198","1,066"
2020년07월_남_20~29세,"53,670","2,272","1,016","1,963","3,398","2,654","4,834","2,682","1,889","2,775","1,763","3,333","2,235","3,225","2,721","4,077",902,"1,857","3,785","1,672","2,442","2,175"
2020년07월_남_30~39세,"48,556","2,264","1,337","2,003","3,291","1,970","3,520","2,847","1,646","2,659","2,013","2,707","1,856","2,928","2,232","3,218",973,"1,871","3,280","1,592","2,270","2,079"
