카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년05월_계_총인구수,"25,287","10,714","1,270","1,492","2,513","2,616","2,272","1,458","2,952"
2021년05월_계_연령구간인구수,"25,287","10,714","1,270","1,492","2,513","2,616","2,272","1,458","2,952"
2021년05월_계_0~9세,"1,092",665,40,47,48,106,58,42,86
2021년05월_계_10~19세,"1,774","1,028",64,67,144,169,98,54,150
2021년05월_계_20~29세,"1,898","1,009",78,78,135,177,117,106,198
2021년05월_계_30~39세,"1,596",845,51,70,105,152,138,95,140
2021년05월_계_40~49세,"2,779","1,406",126,137,219,317,170,153,251
2021년05월_계_50~59세,"4,529","1,905",247,280,517,443,363,212,562
2021년05월_계_60~69세,"4,807","1,748",272,295,610,511,465,288,618
2021년05월_계_70~79세,"3,827","1,262",214,301,385,404,449,277,535
2021년05월_계_80~89세,"2,576",725,152,193,294,291,356,198,367
2021년05월_계_90~99세,393,117,25,23,54,41,56,33,44
2021년05월_계_100세 이상,16,4,1,1,2,5,2,0,1
2021년05월_남_총인구수,"12,311","5,212",644,731,"1,223","1,284","1,081",700,"1,436"
2021년05월_남_연령구간인구수,"12,311","5,212",644,731,"1,223","1,284","1,081",700,"1,436"
2021년05월_남_0~9세,530,320,23,24,21,52,25,21,44
2021년05월_남_10~19세,927,547,30,28,74,96,55,31,66
2021년05월_남_20~29세,"1,035",537,48,39,80,90,63,59,119
2021년05월_남_30~39세,852,425,25,35,65,89,83,54,76
2021년05월_남_40~49세,"1,517",707,77,88,122,175,109,85,154
2021년05월_남_50~59세,"2,526",992,146,172,289,269,210,124,324
2021년05월_남_60~69세,"2,391",866,148,149,307,245,227,139,310
2021년05월_남_70~79세,"1,613",545,86,126,159,168,189,119,221
2021년05월_남_80~89세,835,247,59,64,92,89,110,60,114
2021년05월_남_90~99세,83,26,2,6,14,9,10,8,8
2021년05월_남_100세 이상,2,0,0,0,0,2,0,0,0
2021년05월_여_총인구수,"12,976","5,502",626,761,"1,290","1,332","1,191",758,"1,516"
2021년05월_여_연령구간인구수,"12,976","5,502",626,761,"1,290","1,332","1,191",758,"1,516"
2021년05월_여_0~9세,562,345,17,23,27,54,33,21,42
2021년05월_여_10~19세,847,481,34,39,70,73,43,23,84
2021년05월_여_20~29세,863,472,30,39,55,87,54,47,79
2021년05월_여_30~39세,744,420,26,35,40,63,55,41,64
2021년05월_여_40~49세,"1,262",699,49,49,97,142,61,68,97
2021년05월_여_50~59세,"2,003",913,101,108,228,174,153,88,238
2021년05월_여_60~69세,"2,416",882,124,146,303,266,238,149,308
2021년05월_여_70~79세,"2,214",717,128,175,226,236,260,158,314
2021년05월_여_80~89세,"1,741",478,93,129,202,202,246,138,253
2021년05월_여_90~99세,310,91,23,17,40,32,46,25,36
2021년05월_여_100세 이상,14,4,1,1,2,3,2,0,1
