,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년06월_계_총인구수,"42,553","7,170","1,128","10,397","1,629","2,154","3,975","2,244","4,549","2,128","3,361","3,818"
2020년06월_계_연령구간인구수,"42,553","7,170","1,128","10,397","1,629","2,154","3,975","2,244","4,549","2,128","3,361","3,818"
2020년06월_계_0~9세,"1,563",463,50,488,37,50,129,61,129,37,56,63
2020년06월_계_10~19세,"2,333",672,22,726,57,75,176,71,270,43,113,108
2020년06월_계_20~29세,"2,920",598,56,894,87,124,228,138,286,132,185,192
2020년06월_계_30~39세,"2,918",659,102,880,97,111,265,110,262,108,147,177
2020년06월_계_40~49세,"4,523","1,030",100,"1,358",138,167,358,157,469,196,261,289
2020년06월_계_50~59세,"7,492","1,233",170,"1,797",278,345,716,455,791,434,599,674
2020년06월_계_60~69세,"9,420","1,215",272,"2,070",437,530,931,566,"1,043",512,845,999
2020년06월_계_70~79세,"6,570",762,191,"1,311",305,434,644,400,751,357,663,752
2020년06월_계_80~89세,"4,216",464,148,773,169,273,470,259,463,271,423,503
2020년06월_계_90~99세,578,69,15,97,23,45,55,27,83,38,65,61
2020년06월_계_100세 이상,20,5,2,3,1,0,3,0,2,0,4,0
2020년06월_남_총인구수,"20,857","3,492",565,"5,101",791,"1,020","1,950","1,108","2,198","1,033","1,693","1,906"
2020년06월_남_연령구간인구수,"20,857","3,492",565,"5,101",791,"1,020","1,950","1,108","2,198","1,033","1,693","1,906"
2020년06월_남_0~9세,798,240,25,240,11,30,64,34,66,24,34,30
2020년06월_남_10~19세,"1,198",332,17,366,39,34,80,28,148,30,68,56
2020년06월_남_20~29세,"1,728",340,33,519,55,79,140,86,161,72,115,128
2020년06월_남_30~39세,"1,559",328,54,468,57,66,148,60,124,59,84,111
2020년06월_남_40~49세,"2,526",539,68,742,86,94,213,83,254,96,165,186
2020년06월_남_50~59세,"3,920",615,89,928,144,176,379,229,415,239,345,361
2020년06월_남_60~69세,"4,716",607,131,"1,026",204,262,463,312,499,282,426,504
2020년06월_남_70~79세,"2,973",332,85,562,138,191,293,178,379,142,318,355
2020년06월_남_80~89세,"1,317",140,60,232,55,77,151,96,139,79,127,161
2020년06월_남_90~99세,121,19,2,18,2,11,19,2,13,10,11,14
2020년06월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"21,696","3,678",563,"5,296",838,"1,134","2,025","1,136","2,351","1,095","1,668","1,912"
2020년06월_여_연령구간인구수,"21,696","3,678",563,"5,296",838,"1,134","2,025","1,136","2,351","1,095","1,668","1,912"
2020년06월_여_0~9세,765,223,25,248,26,20,65,27,63,13,22,33
2020년06월_여_10~19세,"1,135",340,5,360,18,41,96,43,122,13,45,52
2020년06월_여_20~29세,"1,192",258,23,375,32,45,88,52,125,60,70,64
2020년06월_여_30~39세,"1,359",331,48,412,40,45,117,50,138,49,63,66
2020년06월_여_40~49세,"1,997",491,32,616,52,73,145,74,215,100,96,103
2020년06월_여_50~59세,"3,572",618,81,869,134,169,337,226,376,195,254,313
2020년06월_여_60~69세,"4,704",608,141,"1,044",233,268,468,254,544,230,419,495
2020년06월_여_70~79세,"3,597",430,106,749,167,243,351,222,372,215,345,397
2020년06월_여_80~89세,"2,899",324,88,541,114,196,319,163,324,192,296,342
2020년06월_여_90~99세,457,50,13,79,21,34,36,25,70,28,54,47
2020년06월_여_100세 이상,19,5,1,3,1,0,3,0,2,0,4,0
