,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년10월_계_총인구수,"312,781","17,888","16,696","20,575","19,252","36,663","24,405","15,887","14,268","22,797","27,110","15,948","30,034","18,518","32,740"
2020년10월_계_연령구간인구수,"312,781","17,888","16,696","20,575","19,252","36,663","24,405","15,887","14,268","22,797","27,110","15,948","30,034","18,518","32,740"
2020년10월_계_0~9세,"20,361","1,277","1,447","1,214",754,"1,711","1,575",796,840,"1,454","1,312","2,143","2,681","1,450","1,707"
2020년10월_계_10~19세,"23,827","1,493","1,105","1,362",901,"2,503","1,904","1,147","1,080","1,800","2,199","1,458","2,440","1,974","2,461"
2020년10월_계_20~29세,"50,437","2,277","2,398","3,414","7,356","7,741","3,176","2,128","1,885","2,901","4,257","1,578","4,298","2,184","4,844"
2020년10월_계_30~39세,"45,232","2,451","2,916","3,187","3,236","5,654","3,501","1,999","1,924","2,898","3,520","2,515","4,636","2,409","4,386"
2020년10월_계_40~49세,"47,649","2,842","2,696","3,020","1,997","5,181","3,826","2,231","2,061","3,411","4,034","3,083","4,910","3,317","5,040"
2020년10월_계_50~59세,"49,526","3,012","2,776","3,345","2,021","5,329","4,069","2,714","2,594","4,001","4,598","2,155","4,438","2,999","5,475"
2020년10월_계_60~69세,"38,338","2,174","1,790","2,671","1,393","4,128","3,284","2,308","1,965","3,252","3,743","1,549","3,318","2,184","4,579"
2020년10월_계_70~79세,"24,338","1,449","1,029","1,462",991,"2,850","2,006","1,632","1,259","1,986","2,225",970,"2,190","1,336","2,953"
2020년10월_계_80~89세,"11,138",776,428,719,492,"1,328",921,826,569,935,"1,057",424,951,577,"1,135"
2020년10월_계_90~99세,"1,646",107,83,142,88,207,131,86,87,141,141,57,148,79,149
2020년10월_계_100세 이상,289,30,28,39,23,31,12,20,4,18,24,16,24,9,11
2020년10월_남_총인구수,"149,791","8,491","7,988","9,926","8,576","17,684","11,454","7,705","6,774","11,036","13,097","7,682","14,505","8,930","15,943"
2020년10월_남_연령구간인구수,"149,791","8,491","7,988","9,926","8,576","17,684","11,454","7,705","6,774","11,036","13,097","7,682","14,505","8,930","15,943"
2020년10월_남_0~9세,"10,384",641,753,607,415,865,784,401,441,737,671,"1,070","1,351",757,891
2020년10월_남_10~19세,"11,945",738,543,674,426,"1,263",930,615,550,917,"1,108",688,"1,204","1,034","1,255"
2020년10월_남_20~29세,"24,224","1,111","1,093","1,647","2,866","3,959","1,564","1,056",930,"1,452","2,159",774,"2,099","1,057","2,457"
2020년10월_남_30~39세,"22,452","1,195","1,426","1,576","1,602","2,844","1,690","1,049",959,"1,478","1,840","1,114","2,279","1,124","2,276"
2020년10월_남_40~49세,"23,515","1,389","1,350","1,531",969,"2,476","1,836","1,121",976,"1,664","1,979","1,632","2,476","1,652","2,464"
2020년10월_남_50~59세,"24,012","1,491","1,372","1,659","1,005","2,532","1,880","1,366","1,235","1,962","2,192","1,061","2,185","1,431","2,641"
2020년10월_남_60~69세,"18,054","1,035",849,"1,281",637,"1,931","1,517","1,075",942,"1,576","1,710",719,"1,558","1,042","2,182"
2020년10월_남_70~79세,"10,391",583,430,630,425,"1,199",861,673,509,859,988,426,942,578,"1,288"
2020년10월_남_80~89세,"4,269",266,142,276,199,531,353,311,206,343,413,178,368,236,447
2020년10월_남_90~99세,465,33,27,31,25,75,38,29,24,43,32,16,38,17,37
2020년10월_남_100세 이상,80,9,3,14,7,9,1,9,2,5,5,4,5,2,5
2020년10월_여_총인구수,"162,990","9,397","8,708","10,649","10,676","18,979","12,951","8,182","7,494","11,761","14,013","8,266","15,529","9,588","16,797"
2020년10월_여_연령구간인구수,"162,990","9,397","8,708","10,649","10,676","18,979","12,951","8,182","7,494","11,761","14,013","8,266","15,529","9,588","16,797"
2020년10월_여_0~9세,"9,977",636,694,607,339,846,791,395,399,717,641,"1,073","1,330",693,816
2020년10월_여_10~19세,"11,882",755,562,688,475,"1,240",974,532,530,883,"1,091",770,"1,236",940,"1,206"
2020년10월_여_20~29세,"26,213","1,166","1,305","1,767","4,490","3,782","1,612","1,072",955,"1,449","2,098",804,"2,199","1,127","2,387"
2020년10월_여_30~39세,"22,780","1,256","1,490","1,611","1,634","2,810","1,811",950,965,"1,420","1,680","1,401","2,357","1,285","2,110"
2020년10월_여_40~49세,"24,134","1,453","1,346","1,489","1,028","2,705","1,990","1,110","1,085","1,747","2,055","1,451","2,434","1,665","2,576"
2020년10월_여_50~59세,"25,514","1,521","1,404","1,686","1,016","2,797","2,189","1,348","1,359","2,039","2,406","1,094","2,253","1,568","2,834"
2020년10월_여_60~69세,"20,284","1,139",941,"1,390",756,"2,197","1,767","1,233","1,023","1,676","2,033",830,"1,760","1,142","2,397"
2020년10월_여_70~79세,"13,947",866,599,832,566,"1,651","1,145",959,750,"1,127","1,237",544,"1,248",758,"1,665"
2020년10월_여_80~89세,"6,869",510,286,443,293,797,568,515,363,592,644,246,583,341,688
2020년10월_여_90~99세,"1,181",74,56,111,63,132,93,57,63,98,109,41,110,62,112
2020년10월_여_100세 이상,209,21,25,25,16,22,11,11,2,13,19,12,19,7,6
