카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년01월_계_총인구수,"41,398","9,311","12,256","1,144","1,432","1,188","1,211","1,730",905,"3,838","2,861","1,315","3,099","1,108"
2020년01월_계_연령구간인구수,"41,398","9,311","12,256","1,144","1,432","1,188","1,211","1,730",905,"3,838","2,861","1,315","3,099","1,108"
2020년01월_계_0~9세,"1,923",707,585,37,42,31,43,67,22,140,69,57,101,22
2020년01월_계_10~19세,"2,763",875,891,54,63,52,66,87,51,180,142,85,176,41
2020년01월_계_20~29세,"3,161",992,888,64,94,65,65,114,47,285,145,102,214,86
2020년01월_계_30~39세,"2,755",879,829,66,79,56,60,82,35,213,172,93,136,55
2020년01월_계_40~49세,"4,417","1,275","1,352",92,125,104,117,139,94,362,257,131,289,80
2020년01월_계_50~59세,"6,894","1,537","2,012",173,242,181,195,274,167,581,500,236,604,192
2020년01월_계_60~69세,"7,439","1,328","2,256",220,275,220,202,326,168,771,579,255,633,206
2020년01월_계_70~79세,"6,751","1,026","2,018",203,265,228,240,334,189,739,525,215,538,231
2020년01월_계_80~89세,"4,604",608,"1,236",200,218,223,201,268,115,494,400,129,353,159
2020년01월_계_90~99세,648,80,174,35,27,27,20,37,16,70,66,12,50,34
2020년01월_계_100세 이상,43,4,15,0,2,1,2,2,1,3,6,0,5,2
2020년01월_남_총인구수,"20,049","4,538","5,935",539,704,560,584,823,466,"1,846","1,375",626,"1,518",535
2020년01월_남_연령구간인구수,"20,049","4,538","5,935",539,704,560,584,823,466,"1,846","1,375",626,"1,518",535
2020년01월_남_0~9세,991,359,310,20,21,12,24,29,11,80,32,31,51,11
2020년01월_남_10~19세,"1,395",412,459,32,39,27,38,49,28,97,73,36,83,22
2020년01월_남_20~29세,"1,773",550,492,32,48,36,37,64,28,167,86,63,131,39
2020년01월_남_30~39세,"1,477",446,451,35,52,23,34,44,19,111,92,54,76,40
2020년01월_남_40~49세,"2,499",640,765,61,75,62,80,81,61,228,156,74,165,51
2020년01월_남_50~59세,"3,827",814,"1,109",99,143,113,115,151,110,336,303,111,320,103
2020년01월_남_60~69세,"3,695",652,"1,083",122,152,109,102,181,85,367,278,130,326,108
2020년01월_남_70~79세,"2,821",437,845,81,103,103,93,139,84,298,217,87,235,99
2020년01월_남_80~89세,"1,430",210,387,50,68,64,57,72,38,149,122,40,118,55
2020년01월_남_90~99세,135,18,29,7,3,11,4,13,2,13,15,0,13,7
2020년01월_남_100세 이상,6,0,5,0,0,0,0,0,0,0,1,0,0,0
2020년01월_여_총인구수,"21,349","4,773","6,321",605,728,628,627,907,439,"1,992","1,486",689,"1,581",573
2020년01월_여_연령구간인구수,"21,349","4,773","6,321",605,728,628,627,907,439,"1,992","1,486",689,"1,581",573
2020년01월_여_0~9세,932,348,275,17,21,19,19,38,11,60,37,26,50,11
2020년01월_여_10~19세,"1,368",463,432,22,24,25,28,38,23,83,69,49,93,19
2020년01월_여_20~29세,"1,388",442,396,32,46,29,28,50,19,118,59,39,83,47
2020년01월_여_30~39세,"1,278",433,378,31,27,33,26,38,16,102,80,39,60,15
2020년01월_여_40~49세,"1,918",635,587,31,50,42,37,58,33,134,101,57,124,29
2020년01월_여_50~59세,"3,067",723,903,74,99,68,80,123,57,245,197,125,284,89
2020년01월_여_60~69세,"3,744",676,"1,173",98,123,111,100,145,83,404,301,125,307,98
2020년01월_여_70~79세,"3,930",589,"1,173",122,162,125,147,195,105,441,308,128,303,132
2020년01월_여_80~89세,"3,174",398,849,150,150,159,144,196,77,345,278,89,235,104
2020년01월_여_90~99세,513,62,145,28,24,16,16,24,14,57,51,12,37,27
2020년01월_여_100세 이상,37,4,10,0,2,1,2,2,1,3,5,0,5,2
