,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년02월_계_총인구수,"310,740","19,979","14,232","12,943","12,045","27,009","21,699","25,314","17,563","16,017","11,050","27,966","39,622","28,005","11,651","19,281","6,364"
2021년02월_계_연령구간인구수,"310,740","19,979","14,232","12,943","12,045","27,009","21,699","25,314","17,563","16,017","11,050","27,966","39,622","28,005","11,651","19,281","6,364"
2021년02월_계_0~9세,"19,630","1,085",876,543,682,"1,644","1,205","1,416","1,104","1,094",947,"1,948","3,019","1,713","1,282",932,140
2021년02월_계_10~19세,"25,207","1,579","1,118",762,891,"2,293","1,698","1,995","1,159","1,346",964,"2,467","3,973","2,453",837,"1,424",248
2021년02월_계_20~29세,"39,485","2,348","1,522","1,447","1,452","3,452","3,591","5,041","1,944","2,138","1,054","3,526","4,534","3,363","1,304","2,213",556
2021년02월_계_30~39세,"36,497","2,236","1,498","1,547","1,262","3,028","2,812","3,183","2,163","2,199","1,486","3,682","4,328","2,709","2,058","1,864",442
2021년02월_계_40~49세,"45,809","2,716","2,183","1,654","1,746","3,880","3,014","3,467","2,602","2,417","1,990","4,432","6,500","4,048","1,788","2,606",766
2021년02월_계_50~59세,"54,631","3,441","2,306","2,202","2,018","4,784","3,657","4,139","3,205","2,941","1,782","4,922","7,149","5,361","1,835","3,668","1,221"
2021년02월_계_60~69세,"51,723","3,485","2,598","2,627","2,219","4,683","3,381","3,587","3,082","2,473","1,633","4,389","5,876","4,918","1,610","3,803","1,359"
2021년02월_계_70~79세,"26,396","2,047","1,539","1,509","1,262","2,314","1,627","1,766","1,625",991,884,"1,948","2,892","2,278",681,"1,971","1,062"
2021년02월_계_80~89세,"9,826",875,513,570,449,821,625,642,565,361,284,572,"1,171",997,208,689,484
2021년02월_계_90~99세,"1,374",138,70,71,57,100,79,74,91,55,24,77,170,157,42,99,70
2021년02월_계_100세 이상,162,29,9,11,7,10,10,4,23,2,2,3,10,8,6,12,16
2021년02월_남_총인구수,"154,760","9,631","6,975","6,237","5,863","13,246","10,849","12,586","9,004","8,012","5,716","14,215","19,907","13,760","5,962","9,528","3,269"
2021년02월_남_연령구간인구수,"154,760","9,631","6,975","6,237","5,863","13,246","10,849","12,586","9,004","8,012","5,716","14,215","19,907","13,760","5,962","9,528","3,269"
2021년02월_남_0~9세,"10,082",577,453,292,371,844,606,731,575,571,476,"1,026","1,508",847,680,467,58
2021년02월_남_10~19세,"13,088",841,554,397,436,"1,198",868,974,600,711,514,"1,296","2,125","1,267",450,727,130
2021년02월_남_20~29세,"21,185","1,204",801,745,792,"1,838","1,911","2,747","1,066","1,068",582,"1,877","2,519","1,869",683,"1,158",325
2021년02월_남_30~39세,"19,352","1,185",786,854,663,"1,575","1,555","1,733","1,204","1,177",778,"1,982","2,186","1,363","1,063",988,260
2021년02월_남_40~49세,"23,464","1,320","1,135",880,861,"1,923","1,507","1,755","1,413","1,228","1,103","2,306","3,210","1,983",953,"1,411",476
2021년02월_남_50~59세,"26,789","1,587","1,145","1,044",956,"2,175","1,770","1,954","1,666","1,426",978,"2,442","3,630","2,616",927,"1,762",711
2021년02월_남_60~69세,"24,898","1,615","1,176","1,159","1,000","2,225","1,628","1,646","1,541","1,195",799,"2,155","2,996","2,468",789,"1,824",682
2021년02월_남_70~79세,"12,144",958,732,651,602,"1,142",753,786,717,485,391,908,"1,301","1,005",341,921,451
2021년02월_남_80~89세,"3,457",307,181,191,169,302,240,245,193,138,91,214,390,313,70,252,161
2021년02월_남_90~99세,268,30,12,19,12,22,8,14,24,13,3,8,41,28,6,17,11
2021년02월_남_100세 이상,33,7,0,5,1,2,3,1,5,0,1,1,1,1,0,1,4
2021년02월_여_총인구수,"155,980","10,348","7,257","6,706","6,182","13,763","10,850","12,728","8,559","8,005","5,334","13,751","19,715","14,245","5,689","9,753","3,095"
2021년02월_여_연령구간인구수,"155,980","10,348","7,257","6,706","6,182","13,763","10,850","12,728","8,559","8,005","5,334","13,751","19,715","14,245","5,689","9,753","3,095"
2021년02월_여_0~9세,"9,548",508,423,251,311,800,599,685,529,523,471,922,"1,511",866,602,465,82
2021년02월_여_10~19세,"12,119",738,564,365,455,"1,095",830,"1,021",559,635,450,"1,171","1,848","1,186",387,697,118
2021년02월_여_20~29세,"18,300","1,144",721,702,660,"1,614","1,680","2,294",878,"1,070",472,"1,649","2,015","1,494",621,"1,055",231
2021년02월_여_30~39세,"17,145","1,051",712,693,599,"1,453","1,257","1,450",959,"1,022",708,"1,700","2,142","1,346",995,876,182
2021년02월_여_40~49세,"22,345","1,396","1,048",774,885,"1,957","1,507","1,712","1,189","1,189",887,"2,126","3,290","2,065",835,"1,195",290
2021년02월_여_50~59세,"27,842","1,854","1,161","1,158","1,062","2,609","1,887","2,185","1,539","1,515",804,"2,480","3,519","2,745",908,"1,906",510
2021년02월_여_60~69세,"26,825","1,870","1,422","1,468","1,219","2,458","1,753","1,941","1,541","1,278",834,"2,234","2,880","2,450",821,"1,979",677
2021년02월_여_70~79세,"14,252","1,089",807,858,660,"1,172",874,980,908,506,493,"1,040","1,591","1,273",340,"1,050",611
2021년02월_여_80~89세,"6,369",568,332,379,280,519,385,397,372,223,193,358,781,684,138,437,323
2021년02월_여_90~99세,"1,106",108,58,52,45,78,71,60,67,42,21,69,129,129,36,82,59
2021년02월_여_100세 이상,129,22,9,6,6,8,7,3,18,2,1,2,9,7,6,11,12
