,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년01월_계_총인구수,"49,811","18,246","3,752","4,421",781,"3,242","3,405","4,272","2,373","2,075",226,"2,537",982,"2,690",809
2021년01월_계_연령구간인구수,"49,811","18,246","3,752","4,421",781,"3,242","3,405","4,272","2,373","2,075",226,"2,537",982,"2,690",809
2021년01월_계_0~9세,"3,132","1,450",212,336,49,90,126,192,117,67,8,146,42,256,41
2021년01월_계_10~19세,"3,633","1,728",191,382,50,137,211,264,99,100,10,147,54,226,34
2021년01월_계_20~29세,"3,758","1,839",237,285,39,194,208,267,128,131,8,152,58,156,56
2021년01월_계_30~39세,"3,974","1,787",285,391,73,176,200,250,124,137,7,172,64,253,55
2021년01월_계_40~49세,"6,198","2,690",427,592,118,328,378,433,207,175,29,294,98,341,88
2021년01월_계_50~59세,"8,047","3,103",583,649,124,535,581,628,402,347,34,348,166,412,135
2021년01월_계_60~69세,"8,643","2,857",751,639,160,710,642,714,488,424,36,454,166,452,150
2021년01월_계_70~79세,"7,415","1,809",626,653,129,641,590,899,487,369,47,485,178,352,150
2021년01월_계_80~89세,"4,414",855,391,440,35,382,423,550,283,280,39,301,137,213,85
2021년01월_계_90~99세,570,118,47,53,2,47,45,72,37,44,7,37,18,29,14
2021년01월_계_100세 이상,27,10,2,1,2,2,1,3,1,1,1,1,1,0,1
2021년01월_남_총인구수,"25,056","9,214","1,894","2,218",428,"1,623","1,739","2,086","1,195","1,017",118,"1,253",491,"1,355",425
2021년01월_남_연령구간인구수,"25,056","9,214","1,894","2,218",428,"1,623","1,739","2,086","1,195","1,017",118,"1,253",491,"1,355",425
2021년01월_남_0~9세,"1,608",778,103,161,25,52,54,91,72,30,6,68,18,131,19
2021년01월_남_10~19세,"1,883",886,92,207,27,71,105,137,46,55,5,73,34,120,25
2021년01월_남_20~29세,"2,200","1,073",140,165,24,96,142,157,77,75,8,90,36,86,31
2021년01월_남_30~39세,"2,176",905,168,229,49,118,107,139,67,90,4,98,33,134,35
2021년01월_남_40~49세,"3,608","1,411",284,348,82,205,240,255,137,101,19,196,60,206,64
2021년01월_남_50~59세,"4,481","1,645",333,363,70,310,344,363,231,202,23,201,97,221,78
2021년01월_남_60~69세,"4,309","1,393",385,322,76,348,331,350,243,218,22,219,91,239,72
2021년01월_남_70~79세,"3,281",827,268,278,64,304,254,383,223,151,21,196,79,160,73
2021년01월_남_80~89세,"1,401",273,114,138,11,114,152,195,91,83,10,102,38,53,27
2021년01월_남_90~99세,106,22,7,7,0,5,10,16,8,11,0,9,5,5,1
2021년01월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년01월_여_총인구수,"24,755","9,032","1,858","2,203",353,"1,619","1,666","2,186","1,178","1,058",108,"1,284",491,"1,335",384
2021년01월_여_연령구간인구수,"24,755","9,032","1,858","2,203",353,"1,619","1,666","2,186","1,178","1,058",108,"1,284",491,"1,335",384
2021년01월_여_0~9세,"1,524",672,109,175,24,38,72,101,45,37,2,78,24,125,22
2021년01월_여_10~19세,"1,750",842,99,175,23,66,106,127,53,45,5,74,20,106,9
2021년01월_여_20~29세,"1,558",766,97,120,15,98,66,110,51,56,0,62,22,70,25
2021년01월_여_30~39세,"1,798",882,117,162,24,58,93,111,57,47,3,74,31,119,20
2021년01월_여_40~49세,"2,590","1,279",143,244,36,123,138,178,70,74,10,98,38,135,24
2021년01월_여_50~59세,"3,566","1,458",250,286,54,225,237,265,171,145,11,147,69,191,57
2021년01월_여_60~69세,"4,334","1,464",366,317,84,362,311,364,245,206,14,235,75,213,78
2021년01월_여_70~79세,"4,134",982,358,375,65,337,336,516,264,218,26,289,99,192,77
2021년01월_여_80~89세,"3,013",582,277,302,24,268,271,355,192,197,29,199,99,160,58
2021년01월_여_90~99세,464,96,40,46,2,42,35,56,29,33,7,28,13,24,13
2021년01월_여_100세 이상,24,9,2,1,2,2,1,3,1,0,1,0,1,0,1
