,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년05월_계_총인구수,"437,566","4,681","23,531","4,306","19,622","20,654","9,733","11,413","9,077","8,753","18,705","7,573","27,753","6,966","31,464","37,682","22,516","25,160","37,000","17,416","27,350","29,473","12,468","24,270"
2020년05월_계_연령구간인구수,"437,566","4,681","23,531","4,306","19,622","20,654","9,733","11,413","9,077","8,753","18,705","7,573","27,753","6,966","31,464","37,682","22,516","25,160","37,000","17,416","27,350","29,473","12,468","24,270"
2020년05월_계_0~9세,"34,816",232,"2,483",182,"2,366","1,835",275,631,312,334,"1,334",204,"2,134",362,"3,022","4,682","1,459","1,720","2,885","1,048","1,816","2,489",700,"2,311"
2020년05월_계_10~19세,"44,419",309,"2,079",242,"2,269","2,369",518,983,514,505,"1,189",406,"3,003",468,"3,695","3,186","1,873","2,598","5,274","1,703","2,627","4,645",665,"3,299"
2020년05월_계_20~29세,"60,761",552,"2,718",492,"2,167","2,441","1,092","1,731","2,368","1,266","2,772","2,171","4,007",781,"3,356","4,081","3,721","3,768","5,385","2,514","4,409","4,160","1,443","3,366"
2020년05월_계_30~39세,"54,496",521,"3,743",454,"2,983","2,500",775,"1,201","1,119","1,050","2,330","1,007","3,411",871,"4,019","6,745","2,749","2,864","3,674","1,691","3,147","3,020","1,657","2,965"
2020년05월_계_40~49세,"73,231",625,"4,059",498,"3,712","3,568","1,196","1,567","1,123","1,087","2,708",852,"4,512",937,"6,317","6,398","3,280","4,074","7,175","2,668","4,037","6,315","1,697","4,826"
2020년05월_계_50~59세,"77,441",843,"3,331",958,"2,782","3,488","1,977","2,343","1,323","1,639","3,011","1,234","5,029","1,288","5,071","5,973","4,277","4,764","7,104","3,592","5,537","5,256","2,478","4,143"
2020년05월_계_60~69세,"51,501",803,"2,609",863,"1,849","2,334","1,993","1,672","1,201","1,550","2,704",988,"3,381","1,258","3,496","4,038","2,932","3,110","3,112","2,465","3,342","1,851","2,197","1,753"
2020년05월_계_70~79세,"27,743",532,"1,611",435,"1,020","1,435","1,282",883,754,911,"1,770",492,"1,506",676,"1,817","1,852","1,449","1,613","1,570","1,129","1,581","1,133","1,231","1,061"
2020년05월_계_80~89세,"11,762",227,780,152,419,624,577,358,327,372,771,203,673,295,606,653,690,579,728,553,772,564,351,488
2020년05월_계_90~99세,"1,308",32,108,28,53,56,43,44,32,39,100,15,89,29,64,70,82,69,92,50,76,39,42,56
2020년05월_계_100세 이상,88,5,10,2,2,4,5,0,4,0,16,1,8,1,1,4,4,1,1,3,6,1,7,2
2020년05월_남_총인구수,"217,981","2,283","11,380","2,295","9,497","10,013","4,833","5,642","4,676","4,557","9,433","4,102","13,760","3,485","16,060","18,763","11,299","12,344","18,307","8,724","13,635","14,363","6,494","12,036"
2020년05월_남_연령구간인구수,"217,981","2,283","11,380","2,295","9,497","10,013","4,833","5,642","4,676","4,557","9,433","4,102","13,760","3,485","16,060","18,763","11,299","12,344","18,307","8,724","13,635","14,363","6,494","12,036"
2020년05월_남_0~9세,"17,821",119,"1,232",94,"1,190",947,140,322,155,179,671,100,"1,097",195,"1,569","2,399",728,903,"1,459",532,952,"1,287",356,"1,195"
