카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년03월_계_총인구수,"518,278","21,973","27,195","30,259","37,312","39,315","27,164","22,418","24,571","27,121","20,450","34,931","38,725","20,304","26,842","24,375","33,125","22,740","20,862","18,596"
2021년03월_계_연령구간인구수,"518,278","21,973","27,195","30,259","37,312","39,315","27,164","22,418","24,571","27,121","20,450","34,931","38,725","20,304","26,842","24,375","33,125","22,740","20,862","18,596"
2021년03월_계_0~9세,"32,334","1,150","1,729","2,188","2,066","2,840","1,149","1,471","1,522","1,976","1,164","1,988","2,288",971,"1,374","1,078","2,385","2,372","1,330","1,293"
2021년03월_계_10~19세,"52,292","1,689","2,106","2,114","2,636","4,330","3,097","2,787","4,506","5,631","2,253","3,130","3,329","1,842","2,092","2,034","2,996","2,017","2,064","1,639"
2021년03월_계_20~29세,"72,260","3,807","3,204","3,532","6,674","6,664","4,538","3,041","3,182","2,945","2,578","4,256","5,247","3,272","3,240","3,453","4,562","2,707","2,718","2,640"
2021년03월_계_30~39세,"63,950","2,628","3,173","4,545","5,315","5,125","2,729","2,539","1,872","2,001","1,965","4,204","4,852","2,317","2,914","2,600","4,822","4,676","2,796","2,877"
2021년03월_계_40~49세,"84,739","3,369","4,244","4,596","5,394","6,433","4,155","3,984","4,992","6,472","3,458","5,751","5,670","2,991","3,922","3,637","5,454","3,852","3,424","2,941"
2021년03월_계_50~59세,"87,343","3,479","4,600","4,766","5,758","6,046","4,951","3,876","4,532","4,455","3,583","5,636","6,954","3,945","4,761","4,485","5,674","3,042","3,570","3,230"
2021년03월_계_60~69세,"68,778","3,099","4,408","4,623","5,483","4,551","3,637","2,551","2,272","2,113","2,640","4,864","6,006","2,888","4,398","3,732","4,025","2,288","2,804","2,396"
2021년03월_계_70~79세,"37,315","1,906","2,505","2,610","2,770","2,218","1,811","1,382","1,073",962,"1,915","3,303","2,902","1,406","2,760","2,272","1,987","1,171","1,378",984
2021년03월_계_80~89세,"16,661",728,"1,046","1,128","1,053",971,965,686,544,496,772,"1,578","1,256",575,"1,223",929,"1,011",527,659,514
2021년03월_계_90~99세,"2,492",109,173,150,161,133,126,100,72,65,119,214,209,92,136,148,203,86,116,80
2021년03월_계_100세 이상,114,9,7,7,2,4,6,1,4,5,3,7,12,5,22,7,6,2,3,2
2021년03월_남_총인구수,"249,942","11,320","13,127","14,443","18,175","19,137","13,043","10,679","12,027","13,198","9,877","16,091","18,790","10,037","13,339","11,861","15,355","10,936","9,917","8,590"
2021년03월_남_연령구간인구수,"249,942","11,320","13,127","14,443","18,175","19,137","13,043","10,679","12,027","13,198","9,877","16,091","18,790","10,037","13,339","11,861","15,355","10,936","9,917","8,590"
2021년03월_남_0~9세,"16,637",587,876,"1,113","1,052","1,481",614,767,810,"1,060",591,993,"1,172",480,704,549,"1,230","1,234",675,649
2021년03월_남_10~19세,"27,121",909,"1,085","1,118","1,333","2,211","1,726","1,421","2,269","2,969","1,240","1,521","1,748",945,"1,140","1,031","1,553","1,005","1,075",822
2021년03월_남_20~29세,"36,961","2,189","1,706","1,744","3,306","3,288","2,402","1,558","1,663","1,525","1,335","2,172","2,660","1,632","1,725","1,834","2,200","1,345","1,424","1,253"
2021년03월_남_30~39세,"31,836","1,447","1,605","2,265","2,702","2,554","1,353","1,200",894,853,998,"2,040","2,422","1,211","1,543","1,368","2,269","2,297","1,419","1,396"
2021년03월_남_40~49세,"40,376","1,734","2,153","2,335","2,751","3,036","1,851","1,861","2,166","2,819","1,619","2,800","2,723","1,447","1,973","1,811","2,507","1,913","1,558","1,319"
2021년03월_남_50~59세,"42,369","1,759","2,219","2,210","2,786","2,964","2,409","1,862","2,356","2,379","1,791","2,664","3,298","1,973","2,416","2,164","2,567","1,444","1,647","1,461"
2021년03월_남_60~69세,"31,977","1,488","1,975","2,055","2,534","2,161","1,674","1,186","1,196","1,024","1,246","2,130","2,889","1,435","2,097","1,755","1,796",984,"1,278","1,074"
2021년03월_남_70~79세,"16,166",866,"1,125","1,161","1,256","1,046",695,577,456,401,762,"1,219","1,326",674,"1,222",980,855,509,604,432
2021년03월_남_80~89세,"5,864",313,340,409,414,358,278,222,200,147,266,499,499,220,479,331,333,181,214,161
2021년03월_남_90~99세,611,27,42,33,41,37,40,25,17,19,29,53,46,20,32,38,44,24,22,22
2021년03월_남_100세 이상,24,1,1,0,0,1,1,0,0,2,0,0,7,0,8,0,1,0,1,1
2021년03월_여_총인구수,"268,336","10,653","14,068","15,816","19,137","20,178","14,121","11,739","12,544","13,923","10,573","18,840","19,935","10,267","13,503","12,514","17,770","11,804","10,945","10,006"
2021년03월_여_연령구간인구수,"268,336","10,653","14,068","15,816","19,137","20,178","14,121","11,739","12,544","13,923","10,573","18,840","19,935","10,267","13,503","12,514","17,770","11,804","10,945","10,006"
2021년03월_여_0~9세,"15,697",563,853,"1,075","1,014","1,359",535,704,712,916,573,995,"1,116",491,670,529,"1,155","1,138",655,644
