카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년09월_계_총인구수,"215,266","7,364","7,088","9,238","14,214","29,391","5,470","7,629","8,934","6,634","12,617","6,198","19,688","8,464","46,489","19,919","5,929"
2020년09월_계_연령구간인구수,"215,266","7,364","7,088","9,238","14,214","29,391","5,470","7,629","8,934","6,634","12,617","6,198","19,688","8,464","46,489","19,919","5,929"
2020년09월_계_0~9세,"17,476",518,557,512,918,"2,946",296,403,374,244,"1,057",413,"1,405",512,"3,980","3,009",332
2020년09월_계_10~19세,"22,908",732,679,767,"1,396","4,937",295,429,615,371,"1,159",412,"2,044",625,"6,047","2,038",362
2020년09월_계_20~29세,"28,199",853,900,"1,280","2,011","3,446",672,891,"1,224",987,"1,537",939,"2,828","1,155","6,608","2,345",523
2020년09월_계_30~39세,"25,871",700,888,935,"1,610","2,965",666,844,"1,091",746,"1,561",853,"2,282",941,"5,494","3,787",508
2020년09월_계_40~49세,"34,170","1,092","1,143","1,268","2,229","5,603",757,"1,010","1,213",843,"1,927",852,"3,089","1,152","7,839","3,395",758
2020년09월_계_50~59세,"33,172","1,157","1,025","1,532","2,254","4,355",906,"1,260","1,553","1,235","1,918",913,"3,310","1,470","6,859","2,480",945
2020년09월_계_60~69세,"27,790","1,033",926,"1,396","1,932","2,916",849,"1,213","1,520","1,205","1,818",892,"2,628","1,398","5,221","1,747","1,096"
2020년09월_계_70~79세,"17,280",864,678,"1,039","1,164","1,426",709,"1,088",940,706,"1,099",641,"1,500",865,"3,032",722,807
2020년09월_계_80~89세,"7,190",349,254,434,595,675,276,411,355,257,464,241,524,300,"1,219",321,515
2020년09월_계_90~99세,"1,114",58,30,66,102,118,30,74,47,35,75,33,74,41,181,72,78
2020년09월_계_100세 이상,96,8,8,9,3,4,14,6,2,5,2,9,4,5,9,3,5
2020년09월_남_총인구수,"103,633","3,363","3,402","4,362","6,698","13,787","2,801","3,909","4,574","3,325","5,975","3,053","9,582","4,227","21,973","9,677","2,925"
2020년09월_남_연령구간인구수,"103,633","3,363","3,402","4,362","6,698","13,787","2,801","3,909","4,574","3,325","5,975","3,053","9,582","4,227","21,973","9,677","2,925"
2020년09월_남_0~9세,"8,933",270,293,263,488,"1,438",141,200,193,120,546,218,727,259,"2,024","1,572",181
2020년09월_남_10~19세,"11,500",350,334,397,705,"2,521",164,226,331,192,563,201,"1,055",324,"2,938","1,028",171
2020년09월_남_20~29세,"14,528",428,472,650,"1,039","1,779",347,510,659,544,789,436,"1,466",621,"3,302","1,186",300
2020년09월_남_30~39세,"12,824",338,434,485,787,"1,313",366,462,623,420,769,447,"1,157",517,"2,585","1,845",276
2020년09월_남_40~49세,"16,811",530,570,631,"1,071","2,517",441,609,691,480,934,485,"1,506",586,"3,669","1,662",429
2020년09월_남_50~59세,"15,699",519,493,703,"1,023","2,015",492,673,775,580,894,447,"1,562",696,"3,171","1,156",500
2020년09월_남_60~69세,"12,735",423,400,603,875,"1,324",404,576,715,572,804,405,"1,231",673,"2,381",794,555
2020년09월_남_70~79세,"7,728",355,295,458,489,614,320,486,447,323,470,300,670,417,"1,399",334,351
2020년09월_남_80~89세,"2,611",128,99,159,196,241,115,150,127,86,186,101,200,121,458,92,152
2020년09월_남_90~99세,252,21,10,13,24,24,8,17,13,7,20,11,8,13,46,8,9
2020년09월_남_100세 이상,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1
2020년09월_여_총인구수,"111,633","4,001","3,686","4,876","7,516","15,604","2,669","3,720","4,360","3,309","6,642","3,145","10,106","4,237","24,516","10,242","3,004"
2020년09월_여_연령구간인구수,"111,633","4,001","3,686","4,876","7,516","15,604","2,669","3,720","4,360","3,309","6,642","3,145","10,106","4,237","24,516","10,242","3,004"
2020년09월_여_0~9세,"8,543",248,264,249,430,"1,508",155,203,181,124,511,195,678,253,"1,956","1,437",151
2020년09월_여_10~19세,"11,408",382,345,370,691,"2,416",131,203,284,179,596,211,989,301,"3,109","1,010",191
2020년09월_여_20~29세,"13,671",425,428,630,972,"1,667",325,381,565,443,748,503,"1,362",534,"3,306","1,159",223
2020년09월_여_30~39세,"13,047",362,454,450,823,"1,652",300,382,468,326,792,406,"1,125",424,"2,909","1,942",232
2020년09월_여_40~49세,"17,359",562,573,637,"1,158","3,086",316,401,522,363,993,367,"1,583",566,"4,170","1,733",329
2020년09월_여_50~59세,"17,473",638,532,829,"1,231","2,340",414,587,778,655,"1,024",466,"1,748",774,"3,688","1,324",445
2020년09월_여_60~69세,"15,055",610,526,793,"1,057","1,592",445,637,805,633,"1,014",487,"1,397",725,"2,840",953,541
2020년09월_여_70~79세,"9,552",509,383,581,675,812,389,602,493,383,629,341,830,448,"1,633",388,456
2020년09월_여_80~89세,"4,579",221,155,275,399,434,161,261,228,171,278,140,324,179,761,229,363
2020년09월_여_90~99세,862,37,20,53,78,94,22,57,34,28,55,22,66,28,135,64,69
2020년09월_여_100세 이상,84,7,6,9,2,3,11,6,2,4,2,7,4,5,9,3,4
