,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년01월_계_총인구수,"64,036","18,629","19,412","2,414","6,201","2,888","3,457","5,398","1,943","2,781",913
2021년01월_계_연령구간인구수,"64,036","18,629","19,412","2,414","6,201","2,888","3,457","5,398","1,943","2,781",913
2021년01월_계_0~9세,"4,018","1,258","1,884",55,312,67,59,291,17,62,13
2021년01월_계_10~19세,"5,974","2,002","2,637",122,302,85,142,462,58,137,27
2021년01월_계_20~29세,"5,475","2,036","1,583",159,472,180,226,430,122,217,50
2021년01월_계_30~39세,"5,535","1,859","1,981",154,550,144,144,391,90,173,49
2021년01월_계_40~49세,"9,354","2,861","3,801",220,594,275,298,802,162,274,67
2021년01월_계_50~59세,"11,210","3,372","3,135",409,"1,009",563,596,"1,058",348,553,167
2021년01월_계_60~69세,"11,121","2,774","2,503",564,"1,299",718,810,952,512,712,277
2021년01월_계_70~79세,"6,674","1,476","1,228",413,901,486,664,614,368,370,154
2021년01월_계_80~89세,"4,110",867,565,284,675,329,453,350,242,250,95
2021년01월_계_90~99세,551,119,88,34,85,41,65,48,24,33,14
2021년01월_계_100세 이상,14,5,7,0,2,0,0,0,0,0,0
2021년01월_남_총인구수,"32,487","9,382","9,845","1,210","3,208","1,468","1,721","2,784",998,"1,403",468
2021년01월_남_연령구간인구수,"32,487","9,382","9,845","1,210","3,208","1,468","1,721","2,784",998,"1,403",468
2021년01월_남_0~9세,"2,010",638,929,24,151,32,32,161,6,29,8
2021년01월_남_10~19세,"3,188","1,103","1,388",67,168,48,75,218,27,78,16
2021년01월_남_20~29세,"3,196","1,196",874,94,295,106,141,243,81,140,26
2021년01월_남_30~39세,"2,820",928,924,83,318,92,85,216,53,91,30
2021년01월_남_40~49세,"5,063","1,479","1,945",128,379,182,188,447,111,159,45
2021년01월_남_50~59세,"6,159","1,763","1,725",228,590,332,344,604,209,272,92
2021년01월_남_60~69세,"5,755","1,373","1,279",303,695,373,417,512,266,388,149
2021년01월_남_70~79세,"2,958",614,596,187,390,200,288,273,157,180,73
2021년01월_남_80~89세,"1,225",259,162,90,201,93,140,104,84,64,28
2021년01월_남_90~99세,109,29,21,6,19,10,11,6,4,2,1
2021년01월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2021년01월_여_총인구수,"31,549","9,247","9,567","1,204","2,993","1,420","1,736","2,614",945,"1,378",445
2021년01월_여_연령구간인구수,"31,549","9,247","9,567","1,204","2,993","1,420","1,736","2,614",945,"1,378",445
2021년01월_여_0~9세,"2,008",620,955,31,161,35,27,130,11,33,5
2021년01월_여_10~19세,"2,786",899,"1,249",55,134,37,67,244,31,59,11
2021년01월_여_20~29세,"2,279",840,709,65,177,74,85,187,41,77,24
2021년01월_여_30~39세,"2,715",931,"1,057",71,232,52,59,175,37,82,19
2021년01월_여_40~49세,"4,291","1,382","1,856",92,215,93,110,355,51,115,22
2021년01월_여_50~59세,"5,051","1,609","1,410",181,419,231,252,454,139,281,75
2021년01월_여_60~69세,"5,366","1,401","1,224",261,604,345,393,440,246,324,128
2021년01월_여_70~79세,"3,716",862,632,226,511,286,376,341,211,190,81
2021년01월_여_80~89세,"2,885",608,403,194,474,236,313,246,158,186,67
2021년01월_여_90~99세,442,90,67,28,66,31,54,42,20,31,13
2021년01월_여_100세 이상,10,5,5,0,0,0,0,0,0,0,0
