,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년11월_계_총인구수,"62,833","12,411","9,653",609,223,"3,089","2,914","4,262","3,807","4,847","1,867","2,640","3,286","2,270","3,069","2,223","2,972","1,244","1,447"
2021년11월_계_연령구간인구수,"62,833","12,411","9,653",609,223,"3,089","2,914","4,262","3,807","4,847","1,867","2,640","3,286","2,270","3,069","2,223","2,972","1,244","1,447"
2021년11월_계_0~9세,"2,424",969,494,25,1,59,76,115,78,115,51,38,86,52,97,59,57,26,26
2021년11월_계_10~19세,"3,684","1,408",737,24,12,92,115,180,158,214,84,92,108,98,112,68,95,36,51
2021년11월_계_20~29세,"3,885","1,220",716,16,8,121,148,207,184,230,73,107,202,115,190,100,118,55,75
2021년11월_계_30~39세,"3,430","1,091",678,29,16,128,130,151,147,191,64,85,150,110,159,93,91,47,70
2021년11월_계_40~49세,"5,988","1,822","1,119",30,31,217,221,321,293,407,148,198,235,149,260,123,208,81,125
2021년11월_계_50~59세,"9,909","1,997","1,645",32,42,451,462,660,611,802,282,405,549,335,447,349,413,198,229
2021년11월_계_60~69세,"13,011","1,850","1,940",91,33,710,617,944,871,"1,059",434,620,744,590,703,548,618,277,362
2021년11월_계_70~79세,"11,305","1,251","1,486",172,42,708,583,936,793,997,390,559,609,466,575,432,716,303,287
2021년11월_계_80~89세,"7,858",665,723,160,35,516,473,663,572,726,294,434,511,301,444,406,552,184,199
2021년11월_계_90~99세,"1,296",130,111,30,3,85,89,84,93,101,46,102,86,54,78,45,100,36,23
2021년11월_계_100세 이상,43,8,4,0,0,2,0,1,7,5,1,0,6,0,4,0,4,1,0
2021년11월_남_총인구수,"30,566","6,112","4,726",304,116,"1,526","1,398","2,074","1,843","2,339",920,"1,254","1,570","1,082","1,488","1,088","1,406",586,734
2021년11월_남_연령구간인구수,"30,566","6,112","4,726",304,116,"1,526","1,398","2,074","1,843","2,339",920,"1,254","1,570","1,082","1,488","1,088","1,406",586,734
2021년11월_남_0~9세,"1,203",486,238,12,1,33,31,58,28,50,28,14,45,30,50,37,34,13,15
2021년11월_남_10~19세,"1,986",763,389,11,4,46,58,96,78,117,39,50,68,55,63,40,53,24,32
2021년11월_남_20~29세,"2,280",682,409,6,7,82,81,130,111,145,43,76,112,74,106,68,70,29,49
2021년11월_남_30~39세,"1,856",521,349,17,12,82,85,85,90,110,35,46,89,54,91,59,58,31,42
2021년11월_남_40~49세,"3,457",908,591,14,26,158,129,189,187,251,105,134,152,91,162,91,132,52,85
2021년11월_남_50~59세,"5,606","1,077",894,17,26,287,273,382,341,460,173,234,305,197,263,195,244,110,128
2021년11월_남_60~69세,"6,493",855,938,51,18,362,338,468,433,519,219,316,377,304,356,294,314,138,193
2021년11월_남_70~79세,"4,947",575,652,88,15,293,244,403,380,415,176,253,252,185,256,190,307,129,134
2021년11월_남_80~89세,"2,461",222,248,77,7,164,140,240,180,247,88,118,148,89,114,108,174,49,48
2021년11월_남_90~99세,273,21,18,11,0,19,19,22,15,25,13,13,22,3,27,6,20,11,8
2021년11월_남_100세 이상,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"32,267","6,299","4,927",305,107,"1,563","1,516","2,188","1,964","2,508",947,"1,386","1,716","1,188","1,581","1,135","1,566",658,713
2021년11월_여_연령구간인구수,"32,267","6,299","4,927",305,107,"1,563","1,516","2,188","1,964","2,508",947,"1,386","1,716","1,188","1,581","1,135","1,566",658,713
2021년11월_여_0~9세,"1,221",483,256,13,0,26,45,57,50,65,23,24,41,22,47,22,23,13,11
2021년11월_여_10~19세,"1,698",645,348,13,8,46,57,84,80,97,45,42,40,43,49,28,42,12,19
2021년11월_여_20~29세,"1,605",538,307,10,1,39,67,77,73,85,30,31,90,41,84,32,48,26,26
2021년11월_여_30~39세,"1,574",570,329,12,4,46,45,66,57,81,29,39,61,56,68,34,33,16,28
2021년11월_여_40~49세,"2,531",914,528,16,5,59,92,132,106,156,43,64,83,58,98,32,76,29,40
2021년11월_여_50~59세,"4,303",920,751,15,16,164,189,278,270,342,109,171,244,138,184,154,169,88,101
2021년11월_여_60~69세,"6,518",995,"1,002",40,15,348,279,476,438,540,215,304,367,286,347,254,304,139,169
2021년11월_여_70~79세,"6,358",676,834,84,27,415,339,533,413,582,214,306,357,281,319,242,409,174,153
2021년11월_여_80~89세,"5,397",443,475,83,28,352,333,423,392,479,206,316,363,212,330,298,378,135,151
2021년11월_여_90~99세,"1,023",109,93,19,3,66,70,62,78,76,33,89,64,51,51,39,80,25,15
2021년11월_여_100세 이상,39,6,4,0,0,2,0,0,7,5,0,0,6,0,4,0,4,1,0
