카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년02월_계_총인구수,"170,005","8,613","10,138","16,927","9,803","9,655","9,963","6,372","7,836","11,009","7,955","8,113","10,037","18,285","1,804","5,221","20,426","7,848"
2021년02월_계_연령구간인구수,"170,005","8,613","10,138","16,927","9,803","9,655","9,963","6,372","7,836","11,009","7,955","8,113","10,037","18,285","1,804","5,221","20,426","7,848"
2021년02월_계_0~9세,"7,401",326,324,705,299,286,377,197,227,401,297,591,356,"1,291",68,144,"1,247",265
2021년02월_계_10~19세,"10,744",485,530,"1,222",623,479,593,337,499,572,462,592,579,"1,250",105,317,"1,690",409
2021년02월_계_20~29세,"21,415","1,311","1,287","2,439","1,162","1,034","1,278",656,"1,001","1,309","1,029",909,"1,278","2,286",217,635,"2,619",965
2021년02월_계_30~39세,"17,279",956,932,"1,965",852,800,945,606,696,"1,064",741,949,964,"2,265",181,479,"2,168",716
2021년02월_계_40~49세,"22,663","1,069","1,295","2,243","1,316","1,124","1,278",770,"1,010","1,406","1,036","1,215","1,311","2,637",240,648,"3,001","1,064"
2021년02월_계_50~59세,"33,937","1,667","1,977","3,080","2,110","1,905","2,025","1,300","1,647","2,405","1,630","1,466","2,171","3,493",369,"1,143","3,962","1,587"
2021년02월_계_60~69세,"31,451","1,547","1,976","2,977","1,835","1,947","1,933","1,288","1,533","2,150","1,506","1,385","1,912","3,014",354,"1,111","3,510","1,473"
2021년02월_계_70~79세,"17,229",846,"1,234","1,580","1,113","1,385","1,043",841,831,"1,213",826,710,"1,019","1,428",196,507,"1,536",921
2021년02월_계_80~89세,"7,031",367,534,636,436,614,440,347,352,447,382,270,404,533,63,213,588,405
2021년02월_계_90~99세,751,30,42,78,50,61,40,29,33,38,39,25,40,84,5,24,90,43
2021년02월_계_100세 이상,104,9,7,2,7,20,11,1,7,4,7,1,3,4,6,0,15,0
2021년02월_남_총인구수,"85,148","4,262","4,923","8,173","5,001","4,793","4,911","3,242","3,858","5,833","4,037","3,960","5,073","9,087",948,"2,767","10,309","3,971"
2021년02월_남_연령구간인구수,"85,148","4,262","4,923","8,173","5,001","4,793","4,911","3,242","3,858","5,833","4,037","3,960","5,073","9,087",948,"2,767","10,309","3,971"
2021년02월_남_0~9세,"3,818",183,164,350,148,157,187,102,119,213,151,306,187,650,40,73,671,117
2021년02월_남_10~19세,"5,577",260,274,629,330,259,312,171,262,288,253,281,325,636,60,160,882,195
2021년02월_남_20~29세,"11,778",695,674,"1,293",667,573,692,360,557,766,590,481,687,"1,258",127,374,"1,436",548
2021년02월_남_30~39세,"9,793",536,550,"1,111",502,463,556,370,398,597,436,500,563,"1,208",99,300,"1,199",405
2021년02월_남_40~49세,"12,183",561,726,"1,105",741,646,696,426,512,842,582,627,722,"1,358",136,380,"1,520",603
2021년02월_남_50~59세,"17,114",786,983,"1,396","1,100","1,009",979,718,831,"1,356",853,712,"1,089","1,716",190,609,"1,960",827
2021년02월_남_60~69세,"14,733",706,882,"1,333",883,916,876,598,687,"1,067",698,637,917,"1,411",170,569,"1,677",706
2021년02월_남_70~79세,"7,542",397,487,709,465,556,451,362,354,544,337,312,443,660,94,225,737,409
2021년02월_남_80~89세,"2,450",128,172,227,156,203,154,127,130,155,128,99,134,178,30,71,205,153
2021년02월_남_90~99세,135,8,9,20,6,11,5,8,6,4,6,4,6,12,1,6,15,8
2021년02월_남_100세 이상,25,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,7,0
2021년02월_여_총인구수,"84,857","4,351","5,215","8,754","4,802","4,862","5,052","3,130","3,978","5,176","3,918","4,153","4,964","9,198",856,"2,454","10,117","3,877"
2021년02월_여_연령구간인구수,"84,857","4,351","5,215","8,754","4,802","4,862","5,052","3,130","3,978","5,176","3,918","4,153","4,964","9,198",856,"2,454","10,117","3,877"
2021년02월_여_0~9세,"3,583",143,160,355,151,129,190,95,108,188,146,285,169,641,28,71,576,148
2021년02월_여_10~19세,"5,167",225,256,593,293,220,281,166,237,284,209,311,254,614,45,157,808,214
2021년02월_여_20~29세,"9,637",616,613,"1,146",495,461,586,296,444,543,439,428,591,"1,028",90,261,"1,183",417
2021년02월_여_30~39세,"7,486",420,382,854,350,337,389,236,298,467,305,449,401,"1,057",82,179,969,311
2021년02월_여_40~49세,"10,480",508,569,"1,138",575,478,582,344,498,564,454,588,589,"1,279",104,268,"1,481",461
2021년02월_여_50~59세,"16,823",881,994,"1,684","1,010",896,"1,046",582,816,"1,049",777,754,"1,082","1,777",179,534,"2,002",760
2021년02월_여_60~69세,"16,718",841,"1,094","1,644",952,"1,031","1,057",690,846,"1,083",808,748,995,"1,603",184,542,"1,833",767
2021년02월_여_70~79세,"9,687",449,747,871,648,829,592,479,477,669,489,398,576,768,102,282,799,512
2021년02월_여_80~89세,"4,581",239,362,409,280,411,286,220,222,292,254,171,270,355,33,142,383,252
2021년02월_여_90~99세,616,22,33,58,44,50,35,21,27,34,33,21,34,72,4,18,75,35
2021년02월_여_100세 이상,79,7,5,2,4,20,8,1,5,3,4,0,3,4,5,0,8,0
