카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년07월_계_총인구수,"577,058","41,940","24,275","20,491","30,977","52,026","18,074","21,384","20,735","34,451","24,853","24,603","34,086","14,168","15,239","36,257","43,154","30,844","43,248","23,246","23,007"
2021년07월_계_연령구간인구수,"577,058","41,940","24,275","20,491","30,977","52,026","18,074","21,384","20,735","34,451","24,853","24,603","34,086","14,168","15,239","36,257","43,154","30,844","43,248","23,246","23,007"
2021년07월_계_0~9세,"38,065","4,019","1,260","1,262","1,684","2,548","1,116","1,223","1,102","2,082","1,187","1,238","1,624",472,689,"3,132","3,605","3,455","3,899","1,191","1,277"
2021년07월_계_10~19세,"43,876","4,469","1,286","1,535","1,962","2,420","1,387","1,615","1,328","2,368","1,608","1,557","1,842",455,550,"4,829","5,455","2,151","4,194","1,394","1,471"
2021년07월_계_20~29세,"86,744","5,691","5,063","3,169","3,934","9,582","2,612","3,069","2,914","6,057","4,367","3,868","8,348","1,632","1,733","4,552","5,228","4,019","5,136","3,329","2,441"
2021년07월_계_30~39세,"98,242","7,304","6,134","3,481","4,624","10,407","2,838","3,101","3,252","6,392","4,237","4,013","8,477","2,313","3,051","4,120","5,298","5,693","6,209","3,720","3,578"
2021년07월_계_40~49세,"89,980","7,603","3,244","3,019","3,894","7,448","3,030","3,201","3,229","5,437","3,590","3,901","4,580","1,435","1,886","6,969","8,390","5,039","7,491","3,204","3,390"
2021년07월_계_50~59세,"84,557","5,937","3,043","3,261","5,128","7,288","2,806","3,212","3,325","4,815","3,860","3,664","4,112","2,064","2,197","5,690","6,604","4,126","6,387","3,558","3,480"
2021년07월_계_60~69세,"78,726","4,346","2,302","2,891","5,424","7,162","2,503","3,470","3,229","4,357","3,716","3,590","3,355","3,276","2,768","3,936","5,084","3,699","5,854","3,785","3,979"
2021년07월_계_70~79세,"39,061","1,779","1,118","1,320","2,562","3,772","1,325","1,794","1,673","2,111","1,605","2,065","1,163","1,597","1,567","2,120","2,588","1,822","2,828","2,053","2,199"
2021년07월_계_80~89세,"15,219",694,684,466,"1,459","1,228",398,603,597,712,584,621,498,785,679,764,768,722,"1,082",882,993
2021년07월_계_90~99세,"2,494",94,135,87,294,161,59,88,85,116,97,82,84,135,117,139,129,114,163,126,189
2021년07월_계_100세 이상,94,4,6,0,12,10,0,8,1,4,2,4,3,4,2,6,5,4,5,4,10
2021년07월_남_총인구수,"278,142","20,325","11,343","10,016","14,713","25,277","8,801","10,288","10,147","16,705","12,094","11,858","15,650","6,675","7,090","17,180","20,617","15,575","21,086","11,501","11,201"
2021년07월_남_연령구간인구수,"278,142","20,325","11,343","10,016","14,713","25,277","8,801","10,288","10,147","16,705","12,094","11,858","15,650","6,675","7,090","17,180","20,617","15,575","21,086","11,501","11,201"
2021년07월_남_0~9세,"19,409","2,080",649,667,872,"1,287",558,657,564,"1,067",605,620,856,228,346,"1,601","1,788","1,776","1,916",616,656
2021년07월_남_10~19세,"22,429","2,275",743,859,"1,019","1,239",688,818,698,"1,259",904,795,920,244,276,"2,323","2,662","1,093","2,114",729,771
2021년07월_남_20~29세,"39,951","2,640","2,007","1,569","1,971","4,307","1,310","1,456","1,470","2,801","2,028","1,886","2,832",718,828,"2,252","2,454","2,030","2,493","1,639","1,260"
2021년07월_남_30~39세,"49,626","3,421","2,972","1,771","2,387","5,529","1,488","1,561","1,707","3,366","2,150","2,121","4,206","1,167","1,525","1,938","2,531","2,901","3,041","1,977","1,867"
2021년07월_남_40~49세,"45,269","3,722","1,619","1,477","1,874","3,926","1,543","1,541","1,680","2,785","1,823","1,968","2,401",741,996,"3,311","3,927","2,700","3,795","1,708","1,732"
2021년07월_남_50~59세,"40,596","2,925","1,469","1,487","2,356","3,446","1,341","1,526","1,588","2,279","1,816","1,686","1,976",956,"1,035","2,737","3,295","2,091","3,130","1,772","1,685"
2021년07월_남_60~69세,"36,482","2,144","1,078","1,338","2,533","3,205","1,084","1,614","1,432","1,904","1,745","1,540","1,686","1,631","1,215","1,760","2,349","1,791","2,773","1,799","1,861"
2021년07월_남_70~79세,"18,264",835,503,658,"1,159","1,821",625,878,759,939,795,975,567,728,636,947,"1,269",880,"1,380",923,987
2021년07월_남_80~89세,"5,532",258,256,174,454,478,157,214,230,282,211,248,181,234,209,289,314,293,403,309,338
2021년07월_남_90~99세,556,24,43,16,84,35,7,21,19,23,17,18,24,27,23,22,27,18,40,27,41
2021년07월_남_100세 이상,28,1,4,0,4,4,0,2,0,0,0,1,1,1,1,0,1,2,1,2,3
2021년07월_여_총인구수,"298,916","21,615","12,932","10,475","16,264","26,749","9,273","11,096","10,588","17,746","12,759","12,745","18,436","7,493","8,149","19,077","22,537","15,269","22,162","11,745","11,806"
2021년07월_여_연령구간인구수,"298,916","21,615","12,932","10,475","16,264","26,749","9,273","11,096","10,588","17,746","12,759","12,745","18,436","7,493","8,149","19,077","22,537","15,269","22,162","11,745","11,806"
2021년07월_여_0~9세,"18,656","1,939",611,595,812,"1,261",558,566,538,"1,015",582,618,768,244,343,"1,531","1,817","1,679","1,983",575,621
2021년07월_여_10~19세,"21,447","2,194",543,676,943,"1,181",699,797,630,"1,109",704,762,922,211,274,"2,506","2,793","1,058","2,080",665,700
