,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년08월_계_총인구수,"24,342","8,332","2,702","2,830","4,150","6,328"
2021년08월_계_연령구간인구수,"24,342","8,332","2,702","2,830","4,150","6,328"
2021년08월_계_0~9세,"1,750",673,54,138,284,601
2021년08월_계_10~19세,"1,701",734,139,246,153,429
2021년08월_계_20~29세,"3,704","1,160",262,255,"1,082",945
2021년08월_계_30~39세,"2,790",981,128,240,518,923
2021년08월_계_40~49세,"2,609","1,110",213,355,307,624
2021년08월_계_50~59세,"3,768","1,281",582,512,489,904
2021년08월_계_60~69세,"4,076","1,179",656,549,652,"1,040"
2021년08월_계_70~79세,"2,255",711,385,295,359,505
2021년08월_계_80~89세,"1,454",444,232,208,264,306
2021년08월_계_90~99세,225,55,50,30,41,49
2021년08월_계_100세 이상,10,4,1,2,1,2
2021년08월_남_총인구수,"13,223","4,356","1,441","1,485","2,504","3,437"
2021년08월_남_연령구간인구수,"13,223","4,356","1,441","1,485","2,504","3,437"
2021년08월_남_0~9세,894,353,28,74,129,310
2021년08월_남_10~19세,854,370,66,125,77,216
2021년08월_남_20~29세,"2,567",711,193,142,874,647
2021년08월_남_30~39세,"1,656",555,79,123,356,543
2021년08월_남_40~49세,"1,434",589,109,200,186,350
2021년08월_남_50~59세,"2,036",683,330,291,268,464
2021년08월_남_60~69세,"2,207",635,364,302,360,546
2021년08월_남_70~79세,"1,007",297,176,144,154,236
2021년08월_남_80~89세,510,150,81,77,92,110
2021년08월_남_90~99세,54,12,14,6,8,14
2021년08월_남_100세 이상,4,1,1,1,0,1
2021년08월_여_총인구수,"11,119","3,976","1,261","1,345","1,646","2,891"
2021년08월_여_연령구간인구수,"11,119","3,976","1,261","1,345","1,646","2,891"
2021년08월_여_0~9세,856,320,26,64,155,291
2021년08월_여_10~19세,847,364,73,121,76,213
2021년08월_여_20~29세,"1,137",449,69,113,208,298
2021년08월_여_30~39세,"1,134",426,49,117,162,380
2021년08월_여_40~49세,"1,175",521,104,155,121,274
2021년08월_여_50~59세,"1,732",598,252,221,221,440
2021년08월_여_60~69세,"1,869",544,292,247,292,494
2021년08월_여_70~79세,"1,248",414,209,151,205,269
2021년08월_여_80~89세,944,294,151,131,172,196
2021년08월_여_90~99세,171,43,36,24,33,35
2021년08월_여_100세 이상,6,3,0,1,1,1
