카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년08월_계_총인구수,"110,243","17,667","13,489","15,420","7,458","1,589","3,387","2,793","3,446","5,909","4,944","6,354","15,598","6,756","5,176",257
2021년08월_계_연령구간인구수,"110,243","17,667","13,489","15,420","7,458","1,589","3,387","2,793","3,446","5,909","4,944","6,354","15,598","6,756","5,176",257
2021년08월_계_0~9세,"7,799","1,302","1,412","1,861",604,35,83,71,68,156,204,418,992,303,287,3
2021년08월_계_10~19세,"10,159","1,779","1,552","2,057",644,45,144,76,132,278,288,497,"1,644",628,388,7
2021년08월_계_20~29세,"10,498","2,219","1,490","1,498",509,104,250,145,219,363,433,515,"1,641",695,407,10
2021년08월_계_30~39세,"11,353","2,230","1,927","2,198",769,90,172,128,149,387,397,637,"1,333",513,412,11
2021년08월_계_40~49세,"17,442","3,100","2,431","3,111","1,228",147,323,243,308,646,634,948,"2,503","1,111",679,30
2021년08월_계_50~59세,"18,206","3,017","2,057","1,931","1,141",269,569,503,632,"1,001",921,"1,107","2,909","1,263",848,38
2021년08월_계_60~69세,"17,198","2,128","1,353","1,393","1,260",419,792,682,807,"1,465","1,029","1,130","2,470","1,165","1,040",65
2021년08월_계_70~79세,"10,724","1,128",743,829,791,251,595,521,622,"1,059",665,760,"1,365",672,659,64
2021년08월_계_80~89세,"5,974",663,434,470,434,204,400,375,437,488,335,306,675,347,379,27
2021년08월_계_90~99세,863,96,88,71,76,25,54,47,70,65,38,33,65,58,75,2
2021년08월_계_100세 이상,27,5,2,1,2,0,5,2,2,1,0,3,1,1,2,0
2021년08월_남_총인구수,"55,613","9,232","6,776","8,024","3,726",827,"1,739","1,390","1,699","2,889","2,450","3,096","7,587","3,497","2,552",129
2021년08월_남_연령구간인구수,"55,613","9,232","6,776","8,024","3,726",827,"1,739","1,390","1,699","2,889","2,450","3,096","7,587","3,497","2,552",129
2021년08월_남_0~9세,"4,037",679,716,997,282,20,51,40,36,83,105,206,519,150,152,1
2021년08월_남_10~19세,"5,253",883,816,"1,023",352,24,78,48,66,147,152,273,838,348,200,5
2021년08월_남_20~29세,"6,272","1,311",850,940,295,60,164,98,142,216,280,296,946,415,252,7
2021년08월_남_30~39세,"6,141","1,293","1,002","1,156",390,57,99,70,86,243,226,331,673,296,214,5
2021년08월_남_40~49세,"9,239","1,689","1,197","1,633",692,90,194,156,189,385,350,493,"1,183",592,371,25
2021년08월_남_50~59세,"9,688","1,599","1,076","1,101",600,166,322,294,365,540,463,562,"1,457",695,424,24
2021년08월_남_60~69세,"8,356","1,068",662,669,598,228,415,347,398,671,482,512,"1,178",583,514,31
2021년08월_남_70~79세,"4,610",487,314,349,358,112,273,216,278,439,280,315,580,290,295,24
2021년08월_남_80~89세,"1,870",208,129,146,144,64,129,113,129,156,104,102,204,117,119,6
2021년08월_남_90~99세,139,14,14,10,14,6,12,7,9,9,8,6,9,10,10,1
2021년08월_남_100세 이상,8,1,0,0,1,0,2,1,1,0,0,0,0,1,1,0
2021년08월_여_총인구수,"54,630","8,435","6,713","7,396","3,732",762,"1,648","1,403","1,747","3,020","2,494","3,258","8,011","3,259","2,624",128
2021년08월_여_연령구간인구수,"54,630","8,435","6,713","7,396","3,732",762,"1,648","1,403","1,747","3,020","2,494","3,258","8,011","3,259","2,624",128
2021년08월_여_0~9세,"3,762",623,696,864,322,15,32,31,32,73,99,212,473,153,135,2
2021년08월_여_10~19세,"4,906",896,736,"1,034",292,21,66,28,66,131,136,224,806,280,188,2
2021년08월_여_20~29세,"4,226",908,640,558,214,44,86,47,77,147,153,219,695,280,155,3
2021년08월_여_30~39세,"5,212",937,925,"1,042",379,33,73,58,63,144,171,306,660,217,198,6
2021년08월_여_40~49세,"8,203","1,411","1,234","1,478",536,57,129,87,119,261,284,455,"1,320",519,308,5
2021년08월_여_50~59세,"8,518","1,418",981,830,541,103,247,209,267,461,458,545,"1,452",568,424,14
2021년08월_여_60~69세,"8,842","1,060",691,724,662,191,377,335,409,794,547,618,"1,292",582,526,34
2021년08월_여_70~79세,"6,114",641,429,480,433,139,322,305,344,620,385,445,785,382,364,40
2021년08월_여_80~89세,"4,104",455,305,324,290,140,271,262,308,332,231,204,471,230,260,21
2021년08월_여_90~99세,724,82,74,61,62,19,42,40,61,56,30,27,56,48,65,1
2021년08월_여_100세 이상,19,4,2,1,1,0,3,1,1,1,0,3,1,0,1,0
