,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년11월_계_총인구수,"223,442","16,865","9,482","7,357","19,519","15,971","13,769","10,071","11,900","21,791","25,976","8,339","6,429","9,018","20,422","13,027","13,506"
2021년11월_계_연령구간인구수,"223,442","16,865","9,482","7,357","19,519","15,971","13,769","10,071","11,900","21,791","25,976","8,339","6,429","9,018","20,422","13,027","13,506"
2021년11월_계_0~9세,"12,737",880,318,177,631,"1,261",847,739,717,"1,236","2,487",519,218,399,"1,127",760,421
2021년11월_계_10~19세,"14,737","1,178",491,254,"1,052",909,"1,173",699,721,989,"2,729",503,265,466,"1,140","1,425",743
2021년11월_계_20~29세,"32,880","2,395","1,472",946,"4,246","2,451","1,857","1,536","1,771","3,734","2,707",853,"1,059","1,390","2,614","1,741","2,108"
2021년11월_계_30~39세,"37,791","2,788","1,683","1,020","3,225","3,631","2,124","1,842","1,981","4,791","3,227","1,375","1,103","1,651","3,824","1,468","2,058"
2021년11월_계_40~49세,"33,840","2,600","1,304","1,035","2,592","2,588","2,167","1,534","1,721","2,873","4,472","1,222",831,"1,364","3,272","2,338","1,927"
2021년11월_계_50~59세,"36,206","2,728","1,396","1,587","3,065","2,227","2,264","1,589","1,985","3,434","4,372","1,339","1,030","1,269","3,187","2,293","2,441"
2021년11월_계_60~69세,"29,160","2,283","1,410","1,385","2,477","1,678","1,776","1,095","1,568","2,651","2,907","1,377","1,003","1,190","2,831","1,519","2,010"
2021년11월_계_70~79세,"16,040","1,282",883,620,"1,434",813,974,642,963,"1,295","1,656",719,520,787,"1,522",772,"1,158"
2021년11월_계_80~89세,"8,562",616,448,284,700,355,518,342,413,670,"1,178",365,322,433,746,616,556
2021년11월_계_90~99세,"1,413",105,75,44,94,55,67,49,57,112,232,66,73,66,144,93,81
2021년11월_계_100세 이상,76,10,2,5,3,3,2,4,3,6,9,1,5,3,15,2,3
2021년11월_남_총인구수,"107,486","8,220","4,594","4,473","9,159","7,587","6,484","4,763","5,695","10,326","12,151","3,905","3,144","4,148","9,865","6,244","6,728"
2021년11월_남_연령구간인구수,"107,486","8,220","4,594","4,473","9,159","7,587","6,484","4,763","5,695","10,326","12,151","3,905","3,144","4,148","9,865","6,244","6,728"
2021년11월_남_0~9세,"6,560",448,163,96,312,621,420,376,359,655,"1,320",259,106,201,604,388,232
2021년11월_남_10~19세,"7,460",647,256,145,557,479,485,369,366,516,"1,365",243,132,210,562,713,415
2021년11월_남_20~29세,"15,498","1,200",779,436,"1,687","1,019",855,706,867,"1,559","1,325",430,563,681,"1,344",866,"1,181"
2021년11월_남_30~39세,"18,714","1,455",871,558,"1,724","1,712","1,068",896,967,"2,262","1,394",684,604,801,"1,837",735,"1,146"
2021년11월_남_40~49세,"16,680","1,269",676,645,"1,302","1,308","1,071",732,859,"1,403","2,016",614,423,656,"1,645","1,083",978
2021년11월_남_50~59세,"17,877","1,343",657,"1,109","1,524","1,103","1,104",752,983,"1,658","2,104",616,491,581,"1,537","1,131","1,184"
2021년11월_남_60~69세,"14,053","1,068",627,967,"1,162",814,849,517,715,"1,348","1,406",620,468,513,"1,329",759,891
2021년11월_남_70~79세,"7,014",559,390,361,593,371,445,270,403,602,692,309,212,330,666,319,492
2021년11월_남_80~89세,"3,183",201,155,142,274,144,168,126,162,285,446,119,122,152,294,213,180
2021년11월_남_90~99세,425,28,19,13,23,15,19,18,13,37,80,11,22,23,39,36,29
2021년11월_남_100세 이상,22,2,1,1,1,1,0,1,1,1,3,0,1,0,8,1,0
2021년11월_여_총인구수,"115,956","8,645","4,888","2,884","10,360","8,384","7,285","5,308","6,205","11,465","13,825","4,434","3,285","4,870","10,557","6,783","6,778"
