,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년06월_계_총인구수,"1,126,369","214,779","316,716","155,129","218,131","221,614"
2021년06월_계_연령구간인구수,"1,126,369","214,779","316,716","155,129","218,131","221,614"
2021년06월_계_0~9세,"94,865","15,933","23,090","14,200","24,516","17,126"
2021년06월_계_10~19세,"110,623","19,700","29,650","15,595","23,564","22,114"
2021년06월_계_20~29세,"141,167","25,969","44,667","17,340","26,987","26,204"
2021년06월_계_30~39세,"147,880","25,731","41,541","22,041","33,381","25,186"
2021년06월_계_40~49세,"185,339","33,632","50,470","26,026","38,685","36,526"
2021년06월_계_50~59세,"206,852","40,460","61,013","25,034","38,481","41,864"
2021년06월_계_60~69세,"151,599","32,894","42,958","23,450","21,290","31,007"
2021년06월_계_70~79세,"61,411","14,519","16,820","8,504","7,631","13,937"
2021년06월_계_80~89세,"23,433","5,306","5,818","2,567","3,118","6,624"
2021년06월_계_90~99세,"3,118",621,670,363,460,"1,004"
2021년06월_계_100세 이상,82,14,19,9,18,22
2021년06월_남_총인구수,"578,924","108,776","161,614","81,003","113,009","114,522"
2021년06월_남_연령구간인구수,"578,924","108,776","161,614","81,003","113,009","114,522"
2021년06월_남_0~9세,"48,733","8,207","11,866","7,231","12,608","8,821"
2021년06월_남_10~19세,"58,175","10,508","15,699","8,272","12,220","11,476"
2021년06월_남_20~29세,"79,565","14,485","24,898","9,732","15,462","14,988"
2021년06월_남_30~39세,"78,655","13,539","22,238","12,104","17,340","13,434"
2021년06월_남_40~49세,"94,670","17,182","24,780","14,165","19,855","18,688"
2021년06월_남_50~59세,"105,071","20,126","30,562","12,543","19,730","22,110"
2021년06월_남_60~69세,"76,386","16,044","21,384","11,684","11,202","16,072"
2021년06월_남_70~79세,"29,261","6,711","8,028","4,347","3,578","6,597"
2021년06월_남_80~89세,"7,882","1,877","2,044",871,941,"2,149"
2021년06월_남_90~99세,515,95,114,52,69,185
2021년06월_남_100세 이상,11,2,1,2,4,2
2021년06월_여_총인구수,"547,445","106,003","155,102","74,126","105,122","107,092"
2021년06월_여_연령구간인구수,"547,445","106,003","155,102","74,126","105,122","107,092"
2021년06월_여_0~9세,"46,132","7,726","11,224","6,969","11,908","8,305"
2021년06월_여_10~19세,"52,448","9,192","13,951","7,323","11,344","10,638"
2021년06월_여_20~29세,"61,602","11,484","19,769","7,608","11,525","11,216"
2021년06월_여_30~39세,"69,225","12,192","19,303","9,937","16,041","11,752"
2021년06월_여_40~49세,"90,669","16,450","25,690","11,861","18,830","17,838"
2021년06월_여_50~59세,"101,781","20,334","30,451","12,491","18,751","19,754"
2021년06월_여_60~69세,"75,213","16,850","21,574","11,766","10,088","14,935"
2021년06월_여_70~79세,"32,150","7,808","8,792","4,157","4,053","7,340"
2021년06월_여_80~89세,"15,551","3,429","3,774","1,696","2,177","4,475"
2021년06월_여_90~99세,"2,603",526,556,311,391,819
2021년06월_여_100세 이상,71,12,18,7,14,20
