카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년04월_계_총인구수,"43,627","13,873","6,208","3,718","3,104","1,987","1,181","2,454","3,131","4,560","3,411"
2020년04월_계_연령구간인구수,"43,627","13,873","6,208","3,718","3,104","1,987","1,181","2,454","3,131","4,560","3,411"
2020년04월_계_0~9세,"1,970",980,207,112,84,50,33,76,106,192,130
2020년04월_계_10~19세,"2,414","1,330",210,124,108,45,39,100,87,234,137
2020년04월_계_20~29세,"3,681","1,531",502,245,176,138,65,184,211,351,278
2020년04월_계_30~39세,"3,416","1,443",485,261,178,112,51,141,191,318,236
2020년04월_계_40~49세,"4,869","2,063",621,341,258,165,106,243,272,482,318
2020년04월_계_50~59세,"8,722","2,497","1,431",829,607,422,230,454,647,910,695
2020년04월_계_60~69세,"8,935","2,037","1,406",908,735,488,281,559,783,985,753
2020년04월_계_70~79세,"5,726","1,219",847,532,503,313,207,417,509,656,523
2020년04월_계_80~89세,"3,419",678,432,324,384,229,152,246,274,397,303
2020년04월_계_90~99세,450,90,61,41,66,24,16,34,49,32,37
2020년04월_계_100세 이상,25,5,6,1,5,1,1,0,2,3,1
2020년04월_남_총인구수,"22,565","7,055","3,391","2,031","1,520",994,610,"1,245","1,602","2,326","1,791"
2020년04월_남_연령구간인구수,"22,565","7,055","3,391","2,031","1,520",994,610,"1,245","1,602","2,326","1,791"
2020년04월_남_0~9세,995,485,113,53,44,24,19,34,50,101,72
2020년04월_남_10~19세,"1,370",762,122,81,52,21,21,55,49,134,73
2020년04월_남_20~29세,"2,151",863,315,150,102,85,46,101,126,199,164
2020년04월_남_30~39세,"1,869",743,284,167,102,73,33,82,94,165,126
2020년04월_남_40~49세,"2,933","1,103",435,228,149,110,66,158,191,295,198
2020년04월_남_50~59세,"4,770","1,315",796,482,317,221,136,255,345,507,396
2020년04월_남_60~69세,"4,635","1,012",756,517,389,243,140,276,413,499,390
2020년04월_남_70~79세,"2,617",532,414,245,235,132,98,179,239,290,253
2020년04월_남_80~89세,"1,112",219,137,99,112,83,48,94,82,128,110
2020년04월_남_90~99세,108,20,17,9,17,2,2,11,13,8,9
2020년04월_남_100세 이상,5,1,2,0,1,0,1,0,0,0,0
2020년04월_여_총인구수,"21,062","6,818","2,817","1,687","1,584",993,571,"1,209","1,529","2,234","1,620"
2020년04월_여_연령구간인구수,"21,062","6,818","2,817","1,687","1,584",993,571,"1,209","1,529","2,234","1,620"
2020년04월_여_0~9세,975,495,94,59,40,26,14,42,56,91,58
2020년04월_여_10~19세,"1,044",568,88,43,56,24,18,45,38,100,64
2020년04월_여_20~29세,"1,530",668,187,95,74,53,19,83,85,152,114
2020년04월_여_30~39세,"1,547",700,201,94,76,39,18,59,97,153,110
2020년04월_여_40~49세,"1,936",960,186,113,109,55,40,85,81,187,120
2020년04월_여_50~59세,"3,952","1,182",635,347,290,201,94,199,302,403,299
2020년04월_여_60~69세,"4,300","1,025",650,391,346,245,141,283,370,486,363
2020년04월_여_70~79세,"3,109",687,433,287,268,181,109,238,270,366,270
2020년04월_여_80~89세,"2,307",459,295,225,272,146,104,152,192,269,193
2020년04월_여_90~99세,342,70,44,32,49,22,14,23,36,24,28
2020년04월_여_100세 이상,20,4,4,1,4,1,0,0,2,3,1
