카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년02월_계_총인구수,"1,063,650","253,982","32,970","25,730","20,080","23,139","8,270","8,436","18,293","24,290","43,830","35,711","13,233","437,811","39,025","30,727","16,659","42,050","13,562","33,336","21,072","25,386","39,472","32,458","32,918","27,386","22,641","24,873","36,246","371,857","36,605","42,246","38,260","57,149","18,678","46,265","49,025","34,348","49,281"
2020년02월_계_연령구간인구수,"1,063,650","253,982","32,970","25,730","20,080","23,139","8,270","8,436","18,293","24,290","43,830","35,711","13,233","437,811","39,025","30,727","16,659","42,050","13,562","33,336","21,072","25,386","39,472","32,458","32,918","27,386","22,641","24,873","36,246","371,857","36,605","42,246","38,260","57,149","18,678","46,265","49,025","34,348","49,281"
2020년02월_계_0~9세,"104,994","22,045","2,483","2,024","1,660","3,142",356,250,"1,330","1,648","5,047","3,348",757,"45,316","3,585","3,723","1,887","4,487","1,062","3,279","1,996","3,342","3,626","2,879","3,778","2,869","3,048","2,157","3,598","37,633","2,976","4,979","3,766","5,512","1,604","5,326","4,963","3,511","4,996"
2020년02월_계_10~19세,"122,626","25,171","3,764","2,361","1,848","1,742",561,509,"1,874","2,239","4,528","4,525","1,220","51,524","3,807","3,612","1,280","3,543","1,376","4,371","2,168","2,397","4,946","3,150","5,745","4,739","2,934","2,933","4,523","45,931","3,912","5,942","5,368","7,325","1,661","5,090","6,370","4,336","5,927"
2020년02월_계_20~29세,"132,731","33,279","4,616","3,189","2,080","2,003",796,816,"2,195","4,327","6,650","4,713","1,894","54,178","5,123","3,689","2,193","6,474","1,949","3,873","2,412","4,554","4,171","4,017","3,369","2,993","2,110","3,290","3,961","45,274","5,372","4,962","4,014","7,592","2,772","5,263","6,225","3,857","5,217"
2020년02월_계_30~39세,"148,717","34,600","4,048","3,182","2,387","4,337",739,756,"2,279","3,123","7,535","4,727","1,487","61,914","6,337","4,976","3,076","8,252","1,947","4,095","2,854","4,772","4,556","4,275","3,616","2,639","3,202","2,951","4,366","52,203","6,169","6,417","4,192","7,296","3,403","7,483","6,976","4,516","5,751"
2020년02월_계_40~49세,"201,254","43,423","6,080","4,357","3,396","3,840","1,126","1,054","3,048","3,910","7,643","6,880","2,089","84,932","6,821","6,178","2,663","7,134","2,480","6,618","3,819","4,325","7,911","5,488","8,079","6,465","4,928","4,640","7,383","72,899","6,388","9,187","8,228","11,246","3,096","8,939","9,590","6,654","9,571"
2020년02월_계_50~59세,"159,461","42,571","5,707","4,567","3,683","3,169","1,641","1,688","3,309","4,116","6,242","5,860","2,589","63,766","6,125","4,569","2,625","6,289","2,221","4,843","3,348","3,198","5,598","4,957","4,245","4,011","2,551","4,177","5,009","53,124","5,389","5,635","5,520","8,425","2,863","6,486","6,889","4,967","6,950"
2020년02월_계_60~69세,"100,225","29,069","3,405","3,380","2,690","2,749","1,579","1,692","2,380","2,757","3,516","3,072","1,849","39,030","3,791","2,391","1,522","3,318","1,218","3,203","2,468","1,671","4,156","3,666","1,991","1,865","1,851","2,532","3,387","32,126","3,196","2,377","3,354","4,882","1,718","4,271","4,019","3,009","5,300"
2020년02월_계_70~79세,"63,755","15,526","1,842","1,790","1,454","1,477",926,949,"1,159","1,427","1,822","1,754",926,"25,484","2,324","1,085",743,"1,808",901,"2,155","1,389",777,"3,114","2,770","1,436","1,218","1,461","1,482","2,821","22,745","2,190","1,756","2,692","3,276","1,034","2,440","2,794","2,480","4,083"
