,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년07월_계_총인구수,"27,706","7,441","1,339","1,666","1,481","1,695","3,791","1,332","1,535","3,422","1,577","1,183","1,244"
2020년07월_계_연령구간인구수,"27,706","7,441","1,339","1,666","1,481","1,695","3,791","1,332","1,535","3,422","1,577","1,183","1,244"
2020년07월_계_0~9세,"1,399",680,36,46,61,50,125,47,38,168,44,45,59
2020년07월_계_10~19세,"1,741",728,54,64,72,82,236,56,70,185,87,50,57
2020년07월_계_20~29세,"2,178",744,81,125,103,111,294,87,74,266,150,65,78
2020년07월_계_30~39세,"2,050",821,69,104,103,90,251,67,79,246,69,78,73
2020년07월_계_40~49세,"2,952","1,074",136,156,135,152,362,124,128,348,161,82,94
2020년07월_계_50~59세,"4,770","1,047",215,341,244,307,660,255,244,668,318,243,228
2020년07월_계_60~69세,"4,906",989,252,396,295,310,738,251,311,638,273,225,228
2020년07월_계_70~79세,"4,298",771,265,236,265,330,602,259,308,527,270,240,225
2020년07월_계_80~89세,"2,959",508,201,166,178,229,460,162,243,332,171,134,175
2020년07월_계_90~99세,431,76,28,32,22,32,62,23,40,42,31,16,27
2020년07월_계_100세 이상,22,3,2,0,3,2,1,1,0,2,3,5,0
2020년07월_남_총인구수,"14,145","3,804",678,857,753,879,"1,901",700,759,"1,758",839,594,623
2020년07월_남_연령구간인구수,"14,145","3,804",678,857,753,879,"1,901",700,759,"1,758",839,594,623
2020년07월_남_0~9세,731,369,17,21,31,27,67,27,17,83,22,15,35
2020년07월_남_10~19세,930,364,30,38,46,50,134,29,32,91,58,26,32
2020년07월_남_20~29세,"1,280",442,51,65,58,71,167,55,45,151,96,34,45
2020년07월_남_30~39세,"1,121",421,40,55,66,54,142,37,44,141,40,46,35
2020년07월_남_40~49세,"1,802",603,94,94,79,96,215,78,85,226,118,52,62
2020년07월_남_50~59세,"2,693",576,118,190,137,170,367,159,143,380,183,149,121
2020년07월_남_60~69세,"2,610",501,140,217,153,172,384,154,163,323,149,122,132
2020년07월_남_70~79세,"1,887",344,112,110,118,147,250,101,141,254,114,97,99
2020년07월_남_80~89세,985,172,68,54,59,84,155,54,80,98,53,51,57
2020년07월_남_90~99세,99,11,6,13,6,7,19,5,9,11,6,1,5
2020년07월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년07월_여_총인구수,"13,561","3,637",661,809,728,816,"1,890",632,776,"1,664",738,589,621
2020년07월_여_연령구간인구수,"13,561","3,637",661,809,728,816,"1,890",632,776,"1,664",738,589,621
2020년07월_여_0~9세,668,311,19,25,30,23,58,20,21,85,22,30,24
2020년07월_여_10~19세,811,364,24,26,26,32,102,27,38,94,29,24,25
2020년07월_여_20~29세,898,302,30,60,45,40,127,32,29,115,54,31,33
2020년07월_여_30~39세,929,400,29,49,37,36,109,30,35,105,29,32,38
2020년07월_여_40~49세,"1,150",471,42,62,56,56,147,46,43,122,43,30,32
2020년07월_여_50~59세,"2,077",471,97,151,107,137,293,96,101,288,135,94,107
2020년07월_여_60~69세,"2,296",488,112,179,142,138,354,97,148,315,124,103,96
2020년07월_여_70~79세,"2,411",427,153,126,147,183,352,158,167,273,156,143,126
2020년07월_여_80~89세,"1,974",336,133,112,119,145,305,108,163,234,118,83,118
2020년07월_여_90~99세,332,65,22,19,16,25,43,18,31,31,25,15,22
2020년07월_여_100세 이상,15,2,0,0,3,1,0,0,0,2,3,4,0
