카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년03월_계_총인구수,"124,552","2,143","5,114","2,930","4,015","4,566","5,343","1,796","7,680","14,141","16,920","13,894","10,501","10,586","12,613","12,310"
2021년03월_계_연령구간인구수,"124,552","2,143","5,114","2,930","4,015","4,566","5,343","1,796","7,680","14,141","16,920","13,894","10,501","10,586","12,613","12,310"
2021년03월_계_0~9세,"6,611",161,192,82,190,185,132,43,259,547,"1,065",748,562,717,731,997
2021년03월_계_10~19세,"6,729",123,195,132,180,282,200,38,290,798,945,871,545,850,522,758
2021년03월_계_20~29세,"18,450",241,519,363,728,"1,163",996,197,"1,356","2,382","1,980","1,962","1,658","1,415","2,102","1,388"
2021년03월_계_30~39세,"19,874",432,527,410,620,658,848,309,"1,302","2,201","2,356","2,161","1,719","1,335","2,773","2,223"
2021년03월_계_40~49세,"17,846",475,661,421,493,571,636,198,"1,051","2,041","2,435","1,916","1,542","1,558","1,830","2,018"
2021년03월_계_50~59세,"20,502",312,957,493,591,583,857,308,"1,364","2,316","2,811","2,350","1,869","1,961","1,777","1,953"
2021년03월_계_60~69세,"17,835",235,"1,038",525,606,520,866,395,"1,071","1,996","2,720","1,981","1,358","1,457","1,566","1,501"
2021년03월_계_70~79세,"10,681",106,596,316,360,383,541,205,655,"1,228","1,627","1,195",837,782,912,938
2021년03월_계_80~89세,"4,936",43,295,151,188,189,210,73,264,535,821,617,356,427,337,430
2021년03월_계_90~99세,899,10,89,28,50,29,42,22,60,83,151,84,49,71,59,72
2021년03월_계_100세 이상,189,5,45,9,9,3,15,8,8,14,9,9,6,13,4,32
2021년03월_남_총인구수,"60,851","1,050","2,714","1,251","2,080","2,298","2,734","1,076","3,823","6,856","7,989","6,587","5,104","5,125","6,025","6,139"
2021년03월_남_연령구간인구수,"60,851","1,050","2,714","1,251","2,080","2,298","2,734","1,076","3,823","6,856","7,989","6,587","5,104","5,125","6,025","6,139"
2021년03월_남_0~9세,"3,418",85,108,48,104,96,69,19,108,288,529,381,278,406,382,517
2021년03월_남_10~19세,"3,341",40,80,59,94,135,97,15,143,425,482,431,274,420,258,388
2021년03월_남_20~29세,"8,709",95,237,166,356,613,417,84,625,"1,152",977,960,762,711,872,682
2021년03월_남_30~39세,"9,941",211,248,207,343,349,466,174,665,"1,150","1,134","1,075",857,624,"1,368","1,070"
2021년03월_남_40~49세,"9,156",252,365,187,285,303,351,126,572,"1,044","1,211",938,793,760,904,"1,065"
2021년03월_남_50~59세,"10,373",157,554,204,339,297,482,222,730,"1,093","1,329","1,129",977,947,911,"1,002"
2021년03월_남_60~69세,"8,890",133,616,216,300,254,469,270,546,924,"1,265",951,659,736,761,790
2021년03월_남_70~79세,"4,825",56,304,114,173,170,279,116,310,554,715,466,362,347,432,427
2021년03월_남_80~89세,"1,848",16,142,40,68,72,79,37,107,203,297,228,127,148,120,164
2021년03월_남_90~99세,284,4,39,7,16,9,19,9,13,20,46,25,15,22,17,23
2021년03월_남_100세 이상,66,1,21,3,2,0,6,4,4,3,4,3,0,4,0,11
2021년03월_여_총인구수,"63,701","1,093","2,400","1,679","1,935","2,268","2,609",720,"3,857","7,285","8,931","7,307","5,397","5,461","6,588","6,171"
2021년03월_여_연령구간인구수,"63,701","1,093","2,400","1,679","1,935","2,268","2,609",720,"3,857","7,285","8,931","7,307","5,397","5,461","6,588","6,171"
2021년03월_여_0~9세,"3,193",76,84,34,86,89,63,24,151,259,536,367,284,311,349,480
2021년03월_여_10~19세,"3,388",83,115,73,86,147,103,23,147,373,463,440,271,430,264,370
2021년03월_여_20~29세,"9,741",146,282,197,372,550,579,113,731,"1,230","1,003","1,002",896,704,"1,230",706
2021년03월_여_30~39세,"9,933",221,279,203,277,309,382,135,637,"1,051","1,222","1,086",862,711,"1,405","1,153"
2021년03월_여_40~49세,"8,690",223,296,234,208,268,285,72,479,997,"1,224",978,749,798,926,953
2021년03월_여_50~59세,"10,129",155,403,289,252,286,375,86,634,"1,223","1,482","1,221",892,"1,014",866,951
2021년03월_여_60~69세,"8,945",102,422,309,306,266,397,125,525,"1,072","1,455","1,030",699,721,805,711
2021년03월_여_70~79세,"5,856",50,292,202,187,213,262,89,345,674,912,729,475,435,480,511
2021년03월_여_80~89세,"3,088",27,153,111,120,117,131,36,157,332,524,389,229,279,217,266
2021년03월_여_90~99세,615,6,50,21,34,20,23,13,47,63,105,59,34,49,42,49
2021년03월_여_100세 이상,123,4,24,6,7,3,9,4,4,11,5,6,6,9,4,21
