,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년03월_계_총인구수,"2,936,461","139,325","61,755","404,175","390,477","522,713","491,370","296,771","540,532","69,008","20,335"
2021년03월_계_연령구간인구수,"2,936,461","139,325","61,755","404,175","390,477","522,713","491,370","296,771","540,532","69,008","20,335"
2021년03월_계_0~9세,"224,970","11,734","3,625","26,995","38,511","40,648","32,072","18,296","48,857","3,308",924
2021년03월_계_10~19세,"272,731","12,687","4,962","31,617","43,108","49,419","42,616","26,369","56,316","4,567","1,070"
2021년03월_계_20~29세,"397,817","18,823","6,546","56,929","52,354","70,371","69,244","43,805","71,901","5,213","2,631"
2021년03월_계_30~39세,"402,590","21,179","6,712","55,581","58,010","71,302","66,592","37,775","78,273","5,297","1,869"
2021년03월_계_40~49세,"481,697","24,545","9,805","63,344","68,994","88,072","76,327","45,551","95,040","7,682","2,337"
2021년03월_계_50~59세,"510,040","20,523","10,032","66,797","64,724","89,633","89,288","60,340","93,345","11,782","3,576"
2021년03월_계_60~69세,"377,343","16,155","10,128","56,597","40,229","67,411","67,518","40,512","60,071","14,580","4,142"
2021년03월_계_70~79세,"177,632","9,227","6,608","31,228","15,756","30,999","31,352","15,552","24,534","9,997","2,379"
2021년03월_계_80~89세,"78,689","3,817","2,881","13,028","7,383","12,764","14,150","7,392","10,404","5,722","1,148"
2021년03월_계_90~99세,"12,430",612,422,"1,973","1,358","2,014","2,100","1,151","1,713",841,246
2021년03월_계_100세 이상,522,23,34,86,50,80,111,28,78,19,13
2021년03월_남_총인구수,"1,470,750","72,400","31,200","203,664","194,069","259,545","242,817","147,987","273,008","34,519","11,541"
2021년03월_남_연령구간인구수,"1,470,750","72,400","31,200","203,664","194,069","259,545","242,817","147,987","273,008","34,519","11,541"
2021년03월_남_0~9세,"115,534","6,069","1,897","13,830","19,665","20,896","16,391","9,294","25,274","1,749",469
2021년03월_남_10~19세,"140,296","6,592","2,586","16,273","22,145","25,305","22,083","13,539","28,863","2,335",575
2021년03월_남_20~29세,"207,288","9,563","3,556","29,993","27,151","36,286","35,562","22,954","37,350","2,966","1,907"
2021년03월_남_30~39세,"208,208","11,509","3,595","29,892","28,536","36,711","34,369","19,700","39,988","2,763","1,145"
2021년03월_남_40~49세,"246,409","13,394","5,307","33,575","34,018","44,800","38,473","22,713","48,482","4,171","1,476"
2021년03월_남_50~59세,"254,889","11,349","5,350","33,624","31,915","44,178","43,658","29,363","47,326","6,054","2,072"
2021년03월_남_60~69세,"186,974","8,090","4,881","27,089","20,648","32,515","32,857","20,766","30,604","7,284","2,240"
2021년03월_남_70~79세,"81,174","4,288","2,918","14,177","7,274","14,096","14,179","7,000","11,341","4,718","1,183"
2021년03월_남_80~89세,"27,220","1,394","1,006","4,732","2,416","4,350","4,797","2,405","3,426","2,275",419
2021년03월_남_90~99세,"2,632",145,96,454,290,395,426,246,330,199,51
2021년03월_남_100세 이상,126,7,8,25,11,13,22,7,24,5,4
2021년03월_여_총인구수,"1,465,711","66,925","30,555","200,511","196,408","263,168","248,553","148,784","267,524","34,489","8,794"
2021년03월_여_연령구간인구수,"1,465,711","66,925","30,555","200,511","196,408","263,168","248,553","148,784","267,524","34,489","8,794"
2021년03월_여_0~9세,"109,436","5,665","1,728","13,165","18,846","19,752","15,681","9,002","23,583","1,559",455
2021년03월_여_10~19세,"132,435","6,095","2,376","15,344","20,963","24,114","20,533","12,830","27,453","2,232",495
2021년03월_여_20~29세,"190,529","9,260","2,990","26,936","25,203","34,085","33,682","20,851","34,551","2,247",724
2021년03월_여_30~39세,"194,382","9,670","3,117","25,689","29,474","34,591","32,223","18,075","38,285","2,534",724
2021년03월_여_40~49세,"235,288","11,151","4,498","29,769","34,976","43,272","37,854","22,838","46,558","3,511",861
2021년03월_여_50~59세,"255,151","9,174","4,682","33,173","32,809","45,455","45,630","30,977","46,019","5,728","1,504"
2021년03월_여_60~69세,"190,369","8,065","5,247","29,508","19,581","34,896","34,661","19,746","29,467","7,296","1,902"
2021년03월_여_70~79세,"96,458","4,939","3,690","17,051","8,482","16,903","17,173","8,552","13,193","5,279","1,196"
2021년03월_여_80~89세,"51,469","2,423","1,875","8,296","4,967","8,414","9,353","4,987","6,978","3,447",729
2021년03월_여_90~99세,"9,798",467,326,"1,519","1,068","1,619","1,674",905,"1,383",642,195
2021년03월_여_100세 이상,396,16,26,61,39,67,89,21,54,14,9
