,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년05월_계_총인구수,"1,070,987","255,729","33,083","25,820","20,124","23,265","8,217","8,494","19,395","24,302","44,051","35,779","13,199","440,274","39,041","30,802","17,308","42,362","13,520","33,510","21,150","25,608","39,495","32,478","32,964","27,382","23,131","25,000","36,523","374,984","36,788","42,163","38,338","57,173","18,680","48,692","49,081","34,333","49,736"
2020년05월_계_연령구간인구수,"1,070,987","255,729","33,083","25,820","20,124","23,265","8,217","8,494","19,395","24,302","44,051","35,779","13,199","440,274","39,041","30,802","17,308","42,362","13,520","33,510","21,150","25,608","39,495","32,478","32,964","27,382","23,131","25,000","36,523","374,984","36,788","42,163","38,338","57,173","18,680","48,692","49,081","34,333","49,736"
2020년05월_계_0~9세,"104,156","21,765","2,416","1,990","1,643","3,159",355,241,"1,319","1,605","5,007","3,292",738,"44,629","3,528","3,668","1,914","4,493","1,026","3,220","1,940","3,299","3,516","2,844","3,702","2,799","3,030","2,110","3,540","37,762","2,879","4,937","3,714","5,397","1,578","5,784","4,949","3,509","5,015"
2020년05월_계_10~19세,"123,010","25,965","3,846","2,340","1,814","1,763",566,548,"2,719","2,215","4,506","4,461","1,187","51,310","3,744","3,581","1,285","3,526","1,338","4,356","2,159","2,432","4,910","3,110","5,721","4,751","2,974","2,885","4,538","45,735","3,824","5,869","5,327","7,270","1,630","5,285","6,318","4,286","5,926"
2020년05월_계_20~29세,"135,480","33,797","4,663","3,243","2,102","2,015",743,835,"2,312","4,332","6,840","4,797","1,915","55,594","5,185","3,731","2,453","6,633","1,958","3,969","2,452","4,747","4,248","4,071","3,431","3,059","2,182","3,385","4,090","46,089","5,453","4,981","4,111","7,727","2,822","5,483","6,337","3,894","5,281"
2020년05월_계_30~39세,"148,644","34,295","3,986","3,158","2,371","4,281",739,757,"2,293","3,158","7,467","4,638","1,447","61,548","6,331","4,958","3,215","8,177","1,937","4,074","2,805","4,705","4,459","4,248","3,551","2,598","3,195","2,932","4,363","52,801","6,223","6,429","4,162","7,238","3,377","8,030","6,996","4,509","5,837"
2020년05월_계_40~49세,"200,769","43,283","6,019","4,335","3,383","3,911","1,098","1,026","3,042","3,873","7,681","6,856","2,059","84,587","6,788","6,111","2,717","7,111","2,439","6,589","3,815","4,356","7,876","5,471","8,028","6,400","4,948","4,599","7,339","72,899","6,280","9,133","8,128","11,145","3,093","9,415","9,477","6,643","9,585"
2020년05월_계_50~59세,"161,534","42,789","5,770","4,588","3,686","3,179","1,615","1,676","3,365","4,143","6,228","5,938","2,601","64,835","6,151","4,646","2,689","6,403","2,267","4,946","3,401","3,201","5,675","4,986","4,376","4,079","2,603","4,278","5,134","53,910","5,404","5,704","5,642","8,508","2,879","6,744","6,961","4,964","7,104"
2020년05월_계_60~69세,"102,000","29,631","3,463","3,432","2,755","2,769","1,614","1,712","2,444","2,789","3,614","3,153","1,886","39,770","3,827","2,458","1,593","3,406","1,222","3,265","2,532","1,719","4,227","3,679","2,021","1,872","1,931","2,570","3,448","32,599","3,381","2,371","3,369","4,922","1,731","4,454","4,031","3,014","5,326"
2020년05월_계_70~79세,"64,731","15,772","1,886","1,831","1,488","1,510",925,962,"1,170","1,431","1,839","1,784",946,"25,920","2,350","1,131",746,"1,859",903,"2,169","1,416",789,"3,151","2,785","1,455","1,233","1,595","1,510","2,828","23,039","2,270","1,741","2,747","3,313","1,037","2,511","2,790","2,484","4,146"
