카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년01월_계_총인구수,"30,685","10,547","3,086","3,712","3,560","3,474","3,290","2,373",284,359
2020년01월_계_연령구간인구수,"30,685","10,547","3,086","3,712","3,560","3,474","3,290","2,373",284,359
2020년01월_계_0~9세,"1,800",894,131,220,142,119,120,124,20,30
2020년01월_계_10~19세,"2,303","1,158",183,252,178,199,150,132,15,36
2020년01월_계_20~29세,"2,488","1,162",205,280,233,235,218,120,17,18
2020년01월_계_30~39세,"2,348","1,084",190,295,223,186,173,152,20,25
2020년01월_계_40~49세,"3,625","1,519",328,410,394,335,268,300,31,40
2020년01월_계_50~59세,"5,183","1,759",534,606,637,632,542,372,44,57
2020년01월_계_60~69세,"5,054","1,358",573,694,677,646,609,399,40,58
2020년01월_계_70~79세,"4,825","1,057",570,553,639,676,753,463,52,62
2020년01월_계_80~89세,"2,712",493,334,356,385,383,404,288,40,29
2020년01월_계_90~99세,334,61,37,42,51,62,52,20,5,4
2020년01월_계_100세 이상,13,2,1,4,1,1,1,3,0,0
2020년01월_남_총인구수,"15,096","5,175","1,551","1,803","1,786","1,660","1,579","1,212",149,181
2020년01월_남_연령구간인구수,"15,096","5,175","1,551","1,803","1,786","1,660","1,579","1,212",149,181
2020년01월_남_0~9세,884,429,64,114,78,57,57,55,13,17
2020년01월_남_10~19세,"1,193",607,91,125,93,101,75,73,11,17
2020년01월_남_20~29세,"1,411",660,126,145,125,127,135,71,9,13
2020년01월_남_30~39세,"1,288",545,119,168,133,108,99,88,12,16
2020년01월_남_40~49세,"2,102",789,191,243,245,209,178,198,21,28
2020년01월_남_50~59세,"2,812",868,318,324,359,340,302,233,30,38
2020년01월_남_60~69세,"2,557",669,292,344,350,324,298,234,21,25
2020년01월_남_70~79세,"2,020",456,248,229,265,284,317,182,21,18
2020년01월_남_80~89세,761,141,94,100,127,100,105,77,10,7
2020년01월_남_90~99세,68,11,8,11,11,10,13,1,1,2
2020년01월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년01월_여_총인구수,"15,589","5,372","1,535","1,909","1,774","1,814","1,711","1,161",135,178
2020년01월_여_연령구간인구수,"15,589","5,372","1,535","1,909","1,774","1,814","1,711","1,161",135,178
2020년01월_여_0~9세,916,465,67,106,64,62,63,69,7,13
2020년01월_여_10~19세,"1,110",551,92,127,85,98,75,59,4,19
2020년01월_여_20~29세,"1,077",502,79,135,108,108,83,49,8,5
2020년01월_여_30~39세,"1,060",539,71,127,90,78,74,64,8,9
2020년01월_여_40~49세,"1,523",730,137,167,149,126,90,102,10,12
2020년01월_여_50~59세,"2,371",891,216,282,278,292,240,139,14,19
2020년01월_여_60~69세,"2,497",689,281,350,327,322,311,165,19,33
2020년01월_여_70~79세,"2,805",601,322,324,374,392,436,281,31,44
2020년01월_여_80~89세,"1,951",352,240,256,258,283,299,211,30,22
2020년01월_여_90~99세,266,50,29,31,40,52,39,19,4,2
2020년01월_여_100세 이상,13,2,1,4,1,1,1,3,0,0
