카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년06월_계_총인구수,"228,231","11,198","5,393","4,895","8,973","9,981","13,734","5,442","8,088","5,718","6,346","3,095","4,600","3,359","9,721","18,118","11,069","18,070","12,512","17,331","5,134","11,267","9,835","24,352"
2020년06월_계_연령구간인구수,"228,231","11,198","5,393","4,895","8,973","9,981","13,734","5,442","8,088","5,718","6,346","3,095","4,600","3,359","9,721","18,118","11,069","18,070","12,512","17,331","5,134","11,267","9,835","24,352"
2020년06월_계_0~9세,"19,579",547,240,187,682,"1,418","1,082",554,257,235,463,71,153,158,796,"2,043","1,043","1,623",939,"1,426",496,"1,123",912,"3,131"
2020년06월_계_10~19세,"25,244",800,358,306,965,"1,149","1,632",496,465,358,623,148,213,258,"1,049","2,519","1,447","2,085","1,235","1,997",567,"1,608","1,089","3,877"
2020년06월_계_20~29세,"27,537","1,181",555,449,"1,052","1,301","1,867",552,769,558,751,214,546,322,"1,160","1,892","1,179","1,908","2,223","2,711",570,"1,520","1,356","2,901"
2020년06월_계_30~39세,"27,407","1,094",506,424,"1,019","1,794","1,534",821,678,495,684,255,335,277,"1,086","2,383","1,306","2,094","1,811","2,074",648,"1,400","1,330","3,359"
2020년06월_계_40~49세,"38,142","1,497",711,647,"1,373","1,730","2,350",863,"1,064",771,987,426,574,484,"1,568","3,379","1,880","3,058","2,216","2,845",860,"2,065","1,677","5,117"
2020년06월_계_50~59세,"36,738","1,862",915,875,"1,505","1,219","2,397",796,"1,438",927,958,588,776,553,"1,703","2,540","1,680","2,862","2,010","3,204",790,"1,857","1,791","3,492"
2020년06월_계_60~69세,"28,294","2,096","1,073",880,"1,235",777,"1,582",700,"1,524","1,100","1,006",680,849,571,"1,345","1,751","1,393","2,397","1,225","1,895",646,971,978,"1,620"
2020년06월_계_70~79세,"17,403","1,494",765,771,776,404,883,435,"1,302",920,638,499,761,506,716,"1,078",774,"1,390",568,780,370,489,474,610
2020년06월_계_80~89세,"6,877",550,227,315,318,163,359,202,499,322,218,182,351,197,269,464,316,562,247,343,163,208,199,203
2020년06월_계_90~99세,933,72,39,37,45,24,41,19,85,30,18,26,33,28,29,66,48,85,36,54,24,24,28,42
2020년06월_계_100세 이상,77,5,4,4,3,2,7,4,7,2,0,6,9,5,0,3,3,6,2,2,0,2,1,0
