카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년05월_계_총인구수,"158,154","40,485","5,867","20,311","11,928","15,059","21,132","9,050","21,955","12,367"
2020년05월_계_연령구간인구수,"158,154","40,485","5,867","20,311","11,928","15,059","21,132","9,050","21,955","12,367"
2020년05월_계_0~9세,"15,640","3,869",259,"2,323",975,"1,413","2,187",746,"2,519","1,349"
2020년05월_계_10~19세,"15,660","4,105",369,"1,929","1,188","1,379","2,314",939,"2,162","1,275"
2020년05월_계_20~29세,"18,086","4,686",735,"2,083","1,578","1,919","2,466",930,"2,494","1,195"
2020년05월_계_30~39세,"24,212","6,211",807,"3,208","1,608","2,304","2,867","1,205","4,063","1,939"
2020년05월_계_40~49세,"25,737","7,172",836,"3,246","1,978","2,277","3,449","1,423","3,362","1,994"
2020년05월_계_50~59세,"26,430","6,693","1,085","3,317","2,368","2,451","3,919","1,510","3,133","1,954"
2020년05월_계_60~69세,"21,711","5,093","1,138","2,693","1,554","2,142","2,712","1,508","3,108","1,763"
2020년05월_계_70~79세,"7,905","1,932",483,"1,072",473,913,887,596,895,654
2020년05월_계_80~89세,"2,386",607,138,392,182,223,277,165,189,213
2020년05월_계_90~99세,363,110,16,44,23,35,52,27,28,28
2020년05월_계_100세 이상,24,7,1,4,1,3,2,1,2,3
2020년05월_남_총인구수,"82,706","21,690","3,176","10,450","6,241","7,820","10,808","4,650","11,603","6,268"
2020년05월_남_연령구간인구수,"82,706","21,690","3,176","10,450","6,241","7,820","10,808","4,650","11,603","6,268"
2020년05월_남_0~9세,"8,039","1,989",144,"1,176",495,743,"1,092",380,"1,320",700
2020년05월_남_10~19세,"8,256","2,188",195,"1,020",637,753,"1,173",482,"1,171",637
2020년05월_남_20~29세,"10,185","2,678",427,"1,151",850,997,"1,386",559,"1,470",667
2020년05월_남_30~39세,"13,373","3,608",512,"1,659",910,"1,278","1,486",643,"2,245","1,032"
2020년05월_남_40~49세,"13,923","4,071",486,"1,758","1,038","1,223","1,762",761,"1,797","1,027"
2020년05월_남_50~59세,"13,037","3,430",552,"1,685","1,194","1,198","1,942",705,"1,422",909
2020년05월_남_60~69세,"11,087","2,608",558,"1,368",812,"1,047","1,400",760,"1,608",926
2020년05월_남_70~79세,"3,998",928,249,519,239,493,467,303,494,306
2020년05월_남_80~89세,758,182,49,107,65,78,95,55,69,58
2020년05월_남_90~99세,46,8,4,7,1,8,4,2,6,6
2020년05월_남_100세 이상,4,0,0,0,0,2,1,0,1,0
2020년05월_여_총인구수,"75,448","18,795","2,691","9,861","5,687","7,239","10,324","4,400","10,352","6,099"
2020년05월_여_연령구간인구수,"75,448","18,795","2,691","9,861","5,687","7,239","10,324","4,400","10,352","6,099"
2020년05월_여_0~9세,"7,601","1,880",115,"1,147",480,670,"1,095",366,"1,199",649
2020년05월_여_10~19세,"7,404","1,917",174,909,551,626,"1,141",457,991,638
2020년05월_여_20~29세,"7,901","2,008",308,932,728,922,"1,080",371,"1,024",528
2020년05월_여_30~39세,"10,839","2,603",295,"1,549",698,"1,026","1,381",562,"1,818",907
2020년05월_여_40~49세,"11,814","3,101",350,"1,488",940,"1,054","1,687",662,"1,565",967
2020년05월_여_50~59세,"13,393","3,263",533,"1,632","1,174","1,253","1,977",805,"1,711","1,045"
2020년05월_여_60~69세,"10,624","2,485",580,"1,325",742,"1,095","1,312",748,"1,500",837
2020년05월_여_70~79세,"3,907","1,004",234,553,234,420,420,293,401,348
2020년05월_여_80~89세,"1,628",425,89,285,117,145,182,110,120,155
2020년05월_여_90~99세,317,102,12,37,22,27,48,25,22,22
2020년05월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
