,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년11월_계_총인구수,"173,918","53,252","8,659","82,050","21,891","8,066"
2020년11월_계_연령구간인구수,"173,918","53,252","8,659","82,050","21,891","8,066"
2020년11월_계_0~9세,"19,181","3,211",412,"12,368","2,784",406
2020년11월_계_10~19세,"17,403","4,492",434,"10,562","1,481",434
2020년11월_계_20~29세,"17,015","6,397","1,020","6,702","2,153",743
2020년11월_계_30~39세,"24,915","5,606","1,046","13,482","4,101",680
2020년11월_계_40~49세,"32,090","8,400",958,"18,414","3,311","1,007"
2020년11월_계_50~59세,"23,908","9,423","1,563","8,364","3,120","1,438"
2020년11월_계_60~69세,"21,234","8,181","1,648","6,874","2,773","1,758"
2020년11월_계_70~79세,"12,284","4,972",962,"3,809","1,467","1,074"
2020년11월_계_80~89세,"5,104","2,234",516,"1,292",597,465
2020년11월_계_90~99세,739,316,89,177,98,59
2020년11월_계_100세 이상,45,20,11,6,6,2
2020년11월_남_총인구수,"86,156","25,994","4,621","40,526","10,950","4,065"
2020년11월_남_연령구간인구수,"86,156","25,994","4,621","40,526","10,950","4,065"
2020년11월_남_0~9세,"9,754","1,666",210,"6,290","1,398",190
2020년11월_남_10~19세,"9,092","2,340",249,"5,512",755,236
2020년11월_남_20~29세,"9,007","3,434",607,"3,345","1,182",439
2020년11월_남_30~39세,"12,394","2,957",618,"6,381","2,082",356
2020년11월_남_40~49세,"16,501","4,192",562,"9,447","1,740",560
2020년11월_남_50~59세,"12,064","4,655",863,"4,290","1,526",730
2020년11월_남_60~69세,"9,881","3,831",850,"3,006","1,363",831
2020년11월_남_70~79세,"5,599","2,096",483,"1,781",692,547
2020년11월_남_80~89세,"1,726",771,153,447,191,164
2020년11월_남_90~99세,130,50,20,27,21,12
2020년11월_남_100세 이상,8,2,6,0,0,0
2020년11월_여_총인구수,"87,762","27,258","4,038","41,524","10,941","4,001"
2020년11월_여_연령구간인구수,"87,762","27,258","4,038","41,524","10,941","4,001"
2020년11월_여_0~9세,"9,427","1,545",202,"6,078","1,386",216
2020년11월_여_10~19세,"8,311","2,152",185,"5,050",726,198
2020년11월_여_20~29세,"8,008","2,963",413,"3,357",971,304
2020년11월_여_30~39세,"12,521","2,649",428,"7,101","2,019",324
2020년11월_여_40~49세,"15,589","4,208",396,"8,967","1,571",447
2020년11월_여_50~59세,"11,844","4,768",700,"4,074","1,594",708
2020년11월_여_60~69세,"11,353","4,350",798,"3,868","1,410",927
2020년11월_여_70~79세,"6,685","2,876",479,"2,028",775,527
2020년11월_여_80~89세,"3,378","1,463",363,845,406,301
2020년11월_여_90~99세,609,266,69,150,77,47
2020년11월_여_100세 이상,37,18,5,6,6,2
