카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년12월_계_총인구수,"62,264","19,478","9,663","13,956","5,626","9,672","3,869"
2021년12월_계_연령구간인구수,"62,264","19,478","9,663","13,956","5,626","9,672","3,869"
2021년12월_계_0~9세,"3,155","1,073",516,606,149,679,132
2021년12월_계_10~19세,"4,458","1,671",764,950,234,656,183
2021년12월_계_20~29세,"6,125","2,177",880,"1,272",522,"1,040",234
2021년12월_계_30~39세,"5,504","1,806",820,"1,125",379,"1,127",247
2021년12월_계_40~49세,"7,780","2,621","1,097","1,872",558,"1,238",394
2021년12월_계_50~59세,"11,107","3,398","1,703","2,633","1,111","1,569",693
2021년12월_계_60~69세,"13,020","3,540","2,145","2,907","1,478","1,903","1,047"
2021년12월_계_70~79세,"6,714","1,870","1,022","1,588",754,927,553
2021년12월_계_80~89세,"3,855","1,161",603,887,389,480,335
2021년12월_계_90~99세,525,154,111,111,52,49,48
2021년12월_계_100세 이상,21,7,2,5,0,4,3
2021년12월_남_총인구수,"32,129","9,927","4,964","7,127","2,977","5,145","1,989"
2021년12월_남_연령구간인구수,"32,129","9,927","4,964","7,127","2,977","5,145","1,989"
2021년12월_남_0~9세,"1,576",549,250,304,74,344,55
2021년12월_남_10~19세,"2,321",899,371,480,135,340,96
2021년12월_남_20~29세,"3,565","1,211",476,735,367,637,139
2021년12월_남_30~39세,"3,010",947,464,605,211,636,147
2021년12월_남_40~49세,"4,191","1,397",564,"1,013",313,677,227
2021년12월_남_50~59세,"5,888","1,809",919,"1,406",561,817,376
2021년12월_남_60~69세,"6,730","1,782","1,121","1,479",770,"1,042",536
2021년12월_남_70~79세,"3,202",849,520,730,381,447,275
2021년12월_남_80~89세,"1,498",443,245,343,152,191,124
2021년12월_남_90~99세,142,40,33,30,13,13,13
2021년12월_남_100세 이상,6,1,1,2,0,1,1
2021년12월_여_총인구수,"30,135","9,551","4,699","6,829","2,649","4,527","1,880"
2021년12월_여_연령구간인구수,"30,135","9,551","4,699","6,829","2,649","4,527","1,880"
2021년12월_여_0~9세,"1,579",524,266,302,75,335,77
2021년12월_여_10~19세,"2,137",772,393,470,99,316,87
2021년12월_여_20~29세,"2,560",966,404,537,155,403,95
2021년12월_여_30~39세,"2,494",859,356,520,168,491,100
2021년12월_여_40~49세,"3,589","1,224",533,859,245,561,167
2021년12월_여_50~59세,"5,219","1,589",784,"1,227",550,752,317
2021년12월_여_60~69세,"6,290","1,758","1,024","1,428",708,861,511
2021년12월_여_70~79세,"3,512","1,021",502,858,373,480,278
2021년12월_여_80~89세,"2,357",718,358,544,237,289,211
2021년12월_여_90~99세,383,114,78,81,39,36,35
2021년12월_여_100세 이상,15,6,1,3,0,3,2
