,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년01월_계_총인구수,"44,563","5,394","3,555","12,032","15,447","1,983","3,779","2,264",109,0,0,0,0
2021년01월_계_연령구간인구수,"44,563","5,394","3,555","12,032","15,447","1,983","3,779","2,264",109,0,0,0,0
2021년01월_계_0~9세,"3,352",418,360,828,"1,169",166,228,183,0,0,0,0,0
2021년01월_계_10~19세,"3,759",493,246,990,"1,456",94,341,136,3,0,0,0,0
2021년01월_계_20~29세,"5,809",674,540,"1,618","1,824",415,446,289,3,0,0,0,0
2021년01월_계_30~39세,"4,668",558,449,"1,244","1,564",238,348,264,3,0,0,0,0
2021년01월_계_40~49세,"5,661",668,381,"1,608","2,072",190,533,200,9,0,0,0,0
2021년01월_계_50~59세,"7,176",892,477,"2,030","2,542",239,645,336,15,0,0,0,0
2021년01월_계_60~69세,"6,761",775,499,"1,849","2,337",275,593,411,22,0,0,0,0
2021년01월_계_70~79세,"4,705",595,360,"1,209","1,590",227,388,296,40,0,0,0,0
2021년01월_계_80~89세,"2,263",278,207,554,747,114,218,131,14,0,0,0,0
2021년01월_계_90~99세,365,41,34,91,127,20,35,17,0,0,0,0,0
2021년01월_계_100세 이상,44,2,2,11,19,5,4,1,0,0,0,0,0
2021년01월_남_총인구수,"23,151","2,748","1,900","6,454","7,781","1,101","1,899","1,216",52,0,0,0,0
2021년01월_남_연령구간인구수,"23,151","2,748","1,900","6,454","7,781","1,101","1,899","1,216",52,0,0,0,0
2021년01월_남_0~9세,"1,690",194,204,413,573,84,123,99,0,0,0,0,0
2021년01월_남_10~19세,"1,952",272,127,539,716,56,170,70,2,0,0,0,0
2021년01월_남_20~29세,"3,762",403,361,"1,098","1,101",304,282,212,1,0,0,0,0
2021년01월_남_30~39세,"2,581",309,249,715,830,147,179,150,2,0,0,0,0
2021년01월_남_40~49세,"3,032",360,214,861,"1,076",112,287,116,6,0,0,0,0
2021년01월_남_50~59세,"3,826",479,266,"1,082","1,352",126,335,176,10,0,0,0,0
2021년01월_남_60~69세,"3,307",364,252,941,"1,124",130,273,215,8,0,0,0,0
2021년01월_남_70~79세,"2,085",262,138,560,713,101,168,128,15,0,0,0,0
2021년01월_남_80~89세,824,96,82,221,258,35,78,46,8,0,0,0,0
2021년01월_남_90~99세,82,9,7,21,34,4,3,4,0,0,0,0,0
2021년01월_남_100세 이상,10,0,0,3,4,2,1,0,0,0,0,0,0
2021년01월_여_총인구수,"21,412","2,646","1,655","5,578","7,666",882,"1,880","1,048",57,0,0,0,0
2021년01월_여_연령구간인구수,"21,412","2,646","1,655","5,578","7,666",882,"1,880","1,048",57,0,0,0,0
2021년01월_여_0~9세,"1,662",224,156,415,596,82,105,84,0,0,0,0,0
2021년01월_여_10~19세,"1,807",221,119,451,740,38,171,66,1,0,0,0,0
2021년01월_여_20~29세,"2,047",271,179,520,723,111,164,77,2,0,0,0,0
2021년01월_여_30~39세,"2,087",249,200,529,734,91,169,114,1,0,0,0,0
2021년01월_여_40~49세,"2,629",308,167,747,996,78,246,84,3,0,0,0,0
2021년01월_여_50~59세,"3,350",413,211,948,"1,190",113,310,160,5,0,0,0,0
2021년01월_여_60~69세,"3,454",411,247,908,"1,213",145,320,196,14,0,0,0,0
2021년01월_여_70~79세,"2,620",333,222,649,877,126,220,168,25,0,0,0,0
2021년01월_여_80~89세,"1,439",182,125,333,489,79,140,85,6,0,0,0,0
2021년01월_여_90~99세,283,32,27,70,93,16,32,13,0,0,0,0,0
2021년01월_여_100세 이상,34,2,2,8,15,3,3,1,0,0,0,0,0
