카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년02월_계_총인구수,"311,132","17,642","16,581","20,877","19,207","36,072","24,207","15,704","14,163","23,059","26,865","15,833","29,984","18,417","32,521"
2021년02월_계_연령구간인구수,"311,132","17,642","16,581","20,877","19,207","36,072","24,207","15,704","14,163","23,059","26,865","15,833","29,984","18,417","32,521"
2021년02월_계_0~9세,"19,854","1,228","1,413","1,217",706,"1,640","1,531",752,785,"1,501","1,238","2,116","2,645","1,420","1,662"
2021년02월_계_10~19세,"23,509","1,450","1,096","1,367",890,"2,446","1,870","1,107","1,080","1,772","2,165","1,456","2,424","1,958","2,428"
2021년02월_계_20~29세,"49,787","2,204","2,335","3,440","7,348","7,662","3,131","2,098","1,842","2,873","4,177","1,518","4,243","2,135","4,781"
2021년02월_계_30~39세,"44,851","2,382","2,864","3,314","3,300","5,600","3,422","1,955","1,894","3,019","3,469","2,435","4,542","2,396","4,259"
2021년02월_계_40~49세,"47,157","2,805","2,684","3,040","1,985","4,987","3,750","2,183","2,047","3,454","3,978","3,065","4,904","3,257","5,018"
2021년02월_계_50~59세,"49,371","3,012","2,772","3,379","1,993","5,251","4,071","2,685","2,566","3,983","4,587","2,173","4,457","3,015","5,427"
2021년02월_계_60~69세,"38,975","2,214","1,830","2,736","1,410","4,131","3,324","2,344","2,036","3,331","3,760","1,579","3,404","2,221","4,655"
2021년02월_계_70~79세,"24,258","1,430","1,026","1,464",963,"2,794","2,019","1,628","1,248","1,986","2,223",977,"2,220","1,332","2,948"
2021년02월_계_80~89세,"11,384",775,452,740,504,"1,322",944,843,571,971,"1,101",435,964,584,"1,178"
2021년02월_계_90~99세,"1,680",112,81,138,84,207,129,87,89,149,141,63,155,90,155
2021년02월_계_100세 이상,306,30,28,42,24,32,16,22,5,20,26,16,26,9,10
2021년02월_남_총인구수,"148,908","8,370","7,936","10,036","8,574","17,353","11,357","7,608","6,725","11,134","13,005","7,624","14,459","8,887","15,840"
2021년02월_남_연령구간인구수,"148,908","8,370","7,936","10,036","8,574","17,353","11,357","7,608","6,725","11,134","13,005","7,624","14,459","8,887","15,840"
2021년02월_남_0~9세,"10,092",615,728,610,379,833,764,378,420,755,625,"1,065","1,323",724,873
2021년02월_남_10~19세,"11,807",728,530,673,420,"1,233",912,596,549,882,"1,114",698,"1,202","1,034","1,236"
2021년02월_남_20~29세,"23,818","1,067","1,069","1,652","2,876","3,855","1,532","1,044",910,"1,454","2,101",732,"2,068","1,040","2,418"
2021년02월_남_30~39세,"22,247","1,166","1,411","1,632","1,646","2,812","1,651","1,028",940,"1,526","1,830","1,074","2,216","1,124","2,191"
2021년02월_남_40~49세,"23,294","1,355","1,363","1,530",960,"2,388","1,801","1,091",975,"1,692","1,961","1,617","2,480","1,624","2,457"
2021년02월_남_50~59세,"24,052","1,505","1,373","1,667","1,001","2,505","1,894","1,354","1,215","1,968","2,211","1,064","2,209","1,453","2,633"
2021년02월_남_60~69세,"18,296","1,053",853,"1,311",644,"1,925","1,533","1,079",971,"1,595","1,715",742,"1,596","1,050","2,229"
2021년02월_남_70~79세,"10,369",569,426,637,420,"1,175",864,679,502,859,987,424,952,582,"1,293"
2021년02월_남_80~89세,"4,378",270,154,277,197,538,367,320,215,356,427,186,369,235,467
2021년02월_남_90~99세,469,33,26,33,24,79,36,29,25,42,28,18,38,19,39
2021년02월_남_100세 이상,86,9,3,14,7,10,3,10,3,5,6,4,6,2,4
2021년02월_여_총인구수,"162,224","9,272","8,645","10,841","10,633","18,719","12,850","8,096","7,438","11,925","13,860","8,209","15,525","9,530","16,681"
2021년02월_여_연령구간인구수,"162,224","9,272","8,645","10,841","10,633","18,719","12,850","8,096","7,438","11,925","13,860","8,209","15,525","9,530","16,681"
2021년02월_여_0~9세,"9,762",613,685,607,327,807,767,374,365,746,613,"1,051","1,322",696,789
2021년02월_여_10~19세,"11,702",722,566,694,470,"1,213",958,511,531,890,"1,051",758,"1,222",924,"1,192"
2021년02월_여_20~29세,"25,969","1,137","1,266","1,788","4,472","3,807","1,599","1,054",932,"1,419","2,076",786,"2,175","1,095","2,363"
2021년02월_여_30~39세,"22,604","1,216","1,453","1,682","1,654","2,788","1,771",927,954,"1,493","1,639","1,361","2,326","1,272","2,068"
2021년02월_여_40~49세,"23,863","1,450","1,321","1,510","1,025","2,599","1,949","1,092","1,072","1,762","2,017","1,448","2,424","1,633","2,561"
2021년02월_여_50~59세,"25,319","1,507","1,399","1,712",992,"2,746","2,177","1,331","1,351","2,015","2,376","1,109","2,248","1,562","2,794"
2021년02월_여_60~69세,"20,679","1,161",977,"1,425",766,"2,206","1,791","1,265","1,065","1,736","2,045",837,"1,808","1,171","2,426"
2021년02월_여_70~79세,"13,889",861,600,827,543,"1,619","1,155",949,746,"1,127","1,236",553,"1,268",750,"1,655"
2021년02월_여_80~89세,"7,006",505,298,463,307,784,577,523,356,615,674,249,595,349,711
2021년02월_여_90~99세,"1,211",79,55,105,60,128,93,58,64,107,113,45,117,71,116
2021년02월_여_100세 이상,220,21,25,28,17,22,13,12,2,15,20,12,20,7,6
