,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년09월_계_총인구수,"209,438","4,831","2,016","2,913","8,973","2,926","2,256","3,908","13,683","3,839","3,615","2,262","3,136","1,957","2,706","23,391","6,881","15,262","5,205","9,434","18,847","3,774","9,288","14,582","37,151","6,602"
2021년09월_계_연령구간인구수,"209,438","4,831","2,016","2,913","8,973","2,926","2,256","3,908","13,683","3,839","3,615","2,262","3,136","1,957","2,706","23,391","6,881","15,262","5,205","9,434","18,847","3,774","9,288","14,582","37,151","6,602"
2021년09월_계_0~9세,"13,938",92,34,65,581,32,44,57,"2,049",328,88,49,72,61,89,"1,562",234,"1,183",230,335,"2,012",95,506,961,"2,616",563
2021년09월_계_10~19세,"18,545",204,59,112,431,95,84,114,"1,027",286,179,79,128,73,158,"2,487",505,"1,987",478,671,"2,423",158,722,"1,698","3,715",672
2021년09월_계_20~29세,"23,820",357,108,180,"1,411",159,119,238,"1,552",544,241,120,166,99,280,"2,656",828,"1,801",570,"1,041","2,236",531,"1,076","1,897","4,874",736
2021년09월_계_30~39세,"23,011",296,95,131,"1,425",153,104,173,"3,110",457,162,123,150,117,210,"2,396",595,"1,593",430,808,"2,698",273,999,"1,441","4,284",788
2021년09월_계_40~49세,"30,205",461,156,229,"1,199",202,162,294,"2,192",508,313,177,240,131,338,"3,596",912,"2,786",710,"1,136","3,455",404,"1,366","2,372","5,760","1,106"
2021년09월_계_50~59세,"37,032","1,002",400,581,"1,488",554,373,762,"1,566",509,695,422,545,335,471,"4,348","1,233","2,671",937,"1,687","2,903",705,"1,713","2,865","7,028","1,239"
2021년09월_계_60~69세,"33,976","1,241",619,820,"1,380",826,657,"1,138","1,251",594,933,606,911,550,551,"3,552","1,288","1,821",914,"2,023","1,906",828,"1,611","1,911","5,223",822
2021년09월_계_70~79세,"17,150",644,323,474,588,471,384,636,539,340,540,363,480,316,349,"1,721",803,884,570,"1,066",765,462,889,901,"2,236",406
2021년09월_계_80~89세,"10,391",484,184,282,417,390,282,426,344,247,403,284,395,247,226,965,430,479,328,591,393,285,363,478,"1,240",228
2021년09월_계_90~99세,"1,332",49,37,39,51,43,44,69,53,25,59,38,46,28,34,104,50,54,38,74,55,33,42,56,171,40
2021년09월_계_100세 이상,38,1,1,0,2,1,3,1,0,1,2,1,3,0,0,4,3,3,0,2,1,0,1,2,4,2
2021년09월_남_총인구수,"105,958","2,490","1,028","1,474","5,049","1,503","1,142","2,003","7,040","2,066","1,828","1,165","1,587",994,"1,343","11,661","3,490","7,489","2,593","4,741","9,368","2,041","4,835","7,183","18,397","3,448"
2021년09월_남_연령구간인구수,"105,958","2,490","1,028","1,474","5,049","1,503","1,142","2,003","7,040","2,066","1,828","1,165","1,587",994,"1,343","11,661","3,490","7,489","2,593","4,741","9,368","2,041","4,835","7,183","18,397","3,448"
2021년09월_남_0~9세,"7,034",54,11,28,287,14,21,37,"1,019",155,37,29,41,30,40,807,109,577,122,172,"1,018",46,262,497,"1,311",310
2021년09월_남_10~19세,"9,623",105,34,65,221,50,54,61,522,147,79,42,75,43,78,"1,297",259,"1,069",244,341,"1,226",94,361,883,"1,917",356
2021년09월_남_20~29세,"13,717",224,61,120,912,99,72,154,874,367,141,77,90,60,164,"1,513",485,990,316,575,"1,233",314,620,"1,029","2,788",439
2021년09월_남_30~39세,"12,485",185,60,74,902,97,64,107,"1,677",260,91,76,81,61,130,"1,260",367,806,235,448,"1,351",179,551,755,"2,258",410
2021년09월_남_40~49세,"15,573",282,91,132,707,136,115,165,"1,174",291,193,101,144,74,189,"1,811",482,"1,323",369,640,"1,697",247,747,"1,101","2,785",577
2021년09월_남_50~59세,"18,946",534,209,323,846,305,188,420,782,290,376,214,295,172,256,"2,164",648,"1,303",479,853,"1,440",399,945,"1,428","3,414",663
2021년09월_남_60~69세,"17,010",643,321,423,730,440,326,585,624,308,498,324,487,301,252,"1,733",642,881,439,974,934,455,784,929,"2,552",425
2021년09월_남_70~79세,"7,681",281,170,214,287,208,192,307,245,147,251,172,220,150,146,745,351,364,246,486,347,206,418,396,942,190
2021년09월_남_80~89세,"3,566",172,63,86,142,139,97,152,105,94,150,116,138,97,85,299,138,167,134,232,118,96,139,151,390,66
2021년09월_남_90~99세,314,10,8,9,15,14,12,15,18,7,11,13,14,6,3,31,9,9,9,19,4,5,8,14,40,11
2021년09월_남_100세 이상,9,0,0,0,0,1,1,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1
2021년09월_여_총인구수,"103,480","2,341",988,"1,439","3,924","1,423","1,114","1,905","6,643","1,773","1,787","1,097","1,549",963,"1,363","11,730","3,391","7,773","2,612","4,693","9,479","1,733","4,453","7,399","18,754","3,154"
2021년09월_여_연령구간인구수,"103,480","2,341",988,"1,439","3,924","1,423","1,114","1,905","6,643","1,773","1,787","1,097","1,549",963,"1,363","11,730","3,391","7,773","2,612","4,693","9,479","1,733","4,453","7,399","18,754","3,154"
2021년09월_여_0~9세,"6,904",38,23,37,294,18,23,20,"1,030",173,51,20,31,31,49,755,125,606,108,163,994,49,244,464,"1,305",253
2021년09월_여_10~19세,"8,922",99,25,47,210,45,30,53,505,139,100,37,53,30,80,"1,190",246,918,234,330,"1,197",64,361,815,"1,798",316
2021년09월_여_20~29세,"10,103",133,47,60,499,60,47,84,678,177,100,43,76,39,116,"1,143",343,811,254,466,"1,003",217,456,868,"2,086",297
2021년09월_여_30~39세,"10,526",111,35,57,523,56,40,66,"1,433",197,71,47,69,56,80,"1,136",228,787,195,360,"1,347",94,448,686,"2,026",378
2021년09월_여_40~49세,"14,632",179,65,97,492,66,47,129,"1,018",217,120,76,96,57,149,"1,785",430,"1,463",341,496,"1,758",157,619,"1,271","2,975",529
2021년09월_여_50~59세,"18,086",468,191,258,642,249,185,342,784,219,319,208,250,163,215,"2,184",585,"1,368",458,834,"1,463",306,768,"1,437","3,614",576
2021년09월_여_60~69세,"16,966",598,298,397,650,386,331,553,627,286,435,282,424,249,299,"1,819",646,940,475,"1,049",972,373,827,982,"2,671",397
2021년09월_여_70~79세,"9,469",363,153,260,301,263,192,329,294,193,289,191,260,166,203,976,452,520,324,580,418,256,471,505,"1,294",216
2021년09월_여_80~89세,"6,825",312,121,196,275,251,185,274,239,153,253,168,257,150,141,666,292,312,194,359,275,189,224,327,850,162
2021년09월_여_90~99세,"1,018",39,29,30,36,29,32,54,35,18,48,25,32,22,31,73,41,45,29,55,51,28,34,42,131,29
