,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년08월_계_총인구수,"436,827","4,903","23,338","4,158","19,122","20,141","9,320","10,957","9,039","8,491","18,063","7,656","30,108","6,548","36,719","37,058","22,368","24,834","36,010","16,824","26,740","28,768","11,803","23,859"
2021년08월_계_연령구간인구수,"436,827","4,903","23,338","4,158","19,122","20,141","9,320","10,957","9,039","8,491","18,063","7,656","30,108","6,548","36,719","37,058","22,368","24,834","36,010","16,824","26,740","28,768","11,803","23,859"
2021년08월_계_0~9세,"32,463",354,"2,291",164,"2,104","1,709",247,574,267,288,"1,102",164,"2,341",287,"3,430","4,417","1,311","1,530","2,544",859,"1,623","2,209",594,"2,054"
2021년08월_계_10~19세,"42,109",342,"2,013",201,"2,287","2,211",420,866,445,461,"1,134",337,"3,108",392,"3,898","3,211","1,686","2,414","4,847","1,521","2,390","4,281",588,"3,056"
2021년08월_계_20~29세,"61,516",569,"2,862",472,"2,087","2,364",977,"1,631","2,536","1,267","2,868","2,367","4,348",700,"4,215","3,795","3,916","3,635","5,347","2,363","4,228","4,138","1,311","3,520"
2021년08월_계_30~39세,"52,673",677,"3,599",467,"2,658","2,252",730,"1,146","1,133","1,023","2,031","1,054","3,894",777,"4,718","6,111","2,618","2,702","3,382","1,598","3,083","2,823","1,516","2,681"
2021년08월_계_40~49세,"70,718",676,"4,054",467,"3,694","3,433","1,073","1,414","1,034",999,"2,611",818,"4,807",863,"6,896","6,504","3,072","3,908","6,520","2,402","3,640","5,717","1,571","4,545"
2021년08월_계_50~59세,"77,667",770,"3,261",843,"2,793","3,438","1,820","2,179","1,206","1,493","2,872","1,196","5,233","1,142","6,405","5,903","4,157","4,656","7,266","3,514","5,389","5,578","2,257","4,296"
2021년08월_계_60~69세,"56,701",780,"2,703",925,"1,964","2,498","2,042","1,804","1,266","1,627","2,749","1,011","3,954","1,329","4,222","4,412","3,243","3,531","3,582","2,752","3,843","2,183","2,268","2,013"
2021년08월_계_70~79세,"28,667",501,"1,608",425,"1,018","1,500","1,338",917,762,909,"1,725",476,"1,620",700,"2,099","1,912","1,549","1,686","1,651","1,151","1,612","1,161","1,257","1,090"
2021년08월_계_80~89세,"12,784",200,826,168,469,661,619,379,348,376,849,211,701,323,739,696,731,685,783,613,844,633,391,539
2021년08월_계_90~99세,"1,477",33,119,24,46,72,52,46,41,47,108,21,100,34,96,94,84,84,87,48,84,45,48,64
2021년08월_계_100세 이상,52,1,2,2,2,3,2,1,1,1,14,1,2,1,1,3,1,3,1,3,4,0,2,1
2021년08월_남_총인구수,"217,339","2,371","11,232","2,217","9,217","9,718","4,631","5,361","4,693","4,462","9,123","4,171","14,882","3,261","18,711","18,465","11,230","12,206","17,752","8,490","13,261","13,994","6,135","11,756"
2021년08월_남_연령구간인구수,"217,339","2,371","11,232","2,217","9,217","9,718","4,631","5,361","4,693","4,462","9,123","4,171","14,882","3,261","18,711","18,465","11,230","12,206","17,752","8,490","13,261","13,994","6,135","11,756"
2021년08월_남_0~9세,"16,585",169,"1,131",84,"1,050",887,132,278,139,155,542,90,"1,189",140,"1,808","2,277",687,803,"1,258",436,837,"1,143",291,"1,059"
2021년08월_남_10~19세,"21,900",161,"1,014",117,"1,167","1,126",229,452,228,261,575,176,"1,629",203,"2,006","1,637",893,"1,279","2,534",804,"1,290","2,219",296,"1,604"
2021년08월_남_20~29세,"33,192",304,"1,378",272,"1,075","1,261",568,909,"1,366",732,"1,721","1,385","2,347",406,"2,238","2,038","2,053","1,917","2,904","1,321","2,281","2,221",717,"1,778"
2021년08월_남_30~39세,"27,715",351,"1,785",281,"1,244","1,086",430,623,708,649,"1,132",657,"2,029",456,"2,437","3,068","1,464","1,478","1,690",896,"1,677","1,345",887,"1,342"
2021년08월_남_40~49세,"34,720",362,"2,012",265,"1,764","1,606",607,680,597,576,"1,376",476,"2,284",466,"3,503","3,363","1,525","1,885","2,988","1,202","1,658","2,485",879,"2,161"
2021년08월_남_50~59세,"38,542",400,"1,579",442,"1,372","1,675",949,"1,014",614,758,"1,443",596,"2,509",558,"3,385","2,864","2,034","2,205","3,617","1,731","2,571","2,827","1,192","2,207"
2021년08월_남_60~69세,"27,526",338,"1,307",493,909,"1,180",976,867,590,744,"1,278",493,"1,909",618,"2,081","2,155","1,591","1,657","1,812","1,377","1,935","1,100","1,121",995
2021년08월_남_70~79세,"12,375",215,687,206,435,641,509,403,319,422,728,212,720,296,969,833,688,709,680,523,709,434,588,449
2021년08월_남_80~89세,"4,478",61,314,49,186,239,222,122,119,159,298,79,256,113,272,220,280,257,250,193,280,207,152,150
2021년08월_남_90~99세,298,10,24,8,15,17,9,13,13,6,25,6,10,5,12,10,15,16,19,7,22,13,12,11
2021년08월_남_100세 이상,8,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0
2021년08월_여_총인구수,"219,488","2,532","12,106","1,941","9,905","10,423","4,689","5,596","4,346","4,029","8,940","3,485","15,226","3,287","18,008","18,593","11,138","12,628","18,258","8,334","13,479","14,774","5,668","12,103"
2021년08월_여_연령구간인구수,"219,488","2,532","12,106","1,941","9,905","10,423","4,689","5,596","4,346","4,029","8,940","3,485","15,226","3,287","18,008","18,593","11,138","12,628","18,258","8,334","13,479","14,774","5,668","12,103"
2021년08월_여_0~9세,"15,878",185,"1,160",80,"1,054",822,115,296,128,133,560,74,"1,152",147,"1,622","2,140",624,727,"1,286",423,786,"1,066",303,995
2021년08월_여_10~19세,"20,209",181,999,84,"1,120","1,085",191,414,217,200,559,161,"1,479",189,"1,892","1,574",793,"1,135","2,313",717,"1,100","2,062",292,"1,452"
2021년08월_여_20~29세,"28,324",265,"1,484",200,"1,012","1,103",409,722,"1,170",535,"1,147",982,"2,001",294,"1,977","1,757","1,863","1,718","2,443","1,042","1,947","1,917",594,"1,742"
2021년08월_여_30~39세,"24,958",326,"1,814",186,"1,414","1,166",300,523,425,374,899,397,"1,865",321,"2,281","3,043","1,154","1,224","1,692",702,"1,406","1,478",629,"1,339"
2021년08월_여_40~49세,"35,998",314,"2,042",202,"1,930","1,827",466,734,437,423,"1,235",342,"2,523",397,"3,393","3,141","1,547","2,023","3,532","1,200","1,982","3,232",692,"2,384"
2021년08월_여_50~59세,"39,125",370,"1,682",401,"1,421","1,763",871,"1,165",592,735,"1,429",600,"2,724",584,"3,020","3,039","2,123","2,451","3,649","1,783","2,818","2,751","1,065","2,089"
2021년08월_여_60~69세,"29,175",442,"1,396",432,"1,055","1,318","1,066",937,676,883,"1,471",518,"2,045",711,"2,141","2,257","1,652","1,874","1,770","1,375","1,908","1,083","1,147","1,018"
2021년08월_여_70~79세,"16,292",286,921,219,583,859,829,514,443,487,997,264,900,404,"1,130","1,079",861,977,971,628,903,727,669,641
2021년08월_여_80~89세,"8,306",139,512,119,283,422,397,257,229,217,551,132,445,210,467,476,451,428,533,420,564,426,239,389
2021년08월_여_90~99세,"1,179",23,95,16,31,55,43,33,28,41,83,15,90,29,84,84,69,68,68,41,62,32,36,53
2021년08월_여_100세 이상,44,1,1,2,2,3,2,1,1,1,9,0,2,1,1,3,1,3,1,3,3,0,2,1
