,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년04월_계_총인구수,"38,417","21,041","1,077","1,451","1,723","2,116","2,251","1,235","1,722","3,773","2,028"
2021년04월_계_연령구간인구수,"38,417","21,041","1,077","1,451","1,723","2,116","2,251","1,235","1,722","3,773","2,028"
2021년04월_계_0~9세,"1,632","1,267",19,26,28,32,41,42,47,90,40
2021년04월_계_10~19세,"2,915","2,173",31,52,73,91,105,39,65,204,82
2021년04월_계_20~29세,"3,153","2,236",46,68,78,125,111,101,93,213,82
2021년04월_계_30~39세,"2,724","1,859",48,58,59,103,119,79,118,187,94
2021년04월_계_40~49세,"4,503","2,933",102,110,151,187,219,121,178,325,177
2021년04월_계_50~59세,"7,217","3,755",203,324,389,426,423,264,309,726,398
2021년04월_계_60~69세,"8,270","3,459",278,387,504,568,645,313,431,"1,051",634
2021년04월_계_70~79세,"4,822","2,094",201,257,263,344,342,166,278,534,343
2021년04월_계_80~89세,"2,797","1,114",137,154,156,206,212,100,174,391,153
2021년04월_계_90~99세,359,145,12,15,22,27,29,9,28,47,25
2021년04월_계_100세 이상,25,6,0,0,0,7,5,1,1,5,0
2021년04월_남_총인구수,"19,859","10,767",560,757,893,"1,106","1,183",686,931,"1,930","1,046"
2021년04월_남_연령구간인구수,"19,859","10,767",560,757,893,"1,106","1,183",686,931,"1,930","1,046"
2021년04월_남_0~9세,858,671,12,11,14,17,19,21,28,45,20
2021년04월_남_10~19세,"1,584","1,195",16,23,38,38,58,24,27,121,44
2021년04월_남_20~29세,"1,837","1,276",32,45,49,80,69,63,54,121,48
2021년04월_남_30~39세,"1,477",969,25,37,34,57,76,42,82,107,48
2021년04월_남_40~49세,"2,459","1,495",67,70,83,120,135,71,125,185,108
2021년04월_남_50~59세,"4,010","2,062",121,181,208,245,250,166,186,385,206
2021년04월_남_60~69세,"4,316","1,745",146,227,270,309,338,171,227,557,326
2021년04월_남_70~79세,"2,197",909,92,106,134,154,166,87,124,252,173
2021년04월_남_80~89세,"1,011",404,48,51,58,76,63,39,66,141,65
2021년04월_남_90~99세,101,39,1,6,5,7,7,2,11,15,8
2021년04월_남_100세 이상,9,2,0,0,0,3,2,0,1,1,0
2021년04월_여_총인구수,"18,558","10,274",517,694,830,"1,010","1,068",549,791,"1,843",982
2021년04월_여_연령구간인구수,"18,558","10,274",517,694,830,"1,010","1,068",549,791,"1,843",982
2021년04월_여_0~9세,774,596,7,15,14,15,22,21,19,45,20
2021년04월_여_10~19세,"1,331",978,15,29,35,53,47,15,38,83,38
2021년04월_여_20~29세,"1,316",960,14,23,29,45,42,38,39,92,34
2021년04월_여_30~39세,"1,247",890,23,21,25,46,43,37,36,80,46
2021년04월_여_40~49세,"2,044","1,438",35,40,68,67,84,50,53,140,69
2021년04월_여_50~59세,"3,207","1,693",82,143,181,181,173,98,123,341,192
2021년04월_여_60~69세,"3,954","1,714",132,160,234,259,307,142,204,494,308
2021년04월_여_70~79세,"2,625","1,185",109,151,129,190,176,79,154,282,170
2021년04월_여_80~89세,"1,786",710,89,103,98,130,149,61,108,250,88
2021년04월_여_90~99세,258,106,11,9,17,20,22,7,17,32,17
2021년04월_여_100세 이상,16,4,0,0,0,4,3,1,0,4,0
