카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년10월_계_총인구수,"3,397,598","41,547","107,996","89,205","113,909","358,317","271,633","268,711","285,507","402,820","313,677","233,601","136,485","210,191","177,085","213,747","173,167"
2020년10월_계_연령구간인구수,"3,397,598","41,547","107,996","89,205","113,909","358,317","271,633","268,711","285,507","402,820","313,677","233,601","136,485","210,191","177,085","213,747","173,167"
2020년10월_계_0~9세,"234,617","1,348","5,641","4,144","5,264","21,373","19,782","18,249","19,235","28,703","20,356","13,188","20,074","15,018","10,399","12,649","19,194"
2020년10월_계_10~19세,"273,478","2,046","7,304","5,190","7,501","25,047","25,060","23,222","23,634","38,312","25,677","17,901","11,479","16,560","11,933","15,292","17,320"
2020년10월_계_20~29세,"432,419","5,651","13,515","10,581","12,071","52,413","32,981","35,363","38,017","49,307","40,168","33,468","12,174","26,341","24,377","29,117","16,875"
2020년10월_계_30~39세,"422,148","4,475","11,295","10,456","10,769","47,670","33,422","30,498","33,992","47,056","37,521","25,579","27,261","27,682","23,997","25,523","24,952"
2020년10월_계_40~49세,"512,482","5,472","14,717","12,003","15,322","51,500","43,296","42,125","40,744","66,072","46,437","32,403","23,199","32,030","25,564","29,662","31,936"
2020년10월_계_50~59세,"571,573","7,084","18,018","14,842","19,689","58,615","44,691","42,994","54,535","70,556","55,298","40,956","16,817","34,332","27,783","41,558","23,805"
2020년10월_계_60~69세,"527,531","7,849","18,982","16,038","22,053","55,463","40,799","40,778","44,920","57,442","50,950","38,473","15,565","32,356","28,388","36,415","21,060"
2020년10월_계_70~79세,"292,328","5,088","12,329","10,701","14,562","31,706","22,225","24,864","21,188","30,693","26,169","21,636","6,789","18,136","17,047","17,019","12,176"
2020년10월_계_80~89세,"114,187","2,079","5,331","4,560","5,810","12,782","8,151","9,348","8,106","12,816","9,602","8,638","2,637","6,810","6,658","5,786","5,073"
2020년10월_계_90~99세,"14,959",370,741,589,736,"1,516","1,090","1,134","1,035","1,703","1,338","1,161",445,837,877,655,732
2020년10월_계_100세 이상,"1,876",85,123,101,132,232,136,136,101,160,161,198,45,89,62,71,44
2020년10월_남_총인구수,"1,664,277","20,320","52,306","43,684","56,128","173,254","132,262","131,533","141,291","193,899","156,217","114,052","70,513","101,317","83,696","108,044","85,761"
2020년10월_남_연령구간인구수,"1,664,277","20,320","52,306","43,684","56,128","173,254","132,262","131,533","141,291","193,899","156,217","114,052","70,513","101,317","83,696","108,044","85,761"
2020년10월_남_0~9세,"120,276",715,"2,939","2,190","2,659","10,825","10,241","9,273","9,934","14,847","10,418","6,755","10,303","7,658","5,334","6,421","9,764"
2020년10월_남_10~19세,"141,427","1,036","3,685","2,679","3,881","12,773","13,107","12,049","12,287","19,782","13,372","9,184","5,851","8,516","6,135","8,030","9,060"
2020년10월_남_20~29세,"225,503","2,805","6,684","5,346","6,605","25,778","17,308","18,745","20,510","25,799","21,570","18,046","6,533","13,371","11,881","15,598","8,924"
2020년10월_남_30~39세,"215,859","2,431","5,816","5,613","5,821","24,362","16,732","15,628","17,594","22,909","19,807","13,277","13,896","13,907","11,964","13,711","12,391"
