카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년02월_계_총인구수,"3,410,925","41,826","107,844","88,439","116,155","356,811","271,528","272,927","290,230","405,708","319,542","238,208","130,748","210,509","176,879","217,250","166,321"
2020년02월_계_연령구간인구수,"3,410,925","41,826","107,844","88,439","116,155","356,811","271,528","272,927","290,230","405,708","319,542","238,208","130,748","210,509","176,879","217,250","166,321"
2020년02월_계_0~9세,"241,624","1,459","5,652","4,133","5,673","21,969","19,986","19,245","20,255","29,617","21,639","13,991","19,436","15,421","10,616","13,522","19,010"
2020년02월_계_10~19세,"281,120","2,235","7,452","5,321","7,864","25,883","25,322","24,087","24,842","39,609","26,812","18,839","10,622","17,034","12,348","15,986","16,864"
2020년02월_계_20~29세,"434,692","5,506","13,504","10,456","12,388","51,271","33,519","35,404","39,239","49,932","41,297","34,110","11,846","26,373","24,217","29,817","15,813"
2020년02월_계_30~39세,"431,911","4,559","11,544","10,262","11,428","47,532","33,930","32,292","35,294","48,346","39,672","26,725","26,603","28,231","24,185","26,703","24,605"
2020년02월_계_40~49세,"518,321","5,629","14,762","12,133","15,915","52,061","43,310","43,013","42,051","67,445","47,756","33,463","21,540","32,314","25,781","30,556","30,592"
2020년02월_계_50~59세,"580,966","7,255","18,414","14,966","20,462","59,319","45,275","44,064","56,161","71,131","56,924","42,210","16,482","34,818","27,967","42,921","22,597"
2020년02월_계_60~69세,"511,174","7,761","18,467","15,620","21,589","53,776","39,682","40,122","43,100","55,450","49,305","37,776","14,716","31,314","27,763","35,082","19,651"
2020년02월_계_70~79세,"285,602","4,978","12,135","10,544","14,427","31,099","21,562","24,489","20,535","30,094","25,441","21,387","6,531","17,615","16,703","16,432","11,630"
2020년02월_계_80~89세,"109,312","2,014","5,063","4,354","5,553","12,190","7,786","8,988","7,658","12,313","9,263","8,373","2,506","6,487","6,394","5,535","4,835"
2020년02월_계_90~99세,"14,396",348,737,552,728,"1,489","1,020","1,092",996,"1,616","1,272","1,141",425,824,840,632,684
2020년02월_계_100세 이상,"1,807",82,114,98,128,222,136,131,99,155,161,193,41,78,65,64,40
2020년02월_남_총인구수,"1,673,266","20,482","52,368","43,453","57,304","172,815","132,345","133,698","143,726","195,730","159,437","116,606","67,557","101,738","83,801","109,833","82,373"
2020년02월_남_연령구간인구수,"1,673,266","20,482","52,368","43,453","57,304","172,815","132,345","133,698","143,726","195,730","159,437","116,606","67,557","101,738","83,801","109,833","82,373"
2020년02월_남_0~9세,"123,987",766,"2,948","2,174","2,858","11,158","10,310","9,803","10,396","15,443","11,078","7,203","9,962","7,872","5,448","6,891","9,677"
2020년02월_남_10~19세,"145,587","1,134","3,759","2,758","4,087","13,244","13,274","12,449","12,954","20,437","14,000","9,715","5,426","8,801","6,366","8,365","8,818"
2020년02월_남_20~29세,"227,372","2,753","6,716","5,340","6,740","25,401","17,596","18,820","21,043","26,105","22,236","18,496","6,308","13,475","11,929","15,984","8,430"
2020년02월_남_30~39세,"220,696","2,474","5,991","5,520","6,163","24,207","17,041","16,459","18,239","23,557","20,982","13,814","13,620","14,149","12,119","14,253","12,108"
2020년02월_남_40~49세,"260,736","3,040","7,667","6,542","8,376","26,347","21,051","21,560","20,769","32,023","24,363","16,629","12,099","15,861","12,630","15,956","15,823"
