,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년05월_계_총인구수,"38,099","20,879","1,062","1,431","1,710","2,108","2,248","1,229","1,685","3,731","2,016"
2021년05월_계_연령구간인구수,"38,099","20,879","1,062","1,431","1,710","2,108","2,248","1,229","1,685","3,731","2,016"
2021년05월_계_0~9세,"1,620","1,255",20,28,30,33,40,43,45,88,38
2021년05월_계_10~19세,"2,893","2,153",31,50,76,92,105,39,62,205,80
2021년05월_계_20~29세,"3,140","2,223",45,69,80,122,112,100,94,210,85
2021년05월_계_30~39세,"2,703","1,857",47,55,55,101,119,78,118,180,93
2021년05월_계_40~49세,"4,410","2,893",101,107,149,186,212,119,163,309,171
2021년05월_계_50~59세,"7,160","3,737",196,320,381,425,430,264,292,721,394
2021년05월_계_60~69세,"8,240","3,440",275,385,502,569,639,315,434,"1,050",631
2021년05월_계_70~79세,"4,781","2,071",197,250,260,341,345,164,276,533,344
2021년05월_계_80~89세,"2,787","1,109",138,152,154,206,212,100,173,387,156
2021년05월_계_90~99세,343,137,12,15,23,26,29,7,27,43,24
2021년05월_계_100세 이상,22,4,0,0,0,7,5,0,1,5,0
2021년05월_남_총인구수,"19,743","10,693",555,750,892,"1,105","1,186",692,915,"1,915","1,040"
2021년05월_남_연령구간인구수,"19,743","10,693",555,750,892,"1,105","1,186",692,915,"1,915","1,040"
2021년05월_남_0~9세,854,668,13,11,14,17,19,22,27,44,19
2021년05월_남_10~19세,"1,573","1,185",16,22,39,38,58,24,25,122,44
2021년05월_남_20~29세,"1,830","1,268",30,44,51,80,69,65,57,117,49
2021년05월_남_30~39세,"1,467",967,23,36,32,58,77,43,82,103,46
2021년05월_남_40~49세,"2,399","1,466",67,70,83,119,130,69,114,176,105
2021년05월_남_50~59세,"3,990","2,053",117,179,207,244,256,168,175,388,203
2021년05월_남_60~69세,"4,336","1,746",151,227,272,312,336,172,236,559,325
2021년05월_남_70~79세,"2,185",906,89,104,132,151,167,87,122,253,174
2021년05월_남_80~89세,"1,005",397,48,51,57,76,65,40,65,139,67
2021년05월_남_90~99세,96,36,1,6,5,7,7,2,11,13,8
2021년05월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0
2021년05월_여_총인구수,"18,356","10,186",507,681,818,"1,003","1,062",537,770,"1,816",976
2021년05월_여_연령구간인구수,"18,356","10,186",507,681,818,"1,003","1,062",537,770,"1,816",976
2021년05월_여_0~9세,766,587,7,17,16,16,21,21,18,44,19
2021년05월_여_10~19세,"1,320",968,15,28,37,54,47,15,37,83,36
2021년05월_여_20~29세,"1,310",955,15,25,29,42,43,35,37,93,36
2021년05월_여_30~39세,"1,236",890,24,19,23,43,42,35,36,77,47
2021년05월_여_40~49세,"2,011","1,427",34,37,66,67,82,50,49,133,66
2021년05월_여_50~59세,"3,170","1,684",79,141,174,181,174,96,117,333,191
2021년05월_여_60~69세,"3,904","1,694",124,158,230,257,303,143,198,491,306
2021년05월_여_70~79세,"2,596","1,165",108,146,128,190,178,77,154,280,170
2021년05월_여_80~89세,"1,782",712,90,101,97,130,147,60,108,248,89
2021년05월_여_90~99세,247,101,11,9,18,19,22,5,16,30,16
2021년05월_여_100세 이상,14,3,0,0,0,4,3,0,0,4,0
