카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년12월_계_총인구수,"555,380","45,483","40,677","31,513","48,916","31,609","28,007","6,505","9,616","22,322","13,044","13,825","31,643","12,442","19,994","16,604","10,502","32,853","22,596","23,987","27,799","25,551","22,801","17,091"
2021년12월_계_연령구간인구수,"555,380","45,483","40,677","31,513","48,916","31,609","28,007","6,505","9,616","22,322","13,044","13,825","31,643","12,442","19,994","16,604","10,502","32,853","22,596","23,987","27,799","25,551","22,801","17,091"
2021년12월_계_0~9세,"49,272","4,213","2,169","3,694","6,242","4,639","3,145",331,410,"1,068",609,531,"2,628",622,"1,252",668,730,"2,461","1,665","2,234","2,655","2,259","1,931","3,116"
2021년12월_계_10~19세,"57,186","4,375","3,337","4,430","6,606","4,094","2,194",362,686,"1,532",893,"1,146","2,959",848,"1,848","1,196",717,"3,336","2,701","3,381","3,212","2,691","3,087","1,555"
2021년12월_계_20~29세,"72,140","6,277","6,405","3,897","5,605","3,383","3,267","1,018","1,516","3,056","1,635","2,049","4,003","1,798","2,719","2,316","1,223","4,603","2,852","2,768","3,800","3,205","3,149","1,596"
2021년12월_계_30~39세,"80,789","7,932","4,862","5,606","7,742","5,546","4,587",910,"1,171","2,920","1,474","1,584","4,249","1,609","2,516","1,873","1,578","4,545","2,429","3,043","4,260","3,319","2,687","4,347"
2021년12월_계_40~49세,"97,411","8,579","5,918","6,437","10,273","6,590","4,628",780,"1,252","3,126","1,811","1,967","4,972","1,808","2,914","2,203","1,529","5,698","4,269","5,289","5,298","4,503","4,245","3,322"
2021년12월_계_50~59세,"95,472","7,118","8,482","4,315","6,876","4,173","4,590","1,522","2,173","4,492","2,668","2,839","5,797","2,477","3,887","3,317","1,903","5,966","4,203","3,854","4,653","4,504","3,989","1,674"
2021년12월_계_60~69세,"64,760","4,436","5,808","2,092","3,822","2,280","3,568","1,125","1,616","3,856","2,391","2,282","4,705","2,000","3,131","3,034","1,777","3,837","2,404","1,892","2,436","3,113","2,175",980
2021년12월_계_70~79세,"25,323","1,773","2,247",682,"1,181",626,"1,362",292,499,"1,548","1,076",947,"1,633",863,"1,109","1,297",681,"1,582","1,333",995,960,"1,260","1,021",356
2021년12월_계_80~89세,"11,136",651,"1,240",320,488,227,553,132,258,609,420,418,590,374,523,592,307,725,673,445,458,573,441,119
2021년12월_계_90~99세,"1,821",124,199,39,75,50,108,33,31,111,65,60,104,41,94,106,55,95,64,83,66,117,76,25
2021년12월_계_100세 이상,70,5,10,1,6,1,5,0,4,4,2,2,3,2,1,2,2,5,3,3,1,7,0,1
2021년12월_남_총인구수,"280,398","23,207","20,729","15,713","24,270","15,650","14,059","3,393","4,811","11,493","6,771","7,011","15,810","6,615","9,750","8,446","5,439","16,973","11,506","12,143","13,838","13,022","11,232","8,517"
2021년12월_남_연령구간인구수,"280,398","23,207","20,729","15,713","24,270","15,650","14,059","3,393","4,811","11,493","6,771","7,011","15,810","6,615","9,750","8,446","5,439","16,973","11,506","12,143","13,838","13,022","11,232","8,517"
2021년12월_남_0~9세,"25,406","2,174","1,088","1,946","3,246","2,362","1,681",159,199,546,314,300,"1,334",329,651,342,364,"1,265",850,"1,154","1,374","1,128",999,"1,601"
2021년12월_남_10~19세,"29,309","2,301","1,710","2,223","3,419","2,069","1,135",187,360,801,475,566,"1,470",427,938,621,381,"1,699","1,397","1,768","1,635","1,404","1,538",785
2021년12월_남_20~29세,"37,300","3,228","3,471","1,883","2,774","1,712","1,672",570,797,"1,656",922,"1,105","2,082",974,"1,418","1,213",625,"2,439","1,541","1,417","1,882","1,627","1,556",736
2021년12월_남_30~39세,"41,250","4,104","2,646","2,820","3,644","2,579","2,249",488,638,"1,650",819,914,"2,146",942,"1,288","1,042",834,"2,454","1,253","1,516","2,128","1,690","1,329","2,077"
2021년12월_남_40~49세,"50,035","4,532","3,058","3,144","5,051","3,275","2,463",440,654,"1,728",989,"1,039","2,557","1,027","1,386","1,150",845,"3,014","2,168","2,607","2,649","2,363","2,086","1,810"
2021년12월_남_50~59세,"48,218","3,555","4,244","2,222","3,458","2,106","2,249",769,"1,000","2,255","1,353","1,403","2,852","1,344","1,808","1,664",977,"3,121","2,225","2,160","2,346","2,306","1,981",820
2021년12월_남_60~69세,"32,976","2,219","3,043","1,072","1,935","1,187","1,770",598,863,"1,919","1,226","1,123","2,363","1,050","1,557","1,542",955,"1,991","1,199",896,"1,212","1,670","1,105",481
2021년12월_남_70~79세,"11,814",838,987,290,561,300,649,143,225,739,515,431,803,388,528,629,347,741,593,442,417,620,471,157
2021년12월_남_80~89세,"3,725",233,437,109,167,57,170,35,67,171,142,122,190,122,155,218,97,237,261,165,173,198,155,44
2021년12월_남_90~99세,349,20,42,4,15,3,19,4,6,26,16,8,13,11,21,25,14,12,18,18,21,15,12,6
2021년12월_남_100세 이상,16,3,3,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0
2021년12월_여_총인구수,"274,982","22,276","19,948","15,800","24,646","15,959","13,948","3,112","4,805","10,829","6,273","6,814","15,833","5,827","10,244","8,158","5,063","15,880","11,090","11,844","13,961","12,529","11,569","8,574"
2021년12월_여_연령구간인구수,"274,982","22,276","19,948","15,800","24,646","15,959","13,948","3,112","4,805","10,829","6,273","6,814","15,833","5,827","10,244","8,158","5,063","15,880","11,090","11,844","13,961","12,529","11,569","8,574"
2021년12월_여_0~9세,"23,866","2,039","1,081","1,748","2,996","2,277","1,464",172,211,522,295,231,"1,294",293,601,326,366,"1,196",815,"1,080","1,281","1,131",932,"1,515"
2021년12월_여_10~19세,"27,877","2,074","1,627","2,207","3,187","2,025","1,059",175,326,731,418,580,"1,489",421,910,575,336,"1,637","1,304","1,613","1,577","1,287","1,549",770
2021년12월_여_20~29세,"34,840","3,049","2,934","2,014","2,831","1,671","1,595",448,719,"1,400",713,944,"1,921",824,"1,301","1,103",598,"2,164","1,311","1,351","1,918","1,578","1,593",860
2021년12월_여_30~39세,"39,539","3,828","2,216","2,786","4,098","2,967","2,338",422,533,"1,270",655,670,"2,103",667,"1,228",831,744,"2,091","1,176","1,527","2,132","1,629","1,358","2,270"
2021년12월_여_40~49세,"47,376","4,047","2,860","3,293","5,222","3,315","2,165",340,598,"1,398",822,928,"2,415",781,"1,528","1,053",684,"2,684","2,101","2,682","2,649","2,140","2,159","1,512"
2021년12월_여_50~59세,"47,254","3,563","4,238","2,093","3,418","2,067","2,341",753,"1,173","2,237","1,315","1,436","2,945","1,133","2,079","1,653",926,"2,845","1,978","1,694","2,307","2,198","2,008",854
2021년12월_여_60~69세,"31,784","2,217","2,765","1,020","1,887","1,093","1,798",527,753,"1,937","1,165","1,159","2,342",950,"1,574","1,492",822,"1,846","1,205",996,"1,224","1,443","1,070",499
2021년12월_여_70~79세,"13,509",935,"1,260",392,620,326,713,149,274,809,561,516,830,475,581,668,334,841,740,553,543,640,550,199
2021년12월_여_80~89세,"7,411",418,803,211,321,170,383,97,191,438,278,296,400,252,368,374,210,488,412,280,285,375,286,75
2021년12월_여_90~99세,"1,472",104,157,35,60,47,89,29,25,85,49,52,91,30,73,81,41,83,46,65,45,102,64,19
2021년12월_여_100세 이상,54,2,7,1,6,1,3,0,2,2,2,2,3,1,1,2,2,5,2,3,0,6,0,1
