카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년03월_계_총인구수,"61,755","7,043","6,088","7,742","10,611","3,667","1,653","2,891","7,984","4,407","6,672","2,997"
2021년03월_계_연령구간인구수,"61,755","7,043","6,088","7,742","10,611","3,667","1,653","2,891","7,984","4,407","6,672","2,997"
2021년03월_계_0~9세,"3,625",441,244,338,843,131,87,83,460,325,570,103
2021년03월_계_10~19세,"4,962",607,476,610,900,214,113,148,680,448,572,194
2021년03월_계_20~29세,"6,546",770,703,794,"1,177",397,177,270,835,525,610,288
2021년03월_계_30~39세,"6,712",784,521,744,"1,426",334,160,220,875,576,830,242
2021년03월_계_40~49세,"9,805","1,202",850,"1,186","1,785",496,250,358,"1,315",778,"1,159",426
2021년03월_계_50~59세,"10,032","1,174","1,064","1,276","1,603",680,253,485,"1,292",761,"1,003",441
2021년03월_계_60~69세,"10,128","1,096","1,084","1,381","1,528",707,296,620,"1,266",580,994,576
2021년03월_계_70~79세,"6,608",623,773,926,972,440,201,433,851,299,609,481
2021년03월_계_80~89세,"2,881",299,318,434,327,245,102,241,347,95,262,211
2021년03월_계_90~99세,422,46,52,50,45,23,13,29,56,18,57,33
2021년03월_계_100세 이상,34,1,3,3,5,0,1,4,7,2,6,2
2021년03월_남_총인구수,"31,200","3,620","3,088","3,842","5,239","1,879",812,"1,482","4,087","2,297","3,347","1,507"
2021년03월_남_연령구간인구수,"31,200","3,620","3,088","3,842","5,239","1,879",812,"1,482","4,087","2,297","3,347","1,507"
2021년03월_남_0~9세,"1,897",240,132,178,424,70,40,48,255,167,297,46
2021년03월_남_10~19세,"2,586",316,246,300,476,103,56,70,352,224,326,117
2021년03월_남_20~29세,"3,556",427,381,431,617,224,96,167,487,269,311,146
2021년03월_남_30~39세,"3,595",408,279,416,723,186,89,128,477,334,418,137
2021년03월_남_40~49세,"5,307",655,451,654,930,283,136,215,693,404,639,247
2021년03월_남_50~59세,"5,350",646,585,673,783,376,127,279,695,422,519,245
2021년03월_남_60~69세,"4,881",554,528,654,705,363,151,286,600,292,468,280
2021년03월_남_70~79세,"2,918",270,351,383,444,183,87,193,378,146,278,205
2021년03월_남_80~89세,"1,006",93,124,142,125,83,26,87,132,34,84,76
2021년03월_남_90~99세,96,10,11,11,10,8,4,7,16,4,7,8
2021년03월_남_100세 이상,8,1,0,0,2,0,0,2,2,1,0,0
2021년03월_여_총인구수,"30,555","3,423","3,000","3,900","5,372","1,788",841,"1,409","3,897","2,110","3,325","1,490"
2021년03월_여_연령구간인구수,"30,555","3,423","3,000","3,900","5,372","1,788",841,"1,409","3,897","2,110","3,325","1,490"
2021년03월_여_0~9세,"1,728",201,112,160,419,61,47,35,205,158,273,57
2021년03월_여_10~19세,"2,376",291,230,310,424,111,57,78,328,224,246,77
2021년03월_여_20~29세,"2,990",343,322,363,560,173,81,103,348,256,299,142
2021년03월_여_30~39세,"3,117",376,242,328,703,148,71,92,398,242,412,105
2021년03월_여_40~49세,"4,498",547,399,532,855,213,114,143,622,374,520,179
2021년03월_여_50~59세,"4,682",528,479,603,820,304,126,206,597,339,484,196
2021년03월_여_60~69세,"5,247",542,556,727,823,344,145,334,666,288,526,296
2021년03월_여_70~79세,"3,690",353,422,543,528,257,114,240,473,153,331,276
2021년03월_여_80~89세,"1,875",206,194,292,202,162,76,154,215,61,178,135
2021년03월_여_90~99세,326,36,41,39,35,15,9,22,40,14,50,25
2021년03월_여_100세 이상,26,0,3,3,3,0,1,2,5,1,6,2
