카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년10월_계_총인구수,"34,921","6,846","1,421","1,058","2,047","2,901","1,834","4,162","5,619","5,744","1,198","2,091"
2020년10월_계_연령구간인구수,"34,921","6,846","1,421","1,058","2,047","2,901","1,834","4,162","5,619","5,744","1,198","2,091"
2020년10월_계_0~9세,"1,364",388,48,41,55,88,35,138,165,329,39,38
2020년10월_계_10~19세,"2,096",541,42,47,98,155,79,281,206,504,42,101
2020년10월_계_20~29세,"2,458",627,74,37,100,164,108,311,361,521,56,99
2020년10월_계_30~39세,"2,179",632,54,43,95,200,75,221,308,417,60,74
2020년10월_계_40~49세,"3,549",834,114,89,135,279,153,470,529,671,94,181
2020년10월_계_50~59세,"6,578","1,179",235,170,322,535,401,874,"1,182","1,121",180,379
2020년10월_계_60~69세,"7,193","1,152",336,207,435,572,420,895,"1,323","1,071",311,471
2020년10월_계_70~79세,"5,305",846,265,207,444,508,339,576,900,595,231,394
2020년10월_계_80~89세,"3,640",544,222,190,318,339,197,344,565,455,153,313
2020년10월_계_90~99세,540,99,31,26,42,59,26,50,77,59,32,39
2020년10월_계_100세 이상,19,4,0,1,3,2,1,2,3,1,0,2
2020년10월_남_총인구수,"17,159","3,314",695,504,986,"1,435",905,"2,060","2,815","2,834",576,"1,035"
2020년10월_남_연령구간인구수,"17,159","3,314",695,504,986,"1,435",905,"2,060","2,815","2,834",576,"1,035"
2020년10월_남_0~9세,724,198,26,20,37,47,22,69,102,169,18,16
2020년10월_남_10~19세,"1,126",280,27,29,59,84,47,154,114,253,20,59
2020년10월_남_20~29세,"1,405",366,41,15,62,93,63,166,204,304,35,56
2020년10월_남_30~39세,"1,179",320,33,22,57,115,49,114,175,220,34,40
2020년10월_남_40~49세,"1,984",433,66,56,92,166,82,250,312,350,60,117
2020년10월_남_50~59세,"3,542",616,142,104,181,292,212,469,623,563,111,229
2020년10월_남_60~69세,"3,708",570,178,110,221,298,217,438,690,577,163,246
2020년10월_남_70~79세,"2,306",360,115,81,174,218,144,264,428,252,91,179
2020년10월_남_80~89세,"1,070",152,58,63,96,106,64,121,156,135,37,82
2020년10월_남_90~99세,113,19,9,4,6,16,5,14,11,11,7,11
2020년10월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년10월_여_총인구수,"17,762","3,532",726,554,"1,061","1,466",929,"2,102","2,804","2,910",622,"1,056"
2020년10월_여_연령구간인구수,"17,762","3,532",726,554,"1,061","1,466",929,"2,102","2,804","2,910",622,"1,056"
2020년10월_여_0~9세,640,190,22,21,18,41,13,69,63,160,21,22
2020년10월_여_10~19세,970,261,15,18,39,71,32,127,92,251,22,42
2020년10월_여_20~29세,"1,053",261,33,22,38,71,45,145,157,217,21,43
2020년10월_여_30~39세,"1,000",312,21,21,38,85,26,107,133,197,26,34
2020년10월_여_40~49세,"1,565",401,48,33,43,113,71,220,217,321,34,64
2020년10월_여_50~59세,"3,036",563,93,66,141,243,189,405,559,558,69,150
2020년10월_여_60~69세,"3,485",582,158,97,214,274,203,457,633,494,148,225
2020년10월_여_70~79세,"2,999",486,150,126,270,290,195,312,472,343,140,215
2020년10월_여_80~89세,"2,570",392,164,127,222,233,133,223,409,320,116,231
2020년10월_여_90~99세,427,80,22,22,36,43,21,36,66,48,25,28
2020년10월_여_100세 이상,17,4,0,1,2,2,1,1,3,1,0,2
