,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020년04월_계_총인구수,"28,124","10,257","1,588","2,070","1,769","1,761","1,470","2,007","2,259","1,350","1,184","2,409"
2020년04월_계_연령구간인구수,"28,124","10,257","1,588","2,070","1,769","1,761","1,470","2,007","2,259","1,350","1,184","2,409"
2020년04월_계_0~9세,"1,601",893,60,81,71,51,69,75,132,46,55,68
2020년04월_계_10~19세,"2,275","1,325",102,108,95,74,75,121,140,46,61,128
2020년04월_계_20~29세,"2,137",986,105,108,103,114,85,141,140,116,94,145
2020년04월_계_30~39세,"2,122","1,068",101,118,114,106,111,102,141,80,72,109
2020년04월_계_40~49세,"3,403","1,647",145,216,198,150,123,197,236,129,127,235
2020년04월_계_50~59세,"4,636","1,537",296,359,269,322,253,381,413,214,167,425
2020년04월_계_60~69세,"4,637","1,260",287,381,323,388,263,413,421,241,200,460
2020년04월_계_70~79세,"4,208",949,260,403,331,291,262,343,404,264,217,484
2020년04월_계_80~89세,"2,713",509,201,258,233,237,205,206,196,186,177,305
2020년04월_계_90~99세,362,77,26,35,30,26,22,28,33,25,13,47
2020년04월_계_100세 이상,30,6,5,3,2,2,2,0,3,3,1,3
2020년04월_남_총인구수,"13,648","4,967",765,"1,016",868,865,718,995,"1,081",651,551,"1,171"
2020년04월_남_연령구간인구수,"13,648","4,967",765,"1,016",868,865,718,995,"1,081",651,551,"1,171"
2020년04월_남_0~9세,832,469,31,42,35,26,37,34,73,15,36,34
2020년04월_남_10~19세,"1,163",669,52,56,50,41,38,71,70,23,28,65
2020년04월_남_20~29세,"1,164",519,61,58,59,68,50,71,84,72,40,82
2020년04월_남_30~39세,"1,035",486,46,66,73,60,51,56,56,44,37,60
2020년04월_남_40~49세,"1,938",859,79,148,125,99,79,118,127,79,80,145
2020년04월_남_50~59세,"2,519",811,176,191,152,170,151,197,218,124,94,235
2020년04월_남_60~69세,"2,341",590,149,219,166,214,132,223,216,113,94,225
2020년04월_남_70~79세,"1,687",379,112,143,134,110,105,146,168,109,90,191
2020년04월_남_80~89세,871,162,53,87,68,69,71,70,56,64,51,120
2020년04월_남_90~99세,97,22,6,6,6,8,4,9,13,8,1,14
2020년04월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"14,476","5,290",823,"1,054",901,896,752,"1,012","1,178",699,633,"1,238"
2020년04월_여_연령구간인구수,"14,476","5,290",823,"1,054",901,896,752,"1,012","1,178",699,633,"1,238"
2020년04월_여_0~9세,769,424,29,39,36,25,32,41,59,31,19,34
2020년04월_여_10~19세,"1,112",656,50,52,45,33,37,50,70,23,33,63
2020년04월_여_20~29세,973,467,44,50,44,46,35,70,56,44,54,63
2020년04월_여_30~39세,"1,087",582,55,52,41,46,60,46,85,36,35,49
2020년04월_여_40~49세,"1,465",788,66,68,73,51,44,79,109,50,47,90
2020년04월_여_50~59세,"2,117",726,120,168,117,152,102,184,195,90,73,190
2020년04월_여_60~69세,"2,296",670,138,162,157,174,131,190,205,128,106,235
2020년04월_여_70~79세,"2,521",570,148,260,197,181,157,197,236,155,127,293
2020년04월_여_80~89세,"1,842",347,148,171,165,168,134,136,140,122,126,185
2020년04월_여_90~99세,265,55,20,29,24,18,18,19,20,17,12,33
2020년04월_여_100세 이상,29,5,5,3,2,2,2,0,3,3,1,3
