,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년10월_계_총인구수,"455,649","31,620","30,538","22,480","26,016","42,385","20,951","21,441","15,857","18,435","15,150","13,588","20,640","20,996","20,157","46,633","33,672","25,071","30,019"
2020년10월_계_연령구간인구수,"455,649","31,620","30,538","22,480","26,016","42,385","20,951","21,441","15,857","18,435","15,150","13,588","20,640","20,996","20,157","46,633","33,672","25,071","30,019"
2020년10월_계_0~9세,"31,992","2,974","1,732","1,400","1,425","3,454","1,008","1,486",916,"1,522","1,026","1,429","1,087","1,841","1,336","3,480","1,757","2,095","2,024"
2020년10월_계_10~19세,"51,090","5,145","2,588","1,545","3,404","7,652","1,363","1,804","1,151","1,623","1,300","1,232","1,407","3,070","2,982","5,318","2,327","3,694","3,485"
2020년10월_계_20~29세,"60,090","3,431","5,032","3,566","4,163","4,571","2,673","2,702","2,053","2,193","2,156","1,590","2,684","2,509","2,622","5,961","5,303","3,218","3,663"
2020년10월_계_30~39세,"58,409","3,370","5,270","4,034","2,846","4,052","2,744","3,064","2,068","2,531","2,150","2,565","2,675","2,108","1,831","5,853","5,189","2,784","3,275"
2020년10월_계_40~49세,"79,327","6,985","4,646","3,214","4,629","9,290","3,139","3,376","2,279","3,052","2,322","2,139","3,018","4,104","3,836","8,063","5,262","4,765","5,208"
2020년10월_계_50~59세,"76,752","4,993","4,954","3,689","4,848","6,715","3,936","3,361","2,979","2,847","2,562","2,020","3,639","3,538","3,666","7,851","5,453","4,410","5,291"
2020년10월_계_60~69세,"57,035","2,821","3,818","3,011","2,648","4,058","3,556","3,295","2,524","2,724","2,141","1,605","3,427","2,173","2,217","5,730","4,756","2,583","3,948"
2020년10월_계_70~79세,"28,436","1,324","1,715","1,347","1,450","1,702","1,860","1,712","1,352","1,377","1,074",749,"1,815","1,105","1,115","3,051","2,660",996,"2,032"
2020년10월_계_80~89세,"10,644",483,665,579,526,719,567,549,464,493,364,209,788,451,463,"1,126",848,426,924
2020년10월_계_90~99세,"1,684",88,104,81,68,165,90,82,59,63,48,39,97,90,74,185,102,99,150
