카테고리,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년09월_계_총인구수,"659,385","13,070","25,027","12,659","18,885","19,070","18,907","15,799","26,691","18,070","38,747","24,069","19,240","31,761","30,556","26,458","27,316","32,482","20,156","28,938","29,375","36,782","28,103","35,194","34,437","21,235","16,778","9,580"
2021년09월_계_연령구간인구수,"659,385","13,070","25,027","12,659","18,885","19,070","18,907","15,799","26,691","18,070","38,747","24,069","19,240","31,761","30,556","26,458","27,316","32,482","20,156","28,938","29,375","36,782","28,103","35,194","34,437","21,235","16,778","9,580"
2021년09월_계_0~9세,"48,818",634,"1,867",610,"1,266",855,807,"1,011","1,127","1,206","2,699","1,140","1,492","1,489","1,456","1,573","3,085","2,459","1,258","1,577","2,269","6,256","1,210","3,843","3,077","2,605","1,409",538
2021년09월_계_10~19세,"57,666",823,"1,976",938,"1,475","1,554","1,284","1,599","1,224","2,630","3,093","1,309","1,815","1,823","1,928","1,787","2,288","3,417","1,453","1,414","2,639","4,625","1,685","5,763","4,006","2,423","1,720",975
2021년09월_계_20~29세,"91,477","1,603","3,785","1,813","2,194","2,276","2,380","2,406","5,473","2,111","5,336","4,434","2,635","5,434","5,202","3,995","3,201","4,463","3,137","5,149","3,958","3,319","5,046","3,278","3,727","1,940","1,941","1,241"
2021년09월_계_30~39세,"107,301","1,797","4,099","1,735","2,672","2,150","2,169","2,229","6,241","1,681","5,475","5,295","2,772","6,850","6,433","4,629","4,872","4,691","3,460","7,316","4,601","6,574","5,997","3,621","4,044","2,790","2,164",944
2021년09월_계_40~49세,"107,383","1,854","3,992","1,801","2,920","2,681","2,643","2,508","3,652","3,179","5,671","3,402","3,018","4,782","5,007","3,797","4,467","5,534","2,832","4,345","4,631","7,260","4,400","8,431","6,163","4,346","2,751","1,316"
2021년09월_계_50~59세,"101,328","2,221","3,640","2,273","3,243","3,497","3,550","2,676","3,609","3,121","6,794","3,343","3,111","4,632","4,373","4,627","3,944","5,228","3,317","3,494","4,799","4,222","4,045","5,056","5,230","2,975","2,639","1,669"
2021년09월_계_60~69세,"87,034","2,453","3,350","2,001","2,874","3,314","3,510","2,056","3,249","2,589","5,864","3,087","2,745","3,992","3,734","3,808","3,576","4,200","2,997","3,198","3,920","2,812","3,492","2,978","4,772","2,503","2,460","1,500"
2021년09월_계_70~79세,"40,995","1,156","1,626","1,044","1,558","1,896","1,737",868,"1,531","1,089","2,552","1,484","1,158","1,994","1,744","1,542","1,471","1,718","1,206","1,641","1,738","1,201","1,624","1,639","2,538","1,193","1,143",904
2021년09월_계_80~89세,"14,743",468,601,384,582,743,719,374,506,373,"1,039",494,407,666,567,602,345,656,416,686,666,405,526,516,739,383,460,420
2021년09월_계_90~99세,"2,522",59,89,57,98,102,106,66,77,91,211,81,82,92,104,94,65,111,75,112,146,102,73,64,136,75,85,69
2021년09월_계_100세 이상,118,2,2,3,3,2,2,6,2,0,13,0,5,7,8,4,2,5,5,6,8,6,5,5,5,2,6,4
2021년09월_남_총인구수,"317,784","6,383","11,916","6,398","9,281","9,763","9,615","7,623","12,385","8,862","18,791","11,238","9,248","15,171","14,406","13,092","13,231","15,968","9,973","13,300","14,193","17,882","13,270","16,826","16,390","10,170","7,947","4,462"
2021년09월_남_연령구간인구수,"317,784","6,383","11,916","6,398","9,281","9,763","9,615","7,623","12,385","8,862","18,791","11,238","9,248","15,171","14,406","13,092","13,231","15,968","9,973","13,300","14,193","17,882","13,270","16,826","16,390","10,170","7,947","4,462"
2021년09월_남_0~9세,"25,072",354,956,323,666,449,399,492,604,653,"1,388",582,765,746,745,805,"1,641","1,279",651,786,"1,150","3,185",597,"1,948","1,605","1,326",702,275
2021년09월_남_10~19세,"29,508",424,"1,000",480,792,807,654,815,659,"1,454","1,665",632,902,912,"1,014",922,"1,133","1,813",755,721,"1,362","2,298",845,"2,898","2,023","1,261",871,396
2021년09월_남_20~29세,"43,441",835,"1,681",955,"1,125","1,183","1,305","1,231","2,216","1,124","2,751","1,982","1,228","2,498","2,351","1,958","1,571","2,251","1,565","1,977","1,962","1,624","2,208","1,556","1,798",959,943,604
2021년09월_남_30~39세,"51,275",925,"1,936",924,"1,357","1,188","1,181","1,099","2,970",700,"2,703","2,584","1,320","3,316","3,116","2,331","2,281","2,269","1,795","3,310","2,317","3,056","2,947","1,449","1,706","1,130",945,420
2021년09월_남_40~49세,"51,928",935,"1,943",899,"1,450","1,406","1,396","1,144","1,823","1,396","2,688","1,589","1,454","2,371","2,424","1,894","2,164","2,659","1,397","2,095","2,277","3,656","2,135","3,917","2,851","2,111","1,276",578
2021년09월_남_50~59세,"49,127","1,072","1,765","1,150","1,575","1,863","1,831","1,257","1,685","1,541","3,146","1,517","1,493","2,252","2,041","2,258","1,850","2,546","1,548","1,711","2,229","2,087","1,915","2,724","2,584","1,456","1,226",805
2021년09월_남_60~69세,"40,933","1,118","1,588",977,"1,349","1,667","1,751",961,"1,461","1,220","2,775","1,405","1,300","1,835","1,658","1,883","1,696","1,998","1,467","1,501","1,849","1,261","1,620","1,343","2,207","1,158","1,180",705
2021년09월_남_70~79세,"19,994",528,789,522,731,898,791,466,735,600,"1,264",698,610,919,839,758,742,867,608,837,805,580,766,762,"1,259",591,575,454
2021년09월_남_80~89세,"5,879",171,236,154,219,272,294,140,209,153,364,226,160,294,196,253,138,256,170,319,219,126,213,215,325,158,192,207
2021년09월_남_90~99세,603,20,21,12,17,30,13,18,22,21,44,23,16,27,21,28,15,29,16,39,23,9,23,14,30,20,34,18
2021년09월_남_100세 이상,24,1,1,2,0,0,0,0,1,0,3,0,0,1,1,2,0,1,1,4,0,0,1,0,2,0,3,0
2021년09월_여_총인구수,"341,601","6,687","13,111","6,261","9,604","9,307","9,292","8,176","14,306","9,208","19,956","12,831","9,992","16,590","16,150","13,366","14,085","16,514","10,183","15,638","15,182","18,900","14,833","18,368","18,047","11,065","8,831","5,118"
2021년09월_여_연령구간인구수,"341,601","6,687","13,111","6,261","9,604","9,307","9,292","8,176","14,306","9,208","19,956","12,831","9,992","16,590","16,150","13,366","14,085","16,514","10,183","15,638","15,182","18,900","14,833","18,368","18,047","11,065","8,831","5,118"
2021년09월_여_0~9세,"23,746",280,911,287,600,406,408,519,523,553,"1,311",558,727,743,711,768,"1,444","1,180",607,791,"1,119","3,071",613,"1,895","1,472","1,279",707,263
2021년09월_여_10~19세,"28,158",399,976,458,683,747,630,784,565,"1,176","1,428",677,913,911,914,865,"1,155","1,604",698,693,"1,277","2,327",840,"2,865","1,983","1,162",849,579
2021년09월_여_20~29세,"48,036",768,"2,104",858,"1,069","1,093","1,075","1,175","3,257",987,"2,585","2,452","1,407","2,936","2,851","2,037","1,630","2,212","1,572","3,172","1,996","1,695","2,838","1,722","1,929",981,998,637
2021년09월_여_30~39세,"56,026",872,"2,163",811,"1,315",962,988,"1,130","3,271",981,"2,772","2,711","1,452","3,534","3,317","2,298","2,591","2,422","1,665","4,006","2,284","3,518","3,050","2,172","2,338","1,660","1,219",524
2021년09월_여_40~49세,"55,455",919,"2,049",902,"1,470","1,275","1,247","1,364","1,829","1,783","2,983","1,813","1,564","2,411","2,583","1,903","2,303","2,875","1,435","2,250","2,354","3,604","2,265","4,514","3,312","2,235","1,475",738
2021년09월_여_50~59세,"52,201","1,149","1,875","1,123","1,668","1,634","1,719","1,419","1,924","1,580","3,648","1,826","1,618","2,380","2,332","2,369","2,094","2,682","1,769","1,783","2,570","2,135","2,130","2,332","2,646","1,519","1,413",864
2021년09월_여_60~69세,"46,101","1,335","1,762","1,024","1,525","1,647","1,759","1,095","1,788","1,369","3,089","1,682","1,445","2,157","2,076","1,925","1,880","2,202","1,530","1,697","2,071","1,551","1,872","1,635","2,565","1,345","1,280",795
