카테고리,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년02월_계_총인구수,"44,432","13,617","3,725","3,720","1,855","3,289","6,091","4,092","1,554","1,395","2,885","2,209"
2021년02월_계_연령구간인구수,"44,432","13,617","3,725","3,720","1,855","3,289","6,091","4,092","1,554","1,395","2,885","2,209"
2021년02월_계_0~9세,"2,745","1,019",332,159,50,148,646,167,58,32,79,55
2021년02월_계_10~19세,"3,274","1,224",303,180,72,194,624,252,89,60,176,100
2021년02월_계_20~29세,"4,199","1,296",308,360,152,333,793,403,132,115,181,126
2021년02월_계_30~39세,"3,650","1,190",286,328,128,184,781,280,106,76,156,135
2021년02월_계_40~49세,"5,513","1,944",469,417,180,380,878,513,162,108,261,201
2021년02월_계_50~59세,"7,475","2,172",626,700,357,582,828,791,278,230,483,428
2021년02월_계_60~69세,"7,342","2,054",622,714,378,591,637,752,296,287,526,485
2021년02월_계_70~79세,"5,911","1,651",439,499,275,491,537,535,253,275,551,405
2021년02월_계_80~89세,"3,766",925,298,316,223,353,327,337,153,185,426,223
2021년02월_계_90~99세,519,131,36,46,39,32,40,58,25,26,44,42
2021년02월_계_100세 이상,38,11,6,1,1,1,0,4,2,1,2,9
2021년02월_남_총인구수,"22,774","6,731","1,889","2,001",982,"1,802","3,186","2,073",817,698,"1,455","1,140"
2021년02월_남_연령구간인구수,"22,774","6,731","1,889","2,001",982,"1,802","3,186","2,073",817,698,"1,455","1,140"
2021년02월_남_0~9세,"1,392",532,183,79,20,80,307,77,30,11,44,29
2021년02월_남_10~19세,"1,725",637,160,95,37,110,325,119,50,35,104,53
2021년02월_남_20~29세,"2,482",695,169,209,98,276,483,240,71,71,101,69
2021년02월_남_30~39세,"1,957",594,130,209,80,97,434,152,63,41,84,73
2021년02월_남_40~49세,"3,136","1,043",250,274,115,241,474,301,102,58,160,118
2021년02월_남_50~59세,"4,266","1,196",383,394,207,335,487,438,165,133,276,252
2021년02월_남_60~69세,"3,870","1,001",309,398,222,314,353,412,161,151,283,266
2021년02월_남_70~79세,"2,612",729,201,227,115,215,215,227,116,122,248,197
2021년02월_남_80~89세,"1,206",279,93,102,77,126,95,94,52,70,145,73
2021년02월_남_90~99세,124,24,10,14,11,8,13,13,6,6,10,9
2021년02월_남_100세 이상,4,1,1,0,0,0,0,0,1,0,0,1
2021년02월_여_총인구수,"21,658","6,886","1,836","1,719",873,"1,487","2,905","2,019",737,697,"1,430","1,069"
2021년02월_여_연령구간인구수,"21,658","6,886","1,836","1,719",873,"1,487","2,905","2,019",737,697,"1,430","1,069"
2021년02월_여_0~9세,"1,353",487,149,80,30,68,339,90,28,21,35,26
2021년02월_여_10~19세,"1,549",587,143,85,35,84,299,133,39,25,72,47
2021년02월_여_20~29세,"1,717",601,139,151,54,57,310,163,61,44,80,57
2021년02월_여_30~39세,"1,693",596,156,119,48,87,347,128,43,35,72,62
2021년02월_여_40~49세,"2,377",901,219,143,65,139,404,212,60,50,101,83
2021년02월_여_50~59세,"3,209",976,243,306,150,247,341,353,113,97,207,176
2021년02월_여_60~69세,"3,472","1,053",313,316,156,277,284,340,135,136,243,219
2021년02월_여_70~79세,"3,299",922,238,272,160,276,322,308,137,153,303,208
2021년02월_여_80~89세,"2,560",646,205,214,146,227,232,243,101,115,281,150
2021년02월_여_90~99세,395,107,26,32,28,24,27,45,19,20,34,33
2021년02월_여_100세 이상,34,10,5,1,1,1,0,4,1,1,2,8
