카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년04월_계_총인구수,"218,364","37,633","40,039","39,430","16,297","30,023","34,483","10,161","10,298"
2020년04월_계_연령구간인구수,"218,364","37,633","40,039","39,430","16,297","30,023","34,483","10,161","10,298"
2020년04월_계_0~9세,"26,012","4,850","5,596","4,049","2,718","2,782","4,405",774,838
2020년04월_계_10~19세,"23,659","3,938","4,564","6,374","1,223","2,405","3,574",775,806
2020년04월_계_20~29세,"28,065","4,382","4,594","4,953","1,288","4,793","4,949","1,754","1,352"
2020년04월_계_30~39세,"35,145","6,092","6,870","4,289","3,616","4,951","6,115","1,667","1,545"
2020년04월_계_40~49세,"38,367","6,627","7,345","8,703","2,580","4,496","5,606","1,473","1,537"
2020년04월_계_50~59세,"38,354","6,291","6,307","6,870","2,172","6,418","6,221","2,091","1,984"
2020년04월_계_60~69세,"18,257","3,416","3,016","2,403","1,634","2,851","2,363","1,088","1,486"
2020년04월_계_70~79세,"7,108","1,424","1,149","1,224",654,912,814,380,551
2020년04월_계_80~89세,"2,930",526,513,489,346,363,381,138,174
2020년04월_계_90~99세,450,83,84,75,61,51,55,20,21
2020년04월_계_100세 이상,17,4,1,1,5,1,0,1,4
2020년04월_남_총인구수,"112,960","19,242","20,498","20,043","8,353","15,967","17,601","5,770","5,486"
2020년04월_남_연령구간인구수,"112,960","19,242","20,498","20,043","8,353","15,967","17,601","5,770","5,486"
2020년04월_남_0~9세,"13,378","2,496","2,913","2,100","1,371","1,451","2,251",376,420
2020년04월_남_10~19세,"12,379","2,022","2,396","3,365",611,"1,279","1,852",419,435
2020년04월_남_20~29세,"15,736","2,415","2,505","2,731",684,"2,690","2,717","1,171",823
2020년04월_남_30~39세,"18,168","3,059","3,428","2,014","1,857","2,827","3,101","1,008",874
2020년04월_남_40~49세,"19,584","3,453","3,810","4,112","1,450","2,351","2,710",837,861
2020년04월_남_50~59세,"20,003","3,214","3,223","3,795","1,089","3,306","3,215","1,166",995
2020년04월_남_60~69세,"9,536","1,778","1,533","1,240",871,"1,518","1,260",567,769
2020년04월_남_70~79세,"3,257",641,529,533,308,427,390,190,239
2020년04월_남_80~89세,845,148,152,138,100,109,99,34,65
2020년04월_남_90~99세,71,15,9,15,12,8,6,2,4
2020년04월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년04월_여_총인구수,"105,404","18,391","19,541","19,387","7,944","14,056","16,882","4,391","4,812"
2020년04월_여_연령구간인구수,"105,404","18,391","19,541","19,387","7,944","14,056","16,882","4,391","4,812"
2020년04월_여_0~9세,"12,634","2,354","2,683","1,949","1,347","1,331","2,154",398,418
2020년04월_여_10~19세,"11,280","1,916","2,168","3,009",612,"1,126","1,722",356,371
2020년04월_여_20~29세,"12,329","1,967","2,089","2,222",604,"2,103","2,232",583,529
2020년04월_여_30~39세,"16,977","3,033","3,442","2,275","1,759","2,124","3,014",659,671
2020년04월_여_40~49세,"18,783","3,174","3,535","4,591","1,130","2,145","2,896",636,676
2020년04월_여_50~59세,"18,351","3,077","3,084","3,075","1,083","3,112","3,006",925,989
2020년04월_여_60~69세,"8,721","1,638","1,483","1,163",763,"1,333","1,103",521,717
2020년04월_여_70~79세,"3,851",783,620,691,346,485,424,190,312
2020년04월_여_80~89세,"2,085",378,361,351,246,254,282,104,109
2020년04월_여_90~99세,379,68,75,60,49,43,49,18,17
2020년04월_여_100세 이상,14,3,1,1,5,0,0,1,3
