카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년05월_계_총인구수,"347,274","8,156","4,072","8,536","2,200","1,900","2,591","1,589","1,481","1,456","3,234","21,021","4,700","1,593","4,005","1,044","2,217","27,574","10,597","10,996","13,997","19,474","24,533","11,675","26,765","27,478","11,704","11,982","21,087","27,213","32,404"
2021년05월_계_연령구간인구수,"347,274","8,156","4,072","8,536","2,200","1,900","2,591","1,589","1,481","1,456","3,234","21,021","4,700","1,593","4,005","1,044","2,217","27,574","10,597","10,996","13,997","19,474","24,533","11,675","26,765","27,478","11,704","11,982","21,087","27,213","32,404"
2021년05월_계_0~9세,"27,617",615,337,965,37,45,99,28,26,39,50,"2,128",223,16,133,22,54,"1,514",426,324,567,950,"1,334",701,"3,263","2,051",642,642,"2,322","2,374","5,690"
2021년05월_계_10~19세,"34,789",641,447,517,105,51,184,41,51,71,136,"2,719",410,53,191,39,100,"2,454",726,641,"1,020","1,570","2,416","1,034","4,000","3,383","1,100","1,251","2,995","2,568","3,875"
2021년05월_계_20~29세,"44,943",793,430,"1,080",138,124,207,73,62,104,211,"2,267",426,75,327,100,135,"4,237","1,433","1,059","1,797","2,900","3,748","1,527","3,331","4,089","1,605","1,540","2,345","5,379","3,401"
2021년05월_계_30~39세,"41,159",893,415,"1,650",122,121,175,68,69,60,156,"2,401",364,59,225,47,107,"2,690","1,144",813,"1,256","1,992","2,501","1,356","3,604","3,012","1,138","1,075","2,412","4,200","7,034"
2021년05월_계_40~49세,"53,685","1,028",651,"1,191",177,139,269,94,147,141,260,"3,703",640,101,419,89,205,"3,895","1,538","1,343","1,847","2,748","3,602","1,694","5,250","4,591","1,584","1,756","4,070","4,091","6,422"
2021년05월_계_50~59세,"57,112","1,377",684,"1,274",374,344,498,266,210,249,576,"3,354",870,290,734,179,394,"4,500","1,750","1,860","2,563","3,556","4,909","2,065","4,092","5,098","2,059","2,294","3,233","3,987","3,473"
2021년05월_계_60~69세,"47,629","1,437",570,"1,079",482,488,513,434,363,314,729,"2,542",838,378,"1,005",260,538,"4,143","1,885","2,431","2,573","3,236","3,711","1,942","1,960","3,035","1,956","1,976","2,255","2,788","1,768"
2021년05월_계_70~79세,"25,721",811,323,476,408,286,354,316,300,250,584,"1,213",543,327,561,155,341,"2,724","1,121","1,691","1,605","1,784","1,575",960,860,"1,367","1,037","1,000",978,"1,256",515
