,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2021년08월_계_총인구수,"21,811","7,318","2,060","2,305","4,353","2,075","2,123","1,577"
2021년08월_계_연령구간인구수,"21,811","7,318","2,060","2,305","4,353","2,075","2,123","1,577"
2021년08월_계_0~9세,"1,059",515,65,66,231,47,71,64
2021년08월_계_10~19세,"1,649",741,115,121,357,92,136,87
2021년08월_계_20~29세,"1,579",637,127,131,347,119,144,74
2021년08월_계_30~39세,"1,454",640,102,112,300,110,109,81
2021년08월_계_40~49세,"2,458",999,175,192,545,168,227,152
2021년08월_계_50~59세,"3,628","1,136",352,376,753,362,392,257
2021년08월_계_60~69세,"4,360","1,216",402,561,829,516,438,398
2021년08월_계_70~79세,"3,113",847,370,421,541,363,341,230
2021년08월_계_80~89세,"2,195",517,304,280,401,255,235,203
2021년08월_계_90~99세,305,68,47,42,48,41,29,30
2021년08월_계_100세 이상,11,2,1,3,1,2,1,1
2021년08월_남_총인구수,"10,882","3,623","1,036","1,162","2,200","1,018","1,048",795
2021년08월_남_연령구간인구수,"10,882","3,623","1,036","1,162","2,200","1,018","1,048",795
2021년08월_남_0~9세,554,274,36,39,119,20,38,28
2021년08월_남_10~19세,836,348,65,67,198,48,66,44
2021년08월_남_20~29세,897,357,79,71,199,70,78,43
2021년08월_남_30~39세,751,314,63,65,149,63,60,37
2021년08월_남_40~49세,"1,390",546,107,117,292,96,131,101
2021년08월_남_50~59세,"2,051",636,198,217,425,208,224,143
2021년08월_남_60~69세,"2,231",591,205,291,435,263,223,223
2021년08월_남_70~79세,"1,381",363,170,193,251,156,142,106
2021년08월_남_80~89세,717,182,94,96,121,83,81,60
2021년08월_남_90~99세,73,11,19,6,11,11,5,10
2021년08월_남_100세 이상,1,1,0,0,0,0,0,0
2021년08월_여_총인구수,"10,929","3,695","1,024","1,143","2,153","1,057","1,075",782
2021년08월_여_연령구간인구수,"10,929","3,695","1,024","1,143","2,153","1,057","1,075",782
2021년08월_여_0~9세,505,241,29,27,112,27,33,36
2021년08월_여_10~19세,813,393,50,54,159,44,70,43
2021년08월_여_20~29세,682,280,48,60,148,49,66,31
2021년08월_여_30~39세,703,326,39,47,151,47,49,44
2021년08월_여_40~49세,"1,068",453,68,75,253,72,96,51
2021년08월_여_50~59세,"1,577",500,154,159,328,154,168,114
2021년08월_여_60~69세,"2,129",625,197,270,394,253,215,175
2021년08월_여_70~79세,"1,732",484,200,228,290,207,199,124
2021년08월_여_80~89세,"1,478",335,210,184,280,172,154,143
2021년08월_여_90~99세,232,57,28,36,37,30,24,20
2021년08월_여_100세 이상,10,1,1,3,1,2,1,1
