,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년10월_계_총인구수,"41,006","8,450","1,655",856,"1,670","5,176","5,727","3,048","8,543","5,881"
2021년10월_계_연령구간인구수,"41,006","8,450","1,655",856,"1,670","5,176","5,727","3,048","8,543","5,881"
2021년10월_계_0~9세,"1,744",400,31,19,53,205,267,106,389,274
2021년10월_계_10~19세,"2,749",700,69,35,68,309,426,182,606,354
2021년10월_계_20~29세,"3,235",741,105,49,85,367,393,210,718,567
2021년10월_계_30~39세,"2,838",631,63,38,81,302,419,147,551,606
2021년10월_계_40~49세,"5,080","1,055",166,65,147,595,772,350,"1,077",853
2021년10월_계_50~59세,"7,803","1,545",352,159,333,971,"1,121",656,"1,573","1,093"
2021년10월_계_60~69세,"9,409","1,801",455,254,513,"1,261","1,341",749,"1,889","1,146"
2021년10월_계_70~79세,"4,908",924,254,139,244,664,610,361,"1,078",634
2021년10월_계_80~89세,"2,849",563,132,88,121,443,345,262,576,319
2021년10월_계_90~99세,372,85,27,9,24,57,30,25,82,33
2021년10월_계_100세 이상,19,5,1,1,1,2,3,0,4,2
2021년10월_남_총인구수,"21,085","4,308",871,448,873,"2,647","3,009","1,535","4,290","3,104"
2021년10월_남_연령구간인구수,"21,085","4,308",871,448,873,"2,647","3,009","1,535","4,290","3,104"
2021년10월_남_0~9세,862,200,14,14,25,91,122,52,209,135
2021년10월_남_10~19세,"1,445",353,36,18,34,161,232,97,308,206
2021년10월_남_20~29세,"1,919",438,66,32,45,215,236,124,419,344
2021년10월_남_30~39세,"1,543",339,38,21,43,167,230,71,277,357
2021년10월_남_40~49세,"2,778",560,101,35,81,334,418,191,565,493
2021년10월_남_50~59세,"4,197",820,202,80,175,523,611,352,835,599
2021년10월_남_60~69세,"4,932",936,247,145,292,675,712,385,972,568
2021년10월_남_70~79세,"2,300",443,123,60,130,304,310,166,491,273
2021년10월_남_80~89세,"1,037",203,41,42,45,165,132,90,199,120
2021년10월_남_90~99세,68,15,3,0,3,12,6,7,13,9
2021년10월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년10월_여_총인구수,"19,921","4,142",784,408,797,"2,529","2,718","1,513","4,253","2,777"
2021년10월_여_연령구간인구수,"19,921","4,142",784,408,797,"2,529","2,718","1,513","4,253","2,777"
2021년10월_여_0~9세,882,200,17,5,28,114,145,54,180,139
2021년10월_여_10~19세,"1,304",347,33,17,34,148,194,85,298,148
2021년10월_여_20~29세,"1,316",303,39,17,40,152,157,86,299,223
2021년10월_여_30~39세,"1,295",292,25,17,38,135,189,76,274,249
2021년10월_여_40~49세,"2,302",495,65,30,66,261,354,159,512,360
2021년10월_여_50~59세,"3,606",725,150,79,158,448,510,304,738,494
2021년10월_여_60~69세,"4,477",865,208,109,221,586,629,364,917,578
2021년10월_여_70~79세,"2,608",481,131,79,114,360,300,195,587,361
2021년10월_여_80~89세,"1,812",360,91,46,76,278,213,172,377,199
2021년10월_여_90~99세,304,70,24,9,21,45,24,18,69,24
2021년10월_여_100세 이상,15,4,1,0,1,2,3,0,2,2
