카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년11월_계_총인구수,"3,353,627","40,556","105,406","87,770","110,901","353,769","266,570","262,856","283,584","397,071","306,421","228,936","142,768","205,742","175,389","208,727","177,161"
2021년11월_계_연령구간인구수,"3,353,627","40,556","105,406","87,770","110,901","353,769","266,570","262,856","283,584","397,071","306,421","228,936","142,768","205,742","175,389","208,727","177,161"
2021년11월_계_0~9세,"220,636","1,139","5,350","4,016","4,893","20,198","18,676","16,741","18,455","27,221","18,447","12,214","19,795","13,790","9,920","11,370","18,411"
2021년11월_계_10~19세,"266,474","1,873","7,086","4,833","7,088","24,130","24,598","22,579","22,492","36,985","24,568","17,282","12,848","16,176","11,455","14,453","18,028"
2021년11월_계_20~29세,"417,317","5,830","13,151","10,248","11,539","51,150","31,258","34,407","35,825","47,160","38,363","32,264","12,615","24,846","23,819","27,871","16,971"
2021년11월_계_30~39세,"406,584","4,471","10,591","10,404","10,326","47,129","31,680","28,449","33,743","45,293","35,126","24,372","26,960","25,975","23,577","24,345","24,143"
2021년11월_계_40~49세,"502,425","5,128","14,194","11,598","14,576","50,227","42,352","40,580","39,852","64,123","44,792","31,319","25,867","31,283","25,013","28,496","33,025"
2021년11월_계_50~59세,"555,462","6,766","17,142","14,299","18,669","56,739","43,349","42,229","52,548","69,457","53,302","39,194","17,170","33,395","27,159","39,050","24,994"
2021년11월_계_60~69세,"548,572","7,897","19,302","16,154","22,353","57,299","41,943","41,529","48,593","60,082","53,248","39,792","17,031","33,427","29,026","38,446","22,450"
2021년11월_계_70~79세,"297,407","4,969","12,240","10,675","14,544","31,707","22,718","25,078","22,096","31,147","26,889","21,939","7,160","18,475","17,292","17,665","12,813"
2021년11월_계_80~89세,"122,945","2,151","5,632","4,906","6,174","13,631","8,851","10,049","8,837","13,734","10,308","9,329","2,830","7,471","7,174","6,348","5,520"
2021년11월_계_90~99세,"15,294",321,699,601,704,"1,533","1,108","1,175","1,112","1,815","1,344","1,193",469,879,917,649,775
2021년11월_계_100세 이상,511,11,19,36,35,26,37,40,31,54,34,38,23,25,37,34,31
2021년11월_남_총인구수,"1,640,867","19,777","50,990","42,946","54,612","170,491","129,568","128,411","140,023","190,933","152,471","111,882","73,971","99,042","82,790","105,299","87,661"
2021년11월_남_연령구간인구수,"1,640,867","19,777","50,990","42,946","54,612","170,491","129,568","128,411","140,023","190,933","152,471","111,882","73,971","99,042","82,790","105,299","87,661"
2021년11월_남_0~9세,"113,243",596,"2,801","2,125","2,490","10,243","9,663","8,527","9,496","14,029","9,508","6,265","10,269","6,936","5,097","5,820","9,378"
2021년11월_남_10~19세,"137,268",939,"3,622","2,499","3,608","12,230","12,777","11,625","11,716","19,047","12,684","8,917","6,534","8,317","5,911","7,505","9,337"
2021년11월_남_20~29세,"216,458","2,838","6,381","5,154","6,329","24,756","16,291","18,142","19,164","24,585","20,575","17,411","6,908","12,610","11,472","14,823","9,019"
2021년11월_남_30~39세,"208,566","2,426","5,427","5,487","5,564","24,057","15,935","14,647","17,638","22,219","18,699","12,770","13,712","13,061","11,747","13,163","12,014"
2021년11월_남_40~49세,"253,458","2,808","7,348","6,263","7,620","25,434","20,742","20,336","19,862","30,567","22,985","15,562","14,360","15,408","12,341","15,016","16,806"
2021년11월_남_50~59세,"270,587","3,429","8,835","7,364","9,631","27,567","20,679","20,676","24,822","33,061","26,176","18,710","8,918","15,818","12,622","19,479","12,800"
2021년11월_남_60~69세,"258,855","3,759","9,019","7,604","10,684","26,806","19,387","19,128","23,896","28,237","25,558","18,557","8,605","15,345","12,844","19,049","10,377"
2021년11월_남_70~79세,"134,376","2,133","5,356","4,608","6,367","14,118","10,437","11,191","10,172","13,863","12,371","9,977","3,588","8,429","7,739","8,161","5,866"
2021년11월_남_80~89세,"44,710",769,"2,064","1,689","2,171","4,952","3,399","3,879","3,045","4,913","3,658","3,439",980,"2,913","2,767","2,173","1,899"
2021년11월_남_90~99세,"3,255",79,132,140,144,325,250,254,210,400,250,269,91,199,241,108,163
2021년11월_남_100세 이상,91,1,5,13,4,3,8,6,2,12,7,5,6,6,9,2,2
2021년11월_여_총인구수,"1,712,760","20,779","54,416","44,824","56,289","183,278","137,002","134,445","143,561","206,138","153,950","117,054","68,797","106,700","92,599","103,428","89,500"
2021년11월_여_연령구간인구수,"1,712,760","20,779","54,416","44,824","56,289","183,278","137,002","134,445","143,561","206,138","153,950","117,054","68,797","106,700","92,599","103,428","89,500"
2021년11월_여_0~9세,"107,393",543,"2,549","1,891","2,403","9,955","9,013","8,214","8,959","13,192","8,939","5,949","9,526","6,854","4,823","5,550","9,033"
2021년11월_여_10~19세,"129,206",934,"3,464","2,334","3,480","11,900","11,821","10,954","10,776","17,938","11,884","8,365","6,314","7,859","5,544","6,948","8,691"
2021년11월_여_20~29세,"200,859","2,992","6,770","5,094","5,210","26,394","14,967","16,265","16,661","22,575","17,788","14,853","5,707","12,236","12,347","13,048","7,952"
2021년11월_여_30~39세,"198,018","2,045","5,164","4,917","4,762","23,072","15,745","13,802","16,105","23,074","16,427","11,602","13,248","12,914","11,830","11,182","12,129"
2021년11월_여_40~49세,"248,967","2,320","6,846","5,335","6,956","24,793","21,610","20,244","19,990","33,556","21,807","15,757","11,507","15,875","12,672","13,480","16,219"
2021년11월_여_50~59세,"284,875","3,337","8,307","6,935","9,038","29,172","22,670","21,553","27,726","36,396","27,126","20,484","8,252","17,577","14,537","19,571","12,194"
2021년11월_여_60~69세,"289,717","4,138","10,283","8,550","11,669","30,493","22,556","22,401","24,697","31,845","27,690","21,235","8,426","18,082","16,182","19,397","12,073"
2021년11월_여_70~79세,"163,031","2,836","6,884","6,067","8,177","17,589","12,281","13,887","11,924","17,284","14,518","11,962","3,572","10,046","9,553","9,504","6,947"
2021년11월_여_80~89세,"78,235","1,382","3,568","3,217","4,003","8,679","5,452","6,170","5,792","8,821","6,650","5,890","1,850","4,558","4,407","4,175","3,621"
2021년11월_여_90~99세,"12,039",242,567,461,560,"1,208",858,921,902,"1,415","1,094",924,378,680,676,541,612
2021년11월_여_100세 이상,420,10,14,23,31,23,29,34,29,42,27,33,17,19,28,32,29
