,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년02월_계_총인구수,"27,952","7,848","1,886","1,669","2,361","1,336","1,913","1,176","4,162","2,458","1,702","1,441"
2021년02월_계_연령구간인구수,"27,952","7,848","1,886","1,669","2,361","1,336","1,913","1,176","4,162","2,458","1,702","1,441"
2021년02월_계_0~9세,"1,069",465,65,30,71,19,41,31,191,66,48,42
2021년02월_계_10~19세,"1,918",662,131,87,130,39,90,45,395,205,80,54
2021년02월_계_20~29세,"2,288",763,107,96,149,78,134,81,460,199,106,115
2021년02월_계_30~39세,"1,720",631,92,65,113,64,83,46,350,105,96,75
2021년02월_계_40~49세,"3,005","1,052",174,148,205,97,160,85,494,318,154,118
2021년02월_계_50~59세,"4,890","1,304",303,274,429,242,350,204,751,465,301,267
2021년02월_계_60~69세,"5,073","1,250",399,352,438,280,405,232,655,394,323,345
2021년02월_계_70~79세,"4,237",989,322,311,393,259,358,236,492,346,316,215
2021년02월_계_80~89세,"3,210",620,262,253,375,226,241,191,319,306,237,180
2021년02월_계_90~99세,527,106,30,53,57,29,51,25,53,54,40,29
2021년02월_계_100세 이상,15,6,1,0,1,3,0,0,2,0,1,1
2021년02월_남_총인구수,"13,675","3,791",928,818,"1,116",650,930,576,"2,069","1,224",836,737
2021년02월_남_연령구간인구수,"13,675","3,791",928,818,"1,116",650,930,576,"2,069","1,224",836,737
2021년02월_남_0~9세,547,238,30,12,41,13,26,18,87,34,23,25
2021년02월_남_10~19세,"1,024",353,72,51,73,16,50,18,210,113,40,28
2021년02월_남_20~29세,"1,249",405,67,60,82,49,70,49,239,106,57,65
2021년02월_남_30~39세,919,303,55,44,60,42,44,29,189,59,53,41
2021년02월_남_40~49세,"1,670",548,101,95,108,59,88,55,263,180,106,67
2021년02월_남_50~59세,"2,698",696,167,145,238,137,186,117,409,282,171,150
2021년02월_남_60~69세,"2,656",609,215,191,220,147,217,127,337,217,176,200
2021년02월_남_70~79세,"1,810",421,127,130,174,110,164,99,222,136,128,99
2021년02월_남_80~89세,"1,001",203,87,78,111,72,77,61,97,86,73,56
2021년02월_남_90~99세,98,15,7,12,8,5,8,3,15,11,8,6
2021년02월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2021년02월_여_총인구수,"14,277","4,057",958,851,"1,245",686,983,600,"2,093","1,234",866,704
2021년02월_여_연령구간인구수,"14,277","4,057",958,851,"1,245",686,983,600,"2,093","1,234",866,704
2021년02월_여_0~9세,522,227,35,18,30,6,15,13,104,32,25,17
2021년02월_여_10~19세,894,309,59,36,57,23,40,27,185,92,40,26
2021년02월_여_20~29세,"1,039",358,40,36,67,29,64,32,221,93,49,50
2021년02월_여_30~39세,801,328,37,21,53,22,39,17,161,46,43,34
2021년02월_여_40~49세,"1,335",504,73,53,97,38,72,30,231,138,48,51
2021년02월_여_50~59세,"2,192",608,136,129,191,105,164,87,342,183,130,117
2021년02월_여_60~69세,"2,417",641,184,161,218,133,188,105,318,177,147,145
2021년02월_여_70~79세,"2,427",568,195,181,219,149,194,137,270,210,188,116
2021년02월_여_80~89세,"2,209",417,175,175,264,154,164,130,222,220,164,124
2021년02월_여_90~99세,429,91,23,41,49,24,43,22,38,43,32,23
2021년02월_여_100세 이상,12,6,1,0,0,3,0,0,1,0,0,1
