,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년05월_계_총인구수,"25,264","5,267","1,872","2,510","2,095","2,542","2,623","1,805","6,550"
2020년05월_계_연령구간인구수,"25,264","5,267","1,872","2,510","2,095","2,542","2,623","1,805","6,550"
2020년05월_계_0~9세,"1,005",296,46,69,78,63,78,54,321
2020년05월_계_10~19세,"1,267",364,62,98,102,99,93,49,400
2020년05월_계_20~29세,"1,789",491,102,137,138,132,123,103,563
2020년05월_계_30~39세,"1,769",500,126,114,112,127,118,111,561
2020년05월_계_40~49세,"2,465",631,155,166,204,204,206,135,764
2020년05월_계_50~59세,"4,808","1,018",368,513,415,496,498,293,"1,207"
2020년05월_계_60~69세,"5,364",895,456,626,433,670,621,427,"1,236"
2020년05월_계_70~79세,"4,043",632,345,466,349,449,520,342,940
2020년05월_계_80~89세,"2,430",385,193,282,237,264,315,245,509
2020년05월_계_90~99세,303,46,19,36,25,37,50,44,46
2020년05월_계_100세 이상,21,9,0,3,2,1,1,2,3
2020년05월_남_총인구수,"12,631","2,624",927,"1,237","1,060","1,259","1,252",892,"3,380"
2020년05월_남_연령구간인구수,"12,631","2,624",927,"1,237","1,060","1,259","1,252",892,"3,380"
2020년05월_남_0~9세,525,160,23,36,40,38,41,27,160
2020년05월_남_10~19세,676,181,38,55,55,52,54,20,221
2020년05월_남_20~29세,"1,080",291,57,84,85,70,72,61,360
2020년05월_남_30~39세,"1,044",268,82,70,70,77,65,74,338
2020년05월_남_40~49세,"1,418",345,99,89,126,117,116,84,442
2020년05월_남_50~59세,"2,520",538,184,265,220,245,249,161,658
2020년05월_남_60~69세,"2,681",437,237,305,220,335,319,233,595
2020년05월_남_70~79세,"1,760",269,145,208,148,208,214,151,417
2020년05월_남_80~89세,857,127,59,115,90,108,110,71,177
2020년05월_남_90~99세,65,6,3,9,6,9,12,9,11
2020년05월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년05월_여_총인구수,"12,633","2,643",945,"1,273","1,035","1,283","1,371",913,"3,170"
2020년05월_여_연령구간인구수,"12,633","2,643",945,"1,273","1,035","1,283","1,371",913,"3,170"
2020년05월_여_0~9세,480,136,23,33,38,25,37,27,161
2020년05월_여_10~19세,591,183,24,43,47,47,39,29,179
2020년05월_여_20~29세,709,200,45,53,53,62,51,42,203
2020년05월_여_30~39세,725,232,44,44,42,50,53,37,223
2020년05월_여_40~49세,"1,047",286,56,77,78,87,90,51,322
2020년05월_여_50~59세,"2,288",480,184,248,195,251,249,132,549
2020년05월_여_60~69세,"2,683",458,219,321,213,335,302,194,641
2020년05월_여_70~79세,"2,283",363,200,258,201,241,306,191,523
2020년05월_여_80~89세,"1,573",258,134,167,147,156,205,174,332
2020년05월_여_90~99세,238,40,16,27,19,28,38,35,35
2020년05월_여_100세 이상,16,7,0,2,2,1,1,1,2
