,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년07월_계_총인구수,"281,516","7,783","19,716","1,488","2,582","1,096","3,856","2,582",953,"17,391","3,556","3,587","2,974","2,322","8,942","9,954","12,014","15,126","21,357","4,619","11,996","4,576","35,864","49,850","16,871","20,461"
2020년07월_계_연령구간인구수,"281,516","7,783","19,716","1,488","2,582","1,096","3,856","2,582",953,"17,391","3,556","3,587","2,974","2,322","8,942","9,954","12,014","15,126","21,357","4,619","11,996","4,576","35,864","49,850","16,871","20,461"
2020년07월_계_0~9세,"21,879",364,"2,254",29,109,26,123,74,15,"1,520",83,108,92,90,977,827,568,"1,317","1,789",344,438,157,"2,704","4,566","1,277","2,028"
2020년07월_계_10~19세,"27,200",471,"2,436",66,142,37,188,152,20,"1,727",167,192,148,123,673,758,890,"1,498","2,062",409,707,240,"4,499","6,064","1,374","2,157"
2020년07월_계_20~29세,"36,991",823,"1,906",129,258,41,240,182,37,"2,175",262,820,414,276,"1,060","1,237","1,907","2,200","2,658",555,"2,656","1,032","5,119","6,288","2,219","2,497"
2020년07월_계_30~39세,"34,419",688,"2,525",95,203,69,237,120,37,"2,443",275,426,318,220,"1,475","1,311","1,391","2,151","2,901",498,"1,297",627,"3,909","6,420","2,182","2,601"
2020년07월_계_40~49세,"42,543",925,"3,569",117,264,90,353,230,66,"2,893",376,393,377,267,"1,200","1,397","1,577","2,226","3,170",703,"1,453",507,"6,122","8,584","2,403","3,281"
2020년07월_계_50~59세,"47,025","1,475","3,114",274,520,214,742,497,189,"2,813",697,524,522,414,"1,275","1,751","2,052","2,473","3,500",782,"1,835",702,"6,256","8,313","2,941","3,150"
2020년07월_계_60~69세,"37,045","1,397","2,306",382,563,275,916,646,291,"2,127",882,523,517,413,"1,081","1,326","1,860","1,650","2,807",649,"1,695",637,"3,842","5,365","2,493","2,402"
2020년07월_계_70~79세,"21,056",947,996,226,280,189,575,410,196,"1,037",517,374,345,300,746,837,"1,117",991,"1,538",431,"1,187",410,"2,089","2,598","1,275","1,445"
2020년07월_계_80~89세,"11,379",604,508,156,220,132,389,227,90,563,248,202,197,170,377,426,555,524,807,211,637,230,"1,145","1,415",595,751
2020년07월_계_90~99세,"1,870",85,100,13,22,22,86,43,12,89,46,22,42,46,73,73,92,90,124,37,83,32,175,230,104,129
2020년07월_계_100세 이상,109,4,2,1,1,1,7,1,0,4,3,3,2,3,5,11,5,6,1,0,8,2,4,7,8,20
2020년07월_남_총인구수,"138,901","3,894","9,774",812,"1,331",590,"1,986","1,263",528,"8,684","1,880","1,826","1,453","1,132","4,514","4,835","5,921","7,235","10,132","2,313","6,341","2,291","17,578","24,018","8,282","10,288"
2020년07월_남_연령구간인구수,"138,901","3,894","9,774",812,"1,331",590,"1,986","1,263",528,"8,684","1,880","1,826","1,453","1,132","4,514","4,835","5,921","7,235","10,132","2,313","6,341","2,291","17,578","24,018","8,282","10,288"
2020년07월_남_0~9세,"11,211",175,"1,177",12,61,19,63,37,10,800,50,71,47,45,510,410,291,668,890,173,214,82,"1,348","2,357",666,"1,035"
2020년07월_남_10~19세,"14,155",246,"1,266",43,63,19,106,87,7,874,92,106,76,68,368,409,459,781,"1,030",231,383,118,"2,295","3,147",714,"1,167"
2020년07월_남_20~29세,"19,715",456,"1,047",74,159,28,129,110,21,"1,126",142,435,212,159,561,653,984,"1,135","1,335",306,"1,560",499,"2,686","3,290","1,183","1,425"
2020년07월_남_30~39세,"17,469",372,"1,166",56,108,39,129,63,24,"1,264",163,235,165,120,771,652,769,"1,072","1,469",252,767,355,"1,998","3,049","1,127","1,284"
2020년07월_남_40~49세,"21,103",500,"1,773",74,149,58,212,114,37,"1,496",224,218,214,139,624,715,813,"1,042","1,519",370,806,292,"2,900","3,985","1,181","1,648"
2020년07월_남_50~59세,"23,553",771,"1,573",158,293,126,407,235,110,"1,415",393,276,270,207,711,866,"1,033","1,164","1,649",382,"1,032",348,"3,135","3,993","1,376","1,630"
2020년07월_남_60~69세,"17,928",716,"1,125",223,271,147,508,333,179,"1,045",449,235,248,208,519,608,858,762,"1,309",312,820,306,"1,883","2,550","1,177","1,137"
2020년07월_남_70~79세,"9,174",429,454,108,145,90,284,188,98,448,268,174,152,118,285,342,485,411,646,181,496,179,856,"1,084",612,641
2020년07월_남_80~89세,"4,098",203,179,62,78,56,122,87,39,193,84,69,57,58,137,155,209,171,255,93,244,102,437,509,220,279
2020년07월_남_90~99세,449,24,14,2,3,8,22,9,3,22,13,5,11,8,27,21,19,28,29,13,13,9,38,54,25,29
2020년07월_남_100세 이상,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,0,1,13
2020년07월_여_총인구수,"142,615","3,889","9,942",676,"1,251",506,"1,870","1,319",425,"8,707","1,676","1,761","1,521","1,190","4,428","5,119","6,093","7,891","11,225","2,306","5,655","2,285","18,286","25,832","8,589","10,173"
2020년07월_여_연령구간인구수,"142,615","3,889","9,942",676,"1,251",506,"1,870","1,319",425,"8,707","1,676","1,761","1,521","1,190","4,428","5,119","6,093","7,891","11,225","2,306","5,655","2,285","18,286","25,832","8,589","10,173"
2020년07월_여_0~9세,"10,668",189,"1,077",17,48,7,60,37,5,720,33,37,45,45,467,417,277,649,899,171,224,75,"1,356","2,209",611,993
2020년07월_여_10~19세,"13,045",225,"1,170",23,79,18,82,65,13,853,75,86,72,55,305,349,431,717,"1,032",178,324,122,"2,204","2,917",660,990
2020년07월_여_20~29세,"17,276",367,859,55,99,13,111,72,16,"1,049",120,385,202,117,499,584,923,"1,065","1,323",249,"1,096",533,"2,433","2,998","1,036","1,072"
2020년07월_여_30~39세,"16,950",316,"1,359",39,95,30,108,57,13,"1,179",112,191,153,100,704,659,622,"1,079","1,432",246,530,272,"1,911","3,371","1,055","1,317"
2020년07월_여_40~49세,"21,440",425,"1,796",43,115,32,141,116,29,"1,397",152,175,163,128,576,682,764,"1,184","1,651",333,647,215,"3,222","4,599","1,222","1,633"
2020년07월_여_50~59세,"23,472",704,"1,541",116,227,88,335,262,79,"1,398",304,248,252,207,564,885,"1,019","1,309","1,851",400,803,354,"3,121","4,320","1,565","1,520"
2020년07월_여_60~69세,"19,117",681,"1,181",159,292,128,408,313,112,"1,082",433,288,269,205,562,718,"1,002",888,"1,498",337,875,331,"1,959","2,815","1,316","1,265"
2020년07월_여_70~79세,"11,882",518,542,118,135,99,291,222,98,589,249,200,193,182,461,495,632,580,892,250,691,231,"1,233","1,514",663,804
2020년07월_여_80~89세,"7,281",401,329,94,142,76,267,140,51,370,164,133,140,112,240,271,346,353,552,118,393,128,708,906,375,472
2020년07월_여_90~99세,"1,421",61,86,11,19,14,64,34,9,67,33,17,31,38,46,52,73,62,95,24,70,23,137,176,79,100
2020년07월_여_100세 이상,63,2,2,1,0,1,3,1,0,3,1,1,1,1,4,7,4,5,0,0,2,1,2,7,7,7
