카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년09월_계_총인구수,"175,330","13,871","7,401","5,376","3,358","8,175","14,985","9,502","5,156","7,458","6,424","19,581","19,122","9,015","16,356","29,550"
2020년09월_계_연령구간인구수,"175,330","13,871","7,401","5,376","3,358","8,175","14,985","9,502","5,156","7,458","6,424","19,581","19,122","9,015","16,356","29,550"
2020년09월_계_0~9세,"15,596",745,542,124,63,641,"2,807",560,145,271,404,"1,791","1,776",612,"1,463","3,652"
2020년09월_계_10~19세,"17,332","1,106",710,219,112,746,"1,135",791,276,460,503,"2,104","2,369",903,"2,022","3,876"
2020년09월_계_20~29세,"19,181","1,867",641,288,179,665,"1,632",865,292,747,579,"2,638","2,219","1,110","2,025","3,434"
2020년09월_계_30~39세,"22,276","1,494",670,274,149,982,"3,831",873,270,505,590,"2,804","2,255",908,"2,059","4,612"
2020년09월_계_40~49세,"27,840","2,017","1,136",501,299,"1,251","2,205","1,427",563,882,899,"3,320","3,495","1,481","2,922","5,442"
2020년09월_계_50~59세,"28,320","3,093","1,298",897,601,"1,365","1,578","1,683",902,"1,355",841,"3,193","3,219","1,549","2,570","4,176"
2020년09월_계_60~69세,"21,579","1,867","1,068","1,296",840,"1,202",928,"1,484","1,093","1,408","1,081","1,996","1,969","1,311","1,729","2,307"
2020년09월_계_70~79세,"13,869",977,744,"1,030",673,773,509,"1,036",931,"1,137",844,"1,070","1,152",751,985,"1,257"
2020년09월_계_80~89세,"8,081",609,518,665,384,472,317,696,598,607,592,557,568,325,503,670
2020년09월_계_90~99세,"1,195",93,70,81,54,78,40,83,84,82,85,98,92,58,76,121
2020년09월_계_100세 이상,61,3,4,1,4,0,3,4,2,4,6,10,8,7,2,3
2020년09월_남_총인구수,"91,168","7,993","3,782","2,745","1,710","4,375","7,843","4,895","2,607","3,865","3,323","10,140","9,962","4,577","8,250","15,101"
2020년09월_남_연령구간인구수,"91,168","7,993","3,782","2,745","1,710","4,375","7,843","4,895","2,607","3,865","3,323","10,140","9,962","4,577","8,250","15,101"
2020년09월_남_0~9세,"8,032",388,287,60,36,322,"1,457",286,77,143,218,953,919,318,732,"1,836"
2020년09월_남_10~19세,"9,202",593,376,120,56,395,563,435,143,258,268,"1,101","1,398",470,980,"2,046"
2020년09월_남_20~29세,"11,323","1,286",384,180,112,413,906,515,176,452,372,"1,491","1,307",635,"1,136","1,958"
2020년09월_남_30~39세,"12,324",996,353,171,88,610,"2,063",472,151,304,347,"1,558","1,202",507,"1,143","2,359"
2020년09월_남_40~49세,"14,875","1,182",595,319,184,729,"1,218",799,347,522,526,"1,714","1,741",770,"1,477","2,752"
2020년09월_남_50~59세,"15,131","1,850",728,478,339,727,812,902,503,727,448,"1,650","1,674",797,"1,322","2,174"
2020년09월_남_60~69세,"10,738","1,019",535,659,419,634,480,741,524,706,518,960,949,616,835,"1,143"
2020년09월_남_70~79세,"6,464",465,337,495,333,365,232,484,452,529,380,487,543,328,443,591
2020년09월_남_80~89세,"2,834",186,171,246,131,168,106,248,218,211,226,207,210,119,167,220
2020년09월_남_90~99세,236,28,16,17,10,12,5,13,15,13,19,19,17,16,15,21
2020년09월_남_100세 이상,9,0,0,0,2,0,1,0,1,0,1,0,2,1,0,1
2020년09월_여_총인구수,"84,162","5,878","3,619","2,631","1,648","3,800","7,142","4,607","2,549","3,593","3,101","9,441","9,160","4,438","8,106","14,449"
2020년09월_여_연령구간인구수,"84,162","5,878","3,619","2,631","1,648","3,800","7,142","4,607","2,549","3,593","3,101","9,441","9,160","4,438","8,106","14,449"
2020년09월_여_0~9세,"7,564",357,255,64,27,319,"1,350",274,68,128,186,838,857,294,731,"1,816"
2020년09월_여_10~19세,"8,130",513,334,99,56,351,572,356,133,202,235,"1,003",971,433,"1,042","1,830"
2020년09월_여_20~29세,"7,858",581,257,108,67,252,726,350,116,295,207,"1,147",912,475,889,"1,476"
2020년09월_여_30~39세,"9,952",498,317,103,61,372,"1,768",401,119,201,243,"1,246","1,053",401,916,"2,253"
2020년09월_여_40~49세,"12,965",835,541,182,115,522,987,628,216,360,373,"1,606","1,754",711,"1,445","2,690"
2020년09월_여_50~59세,"13,189","1,243",570,419,262,638,766,781,399,628,393,"1,543","1,545",752,"1,248","2,002"
2020년09월_여_60~69세,"10,841",848,533,637,421,568,448,743,569,702,563,"1,036","1,020",695,894,"1,164"
2020년09월_여_70~79세,"7,405",512,407,535,340,408,277,552,479,608,464,583,609,423,542,666
2020년09월_여_80~89세,"5,247",423,347,419,253,304,211,448,380,396,366,350,358,206,336,450
2020년09월_여_90~99세,959,65,54,64,44,66,35,70,69,69,66,79,75,42,61,100
2020년09월_여_100세 이상,52,3,4,1,2,0,2,4,1,4,5,10,6,6,2,2
