,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년07월_계_총인구수,"655,784","339,317","7,767","4,341","12,771","5,026","6,569","8,892","14,861","19,629","40,032","13,069","45,425","12,111","13,823","22,411","11,303","10,561","15,048","38,894","36,784","316,467","14,612","18,790","11,590","31,888","20,098","7,615","10,101","7,851","9,890","14,742","20,806","61,078","26,662","12,390","30,611","17,743",0
2020년07월_계_연령구간인구수,"655,784","339,317","7,767","4,341","12,771","5,026","6,569","8,892","14,861","19,629","40,032","13,069","45,425","12,111","13,823","22,411","11,303","10,561","15,048","38,894","36,784","316,467","14,612","18,790","11,590","31,888","20,098","7,615","10,101","7,851","9,890","14,742","20,806","61,078","26,662","12,390","30,611","17,743",0
2020년07월_계_0~9세,"55,025","25,231",337,113,644,193,316,349,"1,021","1,479","3,188",646,"4,034",753,700,"1,606",660,566,"1,038","4,412","3,176","29,794",683,"1,523",588,"2,729","2,061",212,472,347,672,923,"1,594","8,199","2,202",868,"3,803","2,918",0
2020년07월_계_10~19세,"72,511","36,767",474,196,850,370,481,691,"1,314","2,675","4,972",887,"5,424","1,176","1,321","2,625",961,961,"1,602","4,987","4,800","35,744","1,115","2,449",787,"4,176","1,600",383,682,545,799,"1,327","2,633","8,667","3,172","1,019","3,139","3,251",0
2020년07월_계_20~29세,"92,416","49,240",960,399,"1,438",526,718,"1,040","2,378","3,133","6,223","1,405","5,773","1,761","2,129","3,118","1,488","1,554","2,124","6,081","6,992","43,176","1,759","2,386","1,589","4,635","3,173","2,129","1,566",861,"1,350","2,013","2,812","7,881","4,007","1,565","3,881","1,569",0
2020년07월_계_30~39세,"82,347","40,240",796,412,"1,398",442,589,791,"1,723","2,376","4,888","1,366","5,235","1,262","1,341","2,220","1,166","1,114","1,729","5,335","6,057","42,107","1,359","1,974","1,339","4,001","3,401",943,"1,069",763,"1,281","2,034","2,116","9,471","3,012","1,714","5,264","2,366",0
2020년07월_계_40~49세,"107,689","54,081",951,542,"1,726",713,834,"1,215","1,992","3,564","6,954","1,795","7,512","1,739","1,833","3,605","1,580","1,463","2,173","6,849","7,041","53,608","1,879","3,192","1,526","6,099","3,073",871,"1,298","1,146","1,471","2,528","3,278","11,789","4,223","1,846","5,196","4,193",0
2020년07월_계_50~59세,"105,759","56,995","1,346",737,"2,049",815,"1,090","1,582","2,571","3,237","6,883","2,360","7,528","2,311","2,670","4,247","1,867","1,854","2,564","5,912","5,372","48,764","2,426","2,873","1,914","4,982","2,753","1,100","1,618","1,498","1,690","2,651","3,636","8,302","4,652","2,149","4,451","2,069",0
2020년07월_계_60~69세,"74,635","41,173","1,403",859,"2,187",859,"1,257","1,600","2,121","1,866","3,747","2,214","5,616","1,718","2,248","2,720","1,792","1,642","2,054","3,306","1,964","33,462","2,320","2,217","1,869","2,716","2,065",964,"1,628","1,368","1,467","1,787","2,689","4,038","3,004","1,670","2,803",857,0
2020년07월_계_70~79세,"43,373","23,489",975,699,"1,564",713,817,"1,108","1,146",865,"2,089","1,551","2,858",945,"1,116","1,413","1,231","1,000","1,147","1,325",927,"19,884","1,981","1,520","1,371","1,722","1,327",667,"1,242",925,768,957,"1,322","1,810","1,588",962,"1,380",342,0
2020년07월_계_80~89세,"19,178","10,479",458,318,786,347,410,458,525,369,973,729,"1,265",384,411,732,485,343,524,570,392,"8,699",963,573,549,736,549,306,477,351,341,457,642,785,693,527,602,148,0
2020년07월_계_90~99세,"2,688","1,539",58,61,114,47,54,52,67,62,111,114,171,59,53,122,70,61,92,113,58,"1,149",119,75,53,87,78,39,48,42,49,63,79,133,107,63,84,30,0
2020년07월_계_100세 이상,163,83,9,5,15,1,3,6,3,3,4,2,9,3,1,3,3,3,1,4,5,80,8,8,5,5,18,1,1,5,2,2,5,3,2,7,8,0,0
2020년07월_남_총인구수,"322,907","165,347","3,905","2,164","6,220","2,499","3,256","4,336","7,170","9,772","19,494","6,280","21,977","5,908","6,663","10,909","5,422","5,039","7,122","18,884","18,327","157,560","7,185","9,067","5,817","15,610","10,172","4,064","4,980","4,270","4,980","7,631","10,009","30,320","13,035","6,358","15,441","8,621",0
2020년07월_남_연령구간인구수,"322,907","165,347","3,905","2,164","6,220","2,499","3,256","4,336","7,170","9,772","19,494","6,280","21,977","5,908","6,663","10,909","5,422","5,039","7,122","18,884","18,327","157,560","7,185","9,067","5,817","15,610","10,172","4,064","4,980","4,270","4,980","7,631","10,009","30,320","13,035","6,358","15,441","8,621",0
2020년07월_남_0~9세,"28,195","12,987",184,58,335,106,163,188,546,734,"1,638",358,"2,067",390,356,796,348,293,544,"2,272","1,611","15,208",360,738,298,"1,362","1,057",105,257,188,328,465,790,"4,220","1,124",443,"1,990","1,483",0
2020년07월_남_10~19세,"37,539","19,135",238,109,461,201,260,349,708,"1,397","2,526",472,"2,789",613,652,"1,404",527,491,813,"2,641","2,484","18,404",609,"1,274",408,"2,119",841,181,354,282,406,666,"1,310","4,475","1,648",545,"1,614","1,672",0
2020년07월_남_20~29세,"48,550","25,581",532,200,763,271,371,569,"1,173","1,628","3,200",741,"3,049",945,"1,152","1,723",796,801,"1,122","3,055","3,490","22,969",939,"1,260",839,"2,406","1,722","1,210",820,505,698,"1,046","1,557","4,187","2,045",865,"2,047",823,0
2020년07월_남_30~39세,"41,522","20,368",428,247,715,250,316,437,875,"1,220","2,435",759,"2,574",666,698,"1,102",579,575,852,"2,548","3,092","21,154",739,947,744,"1,964","1,746",553,596,478,707,"1,124","1,019","4,488","1,508",928,"2,667",946,0
2020년07월_남_40~49세,"52,779","25,865",512,329,913,388,448,660,922,"1,684","3,215",941,"3,542",813,855,"1,636",792,703,"1,016","3,200","3,296","26,914",983,"1,516",821,"2,929","1,677",526,697,722,784,"1,336","1,523","5,715","1,998","1,007","2,655","2,025",0
2020년07월_남_50~59세,"51,912","27,448",678,379,995,444,557,781,"1,168","1,615","3,382","1,131","3,581","1,084","1,189","2,029",853,852,"1,099","2,796","2,835","24,464","1,196","1,393",967,"2,516","1,344",585,789,833,823,"1,462","1,743","4,170","2,238","1,118","2,226","1,061",0
2020년07월_남_60~69세,"35,629","19,478",657,404,994,421,612,698,"1,009",933,"1,782","1,030","2,656",825,"1,078","1,348",813,730,929,"1,598",961,"16,151","1,097",998,856,"1,300",947,468,697,715,713,911,"1,281","1,996","1,489",860,"1,407",416,0
2020년07월_남_70~79세,"19,268","10,454",473,301,712,293,372,497,542,412,913,599,"1,266",431,538,610,517,454,525,585,414,"8,814",815,697,625,745,603,288,556,415,370,438,556,790,727,423,613,153,0
2020년07월_남_80~89세,"6,872","3,668",186,123,302,114,147,149,203,134,371,223,414,128,135,230,183,121,201,167,137,"3,204",406,230,248,249,212,136,199,122,136,170,213,253,235,156,204,35,0
2020년07월_남_90~99세,611,347,16,11,28,11,9,6,23,15,32,25,39,11,10,31,13,19,21,21,6,264,39,14,11,19,19,11,15,9,14,12,16,25,23,13,17,7,0
