,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년07월_계_총인구수,"37,357","9,952","2,059","1,879","2,295","3,083","2,141","5,068","3,385","2,716","2,055","2,724"
2020년07월_계_연령구간인구수,"37,357","9,952","2,059","1,879","2,295","3,083","2,141","5,068","3,385","2,716","2,055","2,724"
2020년07월_계_0~9세,"1,276",640,51,33,34,84,52,125,81,63,46,67
2020년07월_계_10~19세,"2,061",940,128,50,92,143,99,210,121,112,62,104
2020년07월_계_20~29세,"2,896","1,254",119,108,132,209,135,267,200,211,121,140
2020년07월_계_30~39세,"2,447","1,007",100,88,98,193,112,245,186,159,118,141
2020년07월_계_40~49세,"3,873","1,486",187,154,187,309,192,401,291,267,176,223
2020년07월_계_50~59세,"7,324","1,642",417,427,455,687,440,"1,095",693,523,400,545
2020년07월_계_60~69세,"8,333","1,465",506,488,615,674,510,"1,325",885,622,558,685
2020년07월_계_70~79세,"5,429",959,301,295,399,480,344,869,509,450,342,481
2020년07월_계_80~89세,"3,250",504,215,206,246,275,222,455,360,279,191,297
2020년07월_계_90~99세,439,51,34,29,34,27,35,70,55,28,38,38
2020년07월_계_100세 이상,29,4,1,1,3,2,0,6,4,2,3,3
2020년07월_남_총인구수,"19,143","5,105","1,078",962,"1,190","1,539","1,072","2,605","1,728","1,401","1,058","1,405"
2020년07월_남_연령구간인구수,"19,143","5,105","1,078",962,"1,190","1,539","1,072","2,605","1,728","1,401","1,058","1,405"
2020년07월_남_0~9세,650,334,26,17,16,31,25,61,39,37,24,40
2020년07월_남_10~19세,"1,065",483,67,25,54,73,44,111,66,51,32,59
2020년07월_남_20~29세,"1,723",724,73,66,80,108,85,165,132,131,71,88
2020년07월_남_30~39세,"1,381",527,61,54,64,115,63,140,104,93,79,81
2020년07월_남_40~49세,"2,227",798,120,89,110,180,108,232,177,160,113,140
2020년07월_남_50~59세,"3,970",894,233,239,244,374,235,606,371,289,202,283
2020년07월_남_60~69세,"4,363",729,266,264,333,362,257,691,470,334,299,358
2020년07월_남_70~79세,"2,523",415,139,132,188,214,181,420,242,201,168,223
2020년07월_남_80~89세,"1,135",188,84,71,91,76,68,163,110,97,62,125
2020년07월_남_90~99세,99,12,9,5,9,6,6,15,16,7,8,6
2020년07월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년07월_여_총인구수,"18,214","4,847",981,917,"1,105","1,544","1,069","2,463","1,657","1,315",997,"1,319"
2020년07월_여_연령구간인구수,"18,214","4,847",981,917,"1,105","1,544","1,069","2,463","1,657","1,315",997,"1,319"
2020년07월_여_0~9세,626,306,25,16,18,53,27,64,42,26,22,27
2020년07월_여_10~19세,996,457,61,25,38,70,55,99,55,61,30,45
2020년07월_여_20~29세,"1,173",530,46,42,52,101,50,102,68,80,50,52
2020년07월_여_30~39세,"1,066",480,39,34,34,78,49,105,82,66,39,60
2020년07월_여_40~49세,"1,646",688,67,65,77,129,84,169,114,107,63,83
2020년07월_여_50~59세,"3,354",748,184,188,211,313,205,489,322,234,198,262
2020년07월_여_60~69세,"3,970",736,240,224,282,312,253,634,415,288,259,327
2020년07월_여_70~79세,"2,906",544,162,163,211,266,163,449,267,249,174,258
2020년07월_여_80~89세,"2,115",316,131,135,155,199,154,292,250,182,129,172
2020년07월_여_90~99세,340,39,25,24,25,21,29,55,39,21,30,32
2020년07월_여_100세 이상,22,3,1,1,2,2,0,5,3,1,3,1
