,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년06월_계_총인구수,"549,903","238,391","12,488","21,435","16,557","7,051","10,352","24,612","15,439","10,808","17,435","19,493","31,878","13,413","14,988","22,442","311,512","21,232","10,960","15,774","17,276","10,914","36,169","19,040","26,904","14,697","23,604","16,644","17,656","19,821","21,631","15,168","12,989","11,033"
2021년06월_계_연령구간인구수,"549,903","238,391","12,488","21,435","16,557","7,051","10,352","24,612","15,439","10,808","17,435","19,493","31,878","13,413","14,988","22,442","311,512","21,232","10,960","15,774","17,276","10,914","36,169","19,040","26,904","14,697","23,604","16,644","17,656","19,821","21,631","15,168","12,989","11,033"
2021년06월_계_0~9세,"38,772","15,077",877,"1,100",806,245,452,"1,569","1,712",443,945,"1,364","2,095",877,616,"1,976","23,695","1,700",770,757,"1,354",665,"1,929","1,201","2,145","1,311","2,334","1,351","2,423","1,412","1,566","1,131",924,722
2021년06월_계_10~19세,"51,536","18,432","1,061","1,456","1,285",458,706,"1,520","1,274",681,"1,236","1,470","2,548","1,295","1,142","2,300","33,104","2,155","1,055","1,160","2,198",713,"2,838","1,412","2,355","1,630","3,698","3,434","1,552","1,586","1,994","2,206","1,578","1,540"
2021년06월_계_20~29세,"76,723","34,108","1,908","3,442","2,436","1,048","1,396","3,750","1,921","1,579","2,392","2,510","4,547","1,934","2,091","3,154","42,615","2,865","1,583","2,355","2,088","1,484","5,749","2,935","3,621","2,106","2,529","1,819","1,970","3,120","3,198","1,963","1,798","1,432"
2021년06월_계_30~39세,"77,247","32,934","1,859","2,878","2,125",908,"1,295","4,463","2,626","1,491","2,150","2,648","4,056","1,478","1,630","3,327","44,313","2,701","1,389","2,034","2,145","2,243","4,712","2,957","5,653","1,850","3,143","1,222","3,831","3,009","2,928","1,811","1,615","1,070"
2021년06월_계_40~49세,"86,801","34,553","1,941","2,922","2,288",953,"1,442","3,628","2,558","1,422","2,238","2,865","4,715","2,048","2,097","3,436","52,248","3,399","1,633","1,999","3,215","1,784","4,807","2,912","4,951","2,384","5,223","3,963","3,123","2,732","3,205","2,893","2,106","1,919"
2021년06월_계_50~59세,"96,446","42,854","2,168","3,930","2,996","1,281","1,848","4,045","2,522","1,984","3,275","3,474","6,039","2,524","3,036","3,732","53,592","3,818","2,065","3,131","2,732","1,665","6,936","3,439","3,998","2,918","3,418","2,624","2,340","3,621","4,079","2,510","2,387","1,911"
2021년06월_계_60~69세,"73,946","35,795","1,612","3,338","2,784","1,088","1,799","3,412","1,770","1,943","3,026","3,048","4,558","1,982","2,485","2,950","38,151","2,959","1,546","2,649","2,093","1,346","5,527","2,478","2,523","1,536","1,969","1,312","1,594","2,874","3,143","1,493","1,675","1,434"
2021년06월_계_70~79세,"31,736","16,476",732,"1,629","1,287",665,905,"1,471",737,866,"1,439","1,376","2,201",828,"1,289","1,051","15,260","1,085",641,"1,070",931,594,"2,418","1,122","1,034",579,758,567,565,983,983,682,618,630
2021년06월_계_80~89세,"14,401","7,132",278,645,492,357,448,678,263,349,642,620,979,398,539,444,"7,269",466,233,527,447,357,"1,070",503,556,340,449,306,208,410,459,388,240,310
2021년06월_계_90~99세,"2,202",987,51,89,57,48,57,73,53,46,79,118,137,49,60,70,"1,215",81,44,89,71,61,171,78,66,37,81,46,45,72,74,90,48,61
2021년06월_계_100세 이상,93,43,1,6,1,0,4,3,3,4,13,0,3,0,3,2,50,3,1,3,2,2,12,3,2,6,2,0,5,2,2,1,0,4
2021년06월_남_총인구수,"271,857","119,318","6,221","10,750","8,256","3,517","5,143","12,614","7,576","5,610","8,606","9,573","15,972","6,751","7,520","11,209","152,539","10,362","5,302","7,828","8,285","4,971","17,674","9,678","13,025","7,236","11,486","8,187","8,903","9,729","10,837","7,236","6,416","5,384"
2021년06월_남_연령구간인구수,"271,857","119,318","6,221","10,750","8,256","3,517","5,143","12,614","7,576","5,610","8,606","9,573","15,972","6,751","7,520","11,209","152,539","10,362","5,302","7,828","8,285","4,971","17,674","9,678","13,025","7,236","11,486","8,187","8,903","9,729","10,837","7,236","6,416","5,384"
2021년06월_남_0~9세,"19,742","7,628",435,542,426,125,232,782,848,232,473,731,"1,061",428,288,"1,025","12,114",893,394,381,721,337,997,609,"1,054",674,"1,186",739,"1,244",703,809,562,458,353
2021년06월_남_10~19세,"26,698","9,619",545,755,667,231,380,785,638,348,626,782,"1,369",693,596,"1,204","17,079","1,136",517,635,"1,149",370,"1,500",696,"1,207",827,"1,901","1,797",807,818,977,"1,154",820,768
2021년06월_남_20~29세,"39,728","17,819",956,"1,689","1,310",509,728,"1,955",965,867,"1,285","1,318","2,391","1,076","1,078","1,692","21,909","1,431",816,"1,255","1,074",689,"3,040","1,583","1,759","1,107","1,327",899,984,"1,604","1,691",963,933,754
2021년06월_남_30~39세,"39,703","17,386",957,"1,588","1,149",501,683,"2,471","1,252",892,"1,169","1,315","2,051",755,907,"1,696","22,317","1,299",685,"1,083","1,016","1,138","2,496","1,628","2,945",882,"1,448",523,"1,916","1,567","1,500",833,823,535
2021년06월_남_40~49세,"42,619","17,724",968,"1,525","1,176",525,745,"1,938","1,309",789,"1,139","1,385","2,415","1,032","1,083","1,695","24,895","1,623",769,"1,004","1,477",818,"2,302","1,473","2,378","1,111","2,431","1,800","1,620","1,296","1,596","1,314",969,914
2021년06월_남_50~59세,"46,847","21,026","1,089","1,922","1,431",665,939,"2,040","1,254",987,"1,522","1,616","2,991","1,248","1,580","1,742","25,821","1,814",973,"1,466","1,326",727,"3,238","1,716","1,863","1,437","1,745","1,381","1,174","1,718","1,940","1,222","1,157",924
2021년06월_남_60~69세,"36,408","17,630",796,"1,701","1,330",530,869,"1,667",845,948,"1,477","1,493","2,281","1,008","1,209","1,476","18,778","1,456",760,"1,321",976,579,"2,636","1,250","1,213",788,980,675,785,"1,407","1,641",751,859,701
2021년06월_남_70~79세,"14,637","7,718",351,770,585,278,401,713,352,405,654,698,"1,026",383,591,511,"6,919",515,308,499,402,208,"1,065",523,407,272,319,247,289,456,519,285,303,302
2021년06월_남_80~89세,"4,937","2,539",110,238,168,131,152,237,101,138,240,209,362,120,177,156,"2,398",173,71,159,127,93,354,181,183,126,128,112,77,140,148,125,84,117
2021년06월_남_90~99세,515,218,14,18,13,22,13,26,11,4,16,26,25,8,10,12,297,22,9,25,16,12,43,19,15,11,19,14,6,19,15,27,10,15
2021년06월_남_100세 이상,23,11,0,2,1,0,1,0,1,0,5,0,0,0,1,0,12,0,0,0,1,0,3,0,1,1,2,0,1,1,1,0,0,1
2021년06월_여_총인구수,"278,046","119,073","6,267","10,685","8,301","3,534","5,209","11,998","7,863","5,198","8,829","9,920","15,906","6,662","7,468","11,233","158,973","10,870","5,658","7,946","8,991","5,943","18,495","9,362","13,879","7,461","12,118","8,457","8,753","10,092","10,794","7,932","6,573","5,649"
2021년06월_여_연령구간인구수,"278,046","119,073","6,267","10,685","8,301","3,534","5,209","11,998","7,863","5,198","8,829","9,920","15,906","6,662","7,468","11,233","158,973","10,870","5,658","7,946","8,991","5,943","18,495","9,362","13,879","7,461","12,118","8,457","8,753","10,092","10,794","7,932","6,573","5,649"
2021년06월_여_0~9세,"19,030","7,449",442,558,380,120,220,787,864,211,472,633,"1,034",449,328,951,"11,581",807,376,376,633,328,932,592,"1,091",637,"1,148",612,"1,179",709,757,569,466,369
2021년06월_여_10~19세,"24,838","8,813",516,701,618,227,326,735,636,333,610,688,"1,179",602,546,"1,096","16,025","1,019",538,525,"1,049",343,"1,338",716,"1,148",803,"1,797","1,637",745,768,"1,017","1,052",758,772
2021년06월_여_20~29세,"36,995","16,289",952,"1,753","1,126",539,668,"1,795",956,712,"1,107","1,192","2,156",858,"1,013","1,462","20,706","1,434",767,"1,100","1,014",795,"2,709","1,352","1,862",999,"1,202",920,986,"1,516","1,507","1,000",865,678
2021년06월_여_30~39세,"37,544","15,548",902,"1,290",976,407,612,"1,992","1,374",599,981,"1,333","2,005",723,723,"1,631","21,996","1,402",704,951,"1,129","1,105","2,216","1,329","2,708",968,"1,695",699,"1,915","1,442","1,428",978,792,535
2021년06월_여_40~49세,"44,182","16,829",973,"1,397","1,112",428,697,"1,690","1,249",633,"1,099","1,480","2,300","1,016","1,014","1,741","27,353","1,776",864,995,"1,738",966,"2,505","1,439","2,573","1,273","2,792","2,163","1,503","1,436","1,609","1,579","1,137","1,005"
2021년06월_여_50~59세,"49,599","21,828","1,079","2,008","1,565",616,909,"2,005","1,268",997,"1,753","1,858","3,048","1,276","1,456","1,990","27,771","2,004","1,092","1,665","1,406",938,"3,698","1,723","2,135","1,481","1,673","1,243","1,166","1,903","2,139","1,288","1,230",987
2021년06월_여_60~69세,"37,538","18,165",816,"1,637","1,454",558,930,"1,745",925,995,"1,549","1,555","2,277",974,"1,276","1,474","19,373","1,503",786,"1,328","1,117",767,"2,891","1,228","1,310",748,989,637,809,"1,467","1,502",742,816,733
2021년06월_여_70~79세,"17,099","8,758",381,859,702,387,504,758,385,461,785,678,"1,175",445,698,540,"8,341",570,333,571,529,386,"1,353",599,627,307,439,320,276,527,464,397,315,328
2021년06월_여_80~89세,"9,464","4,593",168,407,324,226,296,441,162,211,402,411,617,278,362,288,"4,871",293,162,368,320,264,716,322,373,214,321,194,131,270,311,263,156,193
2021년06월_여_90~99세,"1,687",769,37,71,44,26,44,47,42,42,63,92,112,41,50,58,918,59,35,64,55,49,128,59,51,26,62,32,39,53,59,63,38,46
2021년06월_여_100세 이상,70,32,1,4,0,0,3,3,2,4,8,0,3,0,2,2,38,3,1,3,1,2,9,3,1,5,0,0,4,1,1,1,0,3
