카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년06월_계_총인구수,"2,119,771","657,514","258,996","398,518","105,440","100,647","313,054","174,884","117,696","42,803","166,084","51,665","65,919","52,209","30,994","99,980","78,610","62,272"
2020년06월_계_연령구간인구수,"2,119,771","657,514","258,996","398,518","105,440","100,647","313,054","174,884","117,696","42,803","166,084","51,665","65,919","52,209","30,994","99,980","78,610","62,272"
2020년06월_계_0~9세,"177,486","63,586","21,160","42,426","6,069","6,364","33,901","15,673","7,470","4,033","16,030","2,696","3,056","2,397","1,330","7,944","3,755","3,182"
2020년06월_계_10~19세,"204,588","69,219","26,700","42,519","8,446","8,489","34,191","17,403","9,998","6,443","15,673","4,372","4,809","3,537","2,036","9,642","5,808","4,522"
2020년06월_계_20~29세,"242,601","95,959","35,475","60,484","11,475","9,616","35,778","19,164","11,594","4,852","16,219","4,021","5,517","3,979","2,675","9,679","6,935","5,138"
2020년06월_계_30~39세,"273,346","106,884","34,057","72,827","9,806","9,667","48,954","22,381","11,097","4,724","23,344","3,930","4,542","3,593","2,131","10,707","6,320","5,266"
2020년06월_계_40~49세,"328,774","111,950","43,316","68,634","13,590","14,185","55,388","27,839","15,741","8,446","26,571","6,342","7,383","5,980","3,197","14,631","9,732","7,799"
2020년06월_계_50~59세,"339,822","102,586","44,075","58,511","18,700","17,332","45,478","28,169","20,035","6,871","25,756","9,197","11,105","8,610","5,342","15,882","13,913","10,846"
2020년06월_계_60~69세,"269,787","60,665","29,844","30,821","17,815","16,623","30,586","21,221","19,553","4,206","20,369","9,515","12,728","10,053","6,015","14,318","14,366","11,754"
2020년06월_계_70~79세,"169,700","29,644","15,309","14,335","11,430","11,187","17,859","13,732","12,904","1,983","13,051","6,822","9,479","8,004","4,527","9,979","10,409","8,690"
2020년06월_계_80~89세,"98,983","14,727","7,831","6,896","7,075","6,234","9,546","8,062","8,051","1,070","7,900","4,211","6,287","5,231","3,298","6,310","6,522","4,459"
2020년06월_계_90~99세,"13,779","2,125","1,144",981,973,890,"1,259","1,178","1,166",165,"1,102",527,957,781,424,828,812,592
2020년06월_계_100세 이상,905,169,85,84,61,60,114,62,87,10,69,32,56,44,19,60,38,24
2020년06월_남_총인구수,"1,081,224","335,230","131,239","203,991","52,838","50,987","162,398","90,822","58,862","21,319","88,015","26,034","32,648","25,829","15,678","49,711","39,464","31,389"
2020년06월_남_연령구간인구수,"1,081,224","335,230","131,239","203,991","52,838","50,987","162,398","90,822","58,862","21,319","88,015","26,034","32,648","25,829","15,678","49,711","39,464","31,389"
2020년06월_남_0~9세,"90,891","32,455","10,877","21,578","3,155","3,207","17,404","8,065","3,839","2,051","8,190","1,378","1,637","1,193",676,"4,137","1,936","1,568"
2020년06월_남_10~19세,"106,178","35,867","13,843","22,024","4,362","4,412","17,590","9,228","5,163","3,375","8,211","2,287","2,527","1,829","1,075","4,912","2,984","2,356"
2020년06월_남_20~29세,"133,872","50,266","18,816","31,450","6,390","5,626","19,918","11,272","6,526","2,708","9,494","2,307","3,197","2,330","1,533","5,337","3,944","3,024"
2020년06월_남_30~39세,"146,796","56,719","17,838","38,881","5,252","5,214","26,100","12,338","5,844","2,330","13,231","2,067","2,468","2,010","1,223","5,528","3,534","2,938"
2020년06월_남_40~49세,"175,281","57,776","22,319","35,457","7,164","7,780","30,111","14,873","8,379","4,096","14,945","3,532","4,021","3,294","1,862","7,659","5,368","4,421"
2020년06월_남_50~59세,"179,227","52,713","22,571","30,142","9,676","9,241","24,533","15,006","10,493","3,466","14,433","5,042","5,775","4,639","2,904","8,261","7,358","5,687"
