카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년01월_계_총인구수,"81,439","3,898","2,590","1,187","2,123","1,894","2,370","1,656","1,669","1,574",973,"1,587","1,937","2,316","1,962","2,110","2,784","3,615","3,488","5,872","6,866","4,218","7,389","17,361"
2020년01월_계_연령구간인구수,"81,439","3,898","2,590","1,187","2,123","1,894","2,370","1,656","1,669","1,574",973,"1,587","1,937","2,316","1,962","2,110","2,784","3,615","3,488","5,872","6,866","4,218","7,389","17,361"
2020년01월_계_0~9세,"5,297",165,101,49,74,63,96,53,66,58,31,66,74,95,102,91,123,201,187,531,661,224,450,"1,736"
2020년01월_계_10~19세,"7,625",223,171,56,125,110,132,76,100,63,39,82,108,176,127,178,207,374,290,620,802,346,661,"2,559"
2020년01월_계_20~29세,"7,724",281,215,83,156,143,136,76,105,123,65,109,130,191,115,150,189,396,377,662,605,497,842,"2,078"
2020년01월_계_30~39세,"6,786",225,154,68,135,85,130,78,97,77,59,71,104,132,110,106,160,317,267,647,729,429,661,"1,945"
2020년01월_계_40~49세,"11,083",360,321,114,190,183,244,142,150,129,70,157,183,235,187,294,324,481,492,893,"1,120",534,"1,034","3,246"
2020년01월_계_50~59세,"13,944",722,474,189,396,310,360,247,313,285,165,252,345,436,338,484,543,642,571,987,"1,043",702,"1,360","2,780"
2020년01월_계_60~69세,"12,374",774,502,231,393,362,479,342,330,279,211,252,351,394,384,335,566,521,586,707,915,683,"1,110","1,667"
2020년01월_계_70~79세,"9,673",622,385,188,329,345,447,306,266,309,184,312,339,336,353,274,415,444,465,544,662,512,763,873
