카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년05월_계_총인구수,"81,584","30,126","25,642",0,"3,239","3,595","2,085","6,259","10,638"
2020년05월_계_연령구간인구수,"81,584","30,126","25,642",0,"3,239","3,595","2,085","6,259","10,638"
2020년05월_계_0~9세,"7,665","2,407","3,960",0,82,132,59,241,784
2020년05월_계_10~19세,"7,895","3,327","2,628",0,188,139,75,422,"1,116"
2020년05월_계_20~29세,"8,964","3,830","2,743",0,209,305,107,543,"1,227"
2020년05월_계_30~39세,"11,250","3,333","5,481",0,187,274,119,509,"1,347"
2020년05월_계_40~49세,"13,147","5,050","4,590",0,320,374,182,754,"1,877"
2020년05월_계_50~59세,"13,530","5,302","3,102",0,645,769,395,"1,260","2,057"
2020년05월_계_60~69세,"9,781","3,545","1,749",0,721,768,523,"1,245","1,230"
2020년05월_계_70~79세,"5,480","2,041",822,0,475,464,342,727,609
2020년05월_계_80~89세,"3,404","1,135",499,0,374,325,246,481,344
2020년05월_계_90~99세,450,151,64,0,38,45,35,70,47
2020년05월_계_100세 이상,18,5,4,0,0,0,2,7,0
2020년05월_남_총인구수,"42,709","15,460","13,531",0,"1,659","1,898","1,055","3,304","5,802"
2020년05월_남_연령구간인구수,"42,709","15,460","13,531",0,"1,659","1,898","1,055","3,304","5,802"
2020년05월_남_0~9세,"3,942","1,249","2,019",0,41,67,28,128,410
2020년05월_남_10~19세,"4,138","1,750","1,331",0,98,70,45,219,625
2020년05월_남_20~29세,"5,177","2,193","1,549",0,121,180,67,341,726
2020년05월_남_30~39세,"6,134","1,746","2,958",0,118,161,67,301,783
2020년05월_남_40~49세,"7,208","2,649","2,546",0,192,240,107,435,"1,039"
2020년05월_남_50~59세,"7,394","2,838","1,682",0,378,429,228,698,"1,141"
2020년05월_남_60~69세,"4,984","1,706",875,0,376,415,260,678,674
2020년05월_남_70~79세,"2,495",915,373,0,216,225,154,338,274
2020년05월_남_80~89세,"1,144",379,180,0,112,101,94,156,122
2020년05월_남_90~99세,88,33,18,0,7,10,5,7,8
2020년05월_남_100세 이상,5,2,0,0,0,0,0,3,0
2020년05월_여_총인구수,"38,875","14,666","12,111",0,"1,580","1,697","1,030","2,955","4,836"
2020년05월_여_연령구간인구수,"38,875","14,666","12,111",0,"1,580","1,697","1,030","2,955","4,836"
2020년05월_여_0~9세,"3,723","1,158","1,941",0,41,65,31,113,374
2020년05월_여_10~19세,"3,757","1,577","1,297",0,90,69,30,203,491
2020년05월_여_20~29세,"3,787","1,637","1,194",0,88,125,40,202,501
2020년05월_여_30~39세,"5,116","1,587","2,523",0,69,113,52,208,564
2020년05월_여_40~49세,"5,939","2,401","2,044",0,128,134,75,319,838
2020년05월_여_50~59세,"6,136","2,464","1,420",0,267,340,167,562,916
2020년05월_여_60~69세,"4,797","1,839",874,0,345,353,263,567,556
2020년05월_여_70~79세,"2,985","1,126",449,0,259,239,188,389,335
2020년05월_여_80~89세,"2,260",756,319,0,262,224,152,325,222
2020년05월_여_90~99세,362,118,46,0,31,35,30,63,39
2020년05월_여_100세 이상,13,3,4,0,0,0,2,4,0
