카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년08월_계_총인구수,"16,680","7,285","2,153","1,719","1,777","1,683","2,063"
2020년08월_계_연령구간인구수,"16,680","7,285","2,153","1,719","1,777","1,683","2,063"
2020년08월_계_0~9세,744,445,81,58,44,50,66
2020년08월_계_10~19세,948,560,82,53,82,93,78
2020년08월_계_20~29세,"1,147",661,103,72,109,89,113
2020년08월_계_30~39세,"1,050",635,110,67,72,67,99
2020년08월_계_40~49세,"1,744",956,184,129,137,168,170
2020년08월_계_50~59세,"2,990","1,238",386,288,352,323,403
2020년08월_계_60~69세,"3,373","1,264",497,407,374,370,461
2020년08월_계_70~79세,"2,712",909,415,378,316,288,406
2020년08월_계_80~89세,"1,705",518,258,234,264,195,236
2020년08월_계_90~99세,241,91,35,29,25,35,26
2020년08월_계_100세 이상,26,8,2,4,2,5,5
2020년08월_남_총인구수,"8,244","3,574","1,039",874,877,844,"1,036"
2020년08월_남_연령구간인구수,"8,244","3,574","1,039",874,877,844,"1,036"
2020년08월_남_0~9세,392,243,40,31,21,29,28
2020년08월_남_10~19세,487,279,48,28,41,48,43
2020년08월_남_20~29세,664,372,60,42,65,55,70
2020년08월_남_30~39세,565,326,58,44,45,39,53
2020년08월_남_40~49세,"1,034",537,122,86,78,105,106
2020년08월_남_50~59세,"1,622",637,207,179,194,177,228
2020년08월_남_60~69세,"1,683",614,241,195,195,189,249
2020년08월_남_70~79세,"1,172",380,174,192,138,118,170
2020년08월_남_80~89세,558,167,78,68,92,70,83
2020년08월_남_90~99세,61,17,9,8,8,13,6
2020년08월_남_100세 이상,6,2,2,1,0,1,0
2020년08월_여_총인구수,"8,436","3,711","1,114",845,900,839,"1,027"
2020년08월_여_연령구간인구수,"8,436","3,711","1,114",845,900,839,"1,027"
2020년08월_여_0~9세,352,202,41,27,23,21,38
2020년08월_여_10~19세,461,281,34,25,41,45,35
2020년08월_여_20~29세,483,289,43,30,44,34,43
2020년08월_여_30~39세,485,309,52,23,27,28,46
2020년08월_여_40~49세,710,419,62,43,59,63,64
2020년08월_여_50~59세,"1,368",601,179,109,158,146,175
2020년08월_여_60~69세,"1,690",650,256,212,179,181,212
2020년08월_여_70~79세,"1,540",529,241,186,178,170,236
2020년08월_여_80~89세,"1,147",351,180,166,172,125,153
2020년08월_여_90~99세,180,74,26,21,17,22,20
2020년08월_여_100세 이상,20,6,0,3,2,4,5
